,country,urban_area_atomistic_subdivision_2020,urban_area_informal_subdivision_2020,urban_area_total_2020,fraction_area_informal_or_atomistic_2020
0,global,14470934586.202366,43753812496.9711,471500003338.48364,0.1234883280401054
1,AFG,199436.06737898284,326716161.65168494,526799061.2384386,0.6205698183108496
2,AGO,290573192.7135877,601658092.8859112,1721850639.0344272,0.51818158054629
3,ALB,378807.9109528186,18642984.376679316,135382545.19423842,0.14050402332398798
4,ARE,296003.85320925247,15188598.524823837,1017184289.5078387,0.01522300583852437
5,ARG,1031109.5063782935,1084292516.662759,4407820865.877913,0.24622679986178878
6,ARM,40821.415674785545,40698501.65223852,252829800.45681834,0.161133390898955
7,AUS,2553416.4043524056,16302450.230807671,6348082141.123058,0.0029703249290067048
8,AUT,3383061.494372319,375061.7127948836,579427487.1276461,0.00648592497017543
9,AZE,1000740.6605698529,246878412.46772438,667160271.1863931,0.3715436362652372
10,Akrotiri,8202.333984375,1201444.1969592525,58106007.28157945,0.020817925504358396
11,BDI,492088.09860983456,34779701.64651884,95044920.81339246,0.37110651935183314
12,BEL,187182427.99794352,753872.2008769915,2441601917.074868,0.07697253957925104
13,BEN,60304268.42336859,157370351.35014552,549582969.0220176,0.39607235311688405
14,BFA,9666614.61608073,248636956.79749167,536116656.53961086,0.4818047868178625
15,BGD,249945429.5214806,48220920.88019301,1231870893.7669432,0.24204350627191903
16,BGR,1118084.1440123315,9335558.191433057,344072233.2498217,0.03038211551309715
17,BHR,8935.7705078125,3528979.586109834,225649691.57102382,0.015678795446100038
18,BHS,0.0,9020.83203125,78688509.99297252,0.00011463976166349608
19,BIH,1016308.9105909162,7688945.614696311,115533195.2129809,0.07534851355265847
20,BLR,8254902.979063266,24121328.516909845,858366901.9016931,0.03771840622494213
21,BOL,64292.05822610294,291269195.52178675,923288020.3107575,0.31553911799045836
22,BRA,50719208.93154105,933151780.5266585,13926836608.603489,0.07064569055476677
23,BWA,0.0,41523465.16280251,144437227.69664127,0.2874845067645126
24,CAF,6436831.174460018,50152661.73538983,120300404.62442537,0.4704015176550796
25,CAN,3119037.6390069695,83716553.7202072,9055831215.896456,0.009588914511434845
26,CHE,24220621.501277197,1154460.354474954,2161283182.285241,0.011740748303478543
27,CHL,461198.0129997702,26304007.84646333,1350032499.4502947,0.019825601139499483
28,CHN,1239244175.5406125,7317099207.056403,85305847542.40788,0.10030195618586898
29,CIV,83020336.40906097,206121286.41129375,714373174.794055,0.4047487126090795
