,country,urban_area_atomistic_subdivision_2020,urban_area_informal_subdivision_2020,urban_area_total_2020,fraction_area_informal_or_atomistic_2020
30,CMR,89190051.18328732,314623001.2117108,1150240302.70272,0.3510684258290711
31,COD,191893977.0118988,727485116.7944667,1898343677.5449433,0.4843059266251325
32,COG,166903012.11494336,324141696.58488846,779505636.3970644,0.6299437563652247
33,COL,14514347.600137863,257939028.90080807,1586359851.7715309,0.17174752386521247
34,CPV,82840.44948299632,4222307.773801318,15665868.900088066,0.27481068881280585
35,CRI,118800.67773820467,766933.3778760722,336950917.93740696,0.0026286738170537157
36,CUB,131066.54940257352,109576875.86806832,381893555.60857755,0.28727361539956503
37,CUW,56664.272790287985,4013187.743776808,88516092.37681507,0.04597866791545249
38,CYP,8202.333984375,10026865.930237055,165840833.32278848,0.06051023781754294
39,CZE,1479691.178375843,1255918.484859451,492430045.7705485,0.005555326460542523
40,DEU,115808685.27594018,4041437.4728764547,7790614846.272565,0.015383910655801341
41,DJI,309124.32458256744,7685877.603090535,33823922.919764854,0.2363712200574245
42,DNK,1523555.2230277266,131390.3100413603,501880753.46352506,0.003297487543899933
43,DOM,676529.763304228,126435886.80754064,610679160.769859,0.20814926189817792
44,DZA,5815761.697903264,357131583.6691079,1426432959.1843126,0.2544440262895762
45,ECU,83216470.2487477,94118114.61704965,1018392672.5322696,0.1741318350463467
46,EGY,81252102.0676509,619482067.7944006,2591246242.514778,0.2704236125324763
47,ERI,0.0,19257758.237538293,39660036.44366957,0.485570865898994
48,ESH,50954.92814031863,3239795.8690831806,19358022.93493412,0.16999415737259524
49,ESP,5176614.540096508,61742787.46889937,2493930513.960606,0.026832905581928707
50,EST,224908.7552255668,225037.58465647977,85979414.75069876,0.00523318681787596
51,ETH,208435.66024816176,226835758.38888633,740354366.1821445,0.30666962257540914
52,FIN,194137.48520029106,160720.41198299633,356326274.1371661,0.0009958791224210612
53,FJI,18911.0009765625,9853751.046737134,55844651.8987744,0.17678795931272281
54,FRA,223269171.3559916,173589146.688739,7361009994.021811,0.053913568704163715
55,GAB,26359441.985657927,50919429.26152733,209431706.67238814,0.3689931790895053
56,GBR,48712773.03674937,1629859.7530388327,8029108621.134026,0.006270015161742555
57,GEO,1460128.2257946536,13609997.570603551,219736475.9503798,0.0685827226964416
58,GHA,268867854.70947087,744990177.2372322,2305091202.5772724,0.43983423771394836
59,GIN,84746497.82029332,85664470.84411764,386062157.47904754,0.4414081135980274
60,GLP,19091.099609375,8489719.729254749,68439399.0119521,0.12432620612840513
61,GMB,0.0,464035.4130859375,2393100.061155791,0.19390556233650472
62,GNB,1669271.17265625,27771775.75814569,54485473.59601703,0.5403467197347464
63,GNQ,16547629.108298864,5483191.364721201,89957284.44706655,0.24490312939563705
64,GRC,142190.7261852788,59942731.745796986,719937736.7957625,0.0834584984243264
65,GTM,271612.4494025735,37381736.8897059,450888411.1370124,0.08350924177482721
66,GUF,0.0,4417818.524038756,28360939.425363787,0.15577123373028356
67,GUM,0.0,1114245.4393995095,8212352.890234381,0.1356791962416156
68,GUY,25881.979032628675,12405045.420829505,56029118.509895764,0.221865482278944
69,HKG,143469873.49799722,20032233.02942324,5673494349.451674,0.028818589824315666
70,HND,925750.6583563113,51681352.98488051,270757307.35085714,0.19429615458195787
71,HRV,2112419.687030867,13282491.745029112,235583578.88107258,0.06534798182954699
72,HTI,2748587.768497242,187443129.25169295,320792569.7931334,0.5928806803188659
73,HUN,11593976.473910462,10519491.09445083,821916167.6559035,0.02690477257726743
74,IC,55795.42946920955,24103.148575367646,58824737.837572694,0.0013582479239464484
75,IDN,1294827069.5483646,868953490.9242458,10389098110.810936,0.20827414828443788
76,IND,961460368.1836324,4714764623.643476,21658002424.60886,0.2620844194466203
77,IRL,513353.45161802997,54661.301520373774,311599447.1243496,0.0018229003882401847
78,IRN,3695220.5765031404,523049774.91272575,4005981806.266554,0.13148961252525965
79,IRQ,17433635.93189147,741055513.4514731,1810415405.4499104,0.4189586252415206
80,ISL,17576.67578125,17572.1689453125,49276868.07148842,0.0007132929932878509
81,ISR,36910.72822840074,53349578.82194782,592066602.2985587,0.09016973655145516
82,ITA,56651767.84133732,42539493.636132814,5066980110.271623,0.019576011612201266
83,JAM,28349.9462890625,35863769.00963923,162307076.61195567,0.2211371167859754
84,JOR,150010.38074448533,81658410.95600483,472268708.8777138,0.17322431022617732
85,JPN,5803796261.742885,280948001.13383317,23643187558.219845,0.25735718789581236
86,KAZ,871218.5043677237,1153529753.676814,3140084461.338763,0.36763373291207824
87,KEN,8180708.479656863,203401269.96796104,1106951319.1903203,0.19113937061150946
88,KGZ,98134.63486328124,190269199.47278255,384480836.2914539,0.4951282772474485
89,KHM,920790.0187040442,47227844.12179844,355940759.82643604,0.13527148215332443
90,KOR,256364846.51019055,16612602.975446155,4076176339.6933703,0.06696899906596568
91,KWT,115172.04208409927,455256.26019837614,408427580.70991,0.0013966449114209752
92,LAO,2756205.17254519,7091651.965950521,158928135.13229877,0.06196421502270772
93,LBN,1267724.7759650731,6398100.145316332,256400523.50672174,0.029897852065346658
94,LBR,6788990.941103707,71626302.26503521,221200810.8061534,0.35449821779748
95,LBY,564154.997958793,363845728.5033587,1453262407.3386345,0.25075298284819936
96,LKA,14818161.189725032,255980873.46829486,755284302.7165533,0.3585392066060807
97,LSO,0.0,44878065.06244637,107629538.37679256,0.4169679229259161
98,LTU,1530324.3552868413,4069657.0226351833,293868227.6008218,0.019056096753436044
99,LVA,1748365.864520144,286923.3988223805,122643801.76968217,0.016595125346527316
100,MAC,4394724.1905522365,345042.1830116422,162031302.67915422,0.029252164829837307
101,MAR,13123304.20344669,69605264.12030865,883390236.2726115,0.0936489502904417
102,MDA,3442868.8034639247,4507384.228768382,162381452.78728217,0.048960351664343385
103,MDG,675294.8975834865,78517881.74669881,302073438.84652203,0.26216530968986945
104,MEX,2043479.2553308823,1672695945.2037303,12544730811.742773,0.13350142379232116
105,MKD,369414.64068627445,4028004.866467525,99371596.79226601,0.04425227780475845
106,MLI,21924087.637668498,284439168.2135305,572666559.2711474,0.5349766821396349
107,MLT,0.0,469758.7746495864,63999194.99060006,0.0073400731793358135
108,MMR,18679526.413415287,137929237.72665048,663423137.8820218,0.23606165537132034
109,MNE,179706.9439319087,3394421.1437672353,32026315.620743345,0.11159972723756562
110,MNG,26809.6787109375,67669298.57285942,191726909.89536828,0.3530861071537343
111,MOZ,23991523.70323989,504966004.5816252,1058618588.7020429,0.4996677121770669
112,MRT,9454.7939453125,78175926.66857001,162764844.24407893,0.48035791651218046
113,MUS,692189.9873200061,363985.0585822611,96388918.60248972,0.010957432256896242
114,MWI,426463.00770909927,161196007.32592288,333272596.26664865,0.4849557753747
115,MYS,10128168.674456188,71039393.51767768,3015557398.1325517,0.026916271679125928
116,NAM,18379.1640625,17144813.224685963,86346556.84982419,0.19877101085338075
117,NCL,0.0,511174.36821767763,36227850.79621255,0.014109983258270417
118,NER,28998.7724609375,154557637.8256051,270530730.73660445,0.5714198759496032
119,NGA,955005493.7027228,2517792406.4189134,9057749659.024317,0.38340625771895304
120,NIC,252629.2708141851,20314883.312515322,205609396.3765592,0.10003196811911041
121,NLD,43706538.909198835,653564.4591930914,2193808082.964009,0.020220594368700613
122,NOR,880362.084842218,51550.415563725495,321866599.73355603,0.0028953376994611704
123,NPL,20945833.51251149,71006283.4571079,405422744.24916947,0.22680552157948589
124,NZL,536349.3749597886,111915.62552849264,866388534.3575351,0.0007482382035087733
125,OMN,59991.43327971814,3915137.6085860906,223463201.46346143,0.017788741125306862
126,PAK,154873743.9906403,1278089705.5727406,3633932311.120894,0.3943286024283101
127,PAN,371059.22701822914,46025597.09046799,321470335.2139133,0.1443264004021176
128,PER,108220096.09487966,314959412.8635724,1543309567.2240946,0.2742026084368884
129,PHL,156589652.00846732,108084360.40543044,2265639629.108105,0.1168208787547072
130,PNG,0.0,17297651.602665436,57391243.66669352,0.3013987935707336
131,POL,8214513.368307673,11138292.899795113,2707774326.97207,0.007147126728889473
132,PRI,272739.1572725184,7430907.8548330255,459821093.1239024,0.0167535746561103
133,PRK,1106823.8797353706,30763562.375294887,477063270.561669,0.06680536570653983
134,PRT,15670356.683162902,4876178.755156633,817510367.8520036,0.02513305793577304
135,PRY,1063558.0639399511,79151197.25832182,629074272.4166865,0.12751237626378253
136,PSE,34300.05523131127,136813358.56997547,400847559.62226534,0.34139576340233624
137,PT-30,416303.3609260111,8396.3330078125,41958475.129779235,0.010121904874288462
138,QAT,0.0,783170.2096162684,362095606.4775746,0.002162882386878041
139,REU,0.0,44140.2576439951,43624926.701688826,0.0010118127635108743
140,ROU,17765335.292350262,33700191.2609777,1095878490.1142488,0.04696280383052552
141,RUS,35088346.274037786,1051612169.5588263,11471278006.602356,0.09473229706466949
142,RWA,42030963.758371636,58896661.0243796,325536176.5559778,0.3100350500227619
143,SAU,1163278.884509038,106758265.04895447,3488184285.535742,0.03093917496875831
144,SDN,1174189.1581839768,895072219.2816491,1331470592.0934582,0.6731251998819393
145,SEN,458520.2139705883,250382028.0194739,527337764.5880164,0.4756734015236215
146,SGP,645998.9831648285,2695104.0935623473,578089911.057959,0.0057795561085171735
147,SLE,28324446.266697302,54800362.06881511,205318780.0650923,0.4048573068141128
148,SLV,28971.265625,19774117.350000005,219625893.4090114,0.09016736737296055
149,SOM,1647343.4375,97850003.75878906,234059770.14061365,0.4250937576180438
150,SRB,6874649.678919652,6653422.977242263,310344268.26128006,0.04359053489840056
151,SSD,532008.1413028493,85743117.43019682,154962941.9173866,0.5567468228468095
152,SUR,0.0,17156113.43501455,118015910.52027772,0.1453711907096353
153,SVK,188061.6528971354,1149527.087800628,126483001.14936635,0.010575245120236968
154,SVN,846832.2264744177,655520.9690353095,110754868.89139128,0.01356466953144036
155,SWE,755697.1522633273,501610.72859604773,675258016.1438131,0.0018619666124653597
156,SYR,256334.043884038,179618063.10811305,613332985.0183986,0.29327364016889007
157,TCD,27780.102814797792,113536821.30473703,231539812.44205263,0.4904754832863726
158,TGO,34551469.34999618,173138710.95653352,326800958.219396,0.6355250040824484
159,THA,105117696.76142389,161378322.06994864,4325344037.685742,0.0616126755489166
160,TJK,222437.2120825674,160204100.66822547,349383633.43971395,0.45917015717334564
161,TKM,482538.4367072611,110180728.15298522,373715244.974566,0.2961165434854655
162,TLS,1232.9373774509804,5871626.232153798,26328151.88461245,0.22306385937266093
163,TUN,245603.1917490043,207073754.65458608,823926795.1705532,0.2516235168725395
164,TUR,29643282.503904324,247235550.64459074,3925163201.9326773,0.07053944483433583
165,TWN,16518740.823119627,3682203.990299479,2370103485.0182242,0.008523233243236963
166,TZA,30835062.84205729,715468107.6513731,1906055653.748785,0.39154322122002005
167,UGA,37605821.697265625,162962664.41746324,691764379.8623736,0.28993757405466863
168,UKR,71876724.74929342,182127397.21141812,3472636371.6731424,0.07314446281582038
169,URY,81496.95947074142,95580756.86007969,317491733.7970589,0.30130628182180597
170,USA,16542055.933392689,606564569.5535424,96984788304.0944,0.006424787189648682
171,UZB,3217886.134438189,1464019852.1187124,3012900503.3416247,0.4869851283259534
172,VAT,1554278.6660692398,1123410.4719152118,415065511.9716257,0.006451244588510889
173,VEN,2536130.0640816484,408822374.09821534,2228739853.273193,0.18456999526354043
174,VNM,157088105.34713918,531924031.2961894,3889727872.983348,0.17713633424820266
175,XK,182820.86533011644,1922385.9323663453,43514274.498259276,0.04837968280456285
176,YEM,48118.22062653187,79388079.60032554,264505161.47899058,0.30032002920767814
177,ZAF,4587086.517612591,535137146.0272748,5577649928.982144,0.09676552659578275
178,ZMB,438663.6519990809,338548307.84102696,782256593.1202996,0.4333449848480789
179,ZWE,137690.82642463234,246690513.77624467,708953352.2817969,0.34815859718871783
180,disp-ISR-PSE,8478.9208984375,37274882.114342116,165719874.94432032,0.2249782112602201
