geography,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_percapita_tonnesCO2e_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_percapita_tonnesCO2e_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_percapita_tonnesCO2e_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_percapita_tonnesCO2e_2015,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020,urban_ghg_percapita_tonnesCO2e_2020
global,3572421514.318291,1904135717.5253203,1.8761380722174215,5158717593.753946,2204877232.173122,2.3396847309587057,6520388064.27637,2505930353.4156284,2.6019829543103477,7372285428.326362,2755511533.1027384,2.675468906502845,7936342208.676416,2985964378.9785647,2.657882412981521
AFG,253743.5364967471,3869256.9216011725,0.06557939719126823,365580.600710087,4777468.961423881,0.07652181597871209,1330245.8117548695,5723072.191004288,0.23243561628416873,1657704.3978629871,6832927.365021722,0.2426053006722862,2025333.1343397638,8425116.408258624,0.24039230275257134
AGO,2862351.4917773544,9563508.067214934,0.29929932318349817,4329741.495847331,11039050.047755513,0.39222047885611905,6477940.04202604,14271898.553434392,0.45389476514091304,9570152.963566484,19722622.47589246,0.4852373448441941,8161752.551062782,26027327.164743315,0.31358396885711387
ALB,152403.49545982128,497038.3328163867,0.30662322279300214,226767.73185985355,622546.9673108001,0.36425802994337314,344147.21007808286,753263.7495387549,0.4568747802994822,398893.1965093105,893409.2560476807,0.44648428904123844,434078.38125593716,1035787.748932048,0.4190804358359084
ARE,15705863.624729883,2228978.412546383,7.046216121396849,20671497.32610614,2954874.9672672614,6.9957265722223205,35052970.364340976,5148886.456216905,6.807874025269497,45483148.242020614,5678233.454956538,8.010087750498936,44800734.821894884,6287206.594641633,7.125697898980604
ARG,40157849.79118707,21562746.592706162,1.86237173536932,46876822.33292992,23074562.51894975,2.0315367753747355,48802239.35566672,24541627.336388726,1.9885494424123187,57235892.76065209,25830860.08216691,2.215795083035836,48364057.07270367,26747623.199352637,1.8081627930916195
ARM,1191001.9157996117,1478921.317586455,0.8053179717114923,1192190.7077992614,1448220.1481534208,0.8232109664538128,1023471.9420379236,1410959.1323494578,0.725373200805391,1394838.8993415295,1400391.4979958492,0.9960349668915683,1551464.084727234,1312607.5140167463,1.1819710523974956
AUS,57515920.291100204,10494109.940539537,5.480781182681523,57413026.02653509,11488566.607687704,4.997405506455132,68198225.33047855,12751847.481013324,5.348105475071066,69096538.62430967,14131709.974104844,4.889467640570263,61813654.875457756,15971386.37220303,3.870274842454483
AUT,8526887.429291746,2421217.973007192,3.521734732003998,10689552.075427203,2553651.6524251904,4.18598678691175,11269719.849417634,2680022.6554282443,4.205083799046031,9791243.434812032,2844497.732660575,3.442169533970372,9546379.663789187,3078153.989116775,3.1013327135489934
AZE,3191119.9672143944,2328908.5762571,1.3702212271221894,6457478.690258407,2572861.6415503044,2.5098429647259954,6189319.329360877,2802662.091703969,2.208371586314881,13337824.37417639,2970223.5313674635,4.490511987842134,12759450.241114706,3125718.370653901,4.082085692974773
BDI,103044.59662697399,343397.30735488026,0.3000739796730079,151912.56820347434,488587.95586292783,0.31092163934981043,152639.50436214881,676332.5592775468,0.2256870562688822,153561.91944177763,886855.7096747438,0.17315321733464037,189995.49480484222,1081814.8342097146,0.17562663109869203
BEL,35123680.53318109,5431631.435078347,6.466506601745238,36164342.44127874,5795936.115989282,6.2396033561363735,38523236.565588556,6134206.152246489,6.280068783061758,36917196.30627298,6762405.426708722,5.459181160665883,34883512.532122955,7198454.966095028,4.84597218381243
BEN,326808.3033436922,1663048.9830685365,0.19651153193376747,496881.84694346867,1963434.8032990098,0.25306765781506774,681781.0655031448,2345718.726293752,0.2906491123001616,830159.0793747634,2780999.735145713,0.2985110242490787,1054163.4721282276,3313405.169237463,0.31815109178779655
BFA,381418.40114193683,1366170.9437614512,0.2791879031563833,622015.251771978,1926059.9576878618,0.322946982667495,922084.3210814892,2502458.8358445275,0.3684713242327141,1626777.9268439987,3130914.5825509126,0.5195855344985431,1988302.919075687,4010718.291360347,0.49574733866469056
BGD,4212752.685392006,23566354.4820046,0.17876132214716908,5991041.31957964,26918186.115280196,0.2225648226787022,9931516.0387611,29964828.27212811,0.33143911083244665,12567590.118706964,33222287.090533245,0.37828792715141285,15221709.043185016,35882921.99181949,0.42420483612385934
BGR,1839192.4597426779,2029121.446446186,0.9063984134433398,2126431.239539321,2065778.2430340438,1.0293608458264112,2161389.756874914,2102261.315805924,1.0281261138301079,2258541.95357091,2137087.4984185738,1.0568317653077899,2149035.3954272466,2158878.6811263775,0.9954405563475224
BHR,5567655.680717596,541426.7108154309,10.283304405747312,7222180.093428209,685521.5852869323,10.535306616793532,7205713.134139645,925659.6978796348,7.784408406939865,7572050.614945675,1036924.825425026,7.302410386251444,12207532.982198058,1404826.3304868897,8.689709693843172
BHS,620156.0658462148,186454.69773233368,3.3260415177979805,544392.6302038797,199619.85928144897,2.727146648452081,777320.6060671296,216332.22263879253,3.593179955281156,911248.5110845398,240752.0148935962,3.785008866851142,951180.2631216514,256117.98959217468,3.7138362074302074
BIH,183637.21782221575,523072.112867158,0.35107438019517045,247055.50502040016,530255.5268942881,0.46591783110193435,301025.10729347775,520082.18688129983,0.5788029563146367,291997.03572151746,498707.60380902945,0.5855074867343153,310053.8294877114,439482.91837834043,0.7054968840012877
