,pop-averaged_summer_nighttime_uhi_2010,pop-averaged_summer_daytime_uhi_2010,pop-averaged_summer_nighttime_uhi_2015,pop-averaged_summer_daytime_uhi_2015,pop-averaged_summer_nighttime_uhi_2020,pop-averaged_summer_daytime_uhi_2020
global,0.7466739569102372,1.4757251071619086,0.7601422686764531,1.4399334744682428,0.724132373746734,1.5157578505632165
AFG,0.09177786672807056,-0.005428183984241703,0.09997187915016592,-0.008343124292657395,0.11565551218428112,-0.017058682906900872
AGO,0.29475974504316277,1.9798235680738845,0.2929838878786115,2.4395837985428743,0.058296628144852404,2.860319355627373
ALB,1.2764843867774014,1.8451582824573975,1.3083570495558945,1.3576943647204949,1.2399904820505714,1.6743642555371523
ARE,0.418210559446353,-0.11753421426413577,0.408374590971867,-0.023817516687420576,0.24952729622511116,-3.3961661147970385e-05
ARG,1.3531279866544104,1.5668284899979503,1.5843245070672027,1.5869933018839117,2.0176968202385615,1.131937827060565
ARM,-0.41261905578268027,-1.4629055513961058,-0.1749222426909768,-2.271854757609604,-0.27809198297465326,-2.319186851663439
AUS,0.49581457189784833,0.2728724908068761,0.5068056654715641,0.7479247631413074,0.45065023478800975,0.3644507455054721
AUT,1.5289963775538657,2.685511813016975,2.254371814577258,1.6178180412902103,1.6706463040495172,2.344806150169427
AZE,0.662581058480845,-0.812519929064727,0.5755087708574955,-0.7641578585207552,0.7530933282570196,-0.939533347979652
BDI,-0.01401940530895094,1.5601596836421865,-0.015147381829457131,2.446872239467542,-0.14428126037738784,2.666061283871344
BEL,1.1244003590954985,2.3141621996152413,1.0027235505793228,2.392411311311385,1.208585383003894,2.2204240508338122
BEN,0.281885948916147,2.18647238178928,0.41801719971042595,2.18757127670003,0.3854438120529134,1.7202755571193464
BFA,-0.0010895894836173636,0.45210012690116064,0.0038535428349253742,0.3034432502050491,-0.017775935599522744,0.5546188996424823
BGD,0.17671504718874845,1.1001085740356418,0.09794750100214329,2.2794839971277185,0.5448110902092005,1.1616448595929014
BGR,1.9194684905465784,1.92136692902269,2.069733867018237,0.7582104392304214,2.00157974235176,0.8159384365163749
BHR,0.15923400865580153,-0.9473657076354572,0.07759530773699785,-1.2678953684685739,-0.13217970683067456,-1.214428183160567
BHS,0.011015839002313937,1.244813365791782,0.07164912551465595,1.1749707088681831,0.09020923077625237,1.2264044339946114
BIH,0.5728589005435872,1.3567277540665208,0.7270047861407386,1.4746299199146802,0.6365570905823312,1.9832569816984207
BLR,1.1548333481923556,2.553866304369676,1.4184723771668708,2.384601437671919,1.0463309857652614,2.6837701549186694
BOL,0.37043738249867547,1.5541548972562778,0.29033187487933887,2.1433722419859254,0.2923418142367022,2.292798862560137
BRA,0.7037326690557516,2.830706919429245,0.7209030775330634,2.4954346086615575,0.5893960813707705,2.677629124271165
BWA,0.584633830552144,0.6973383331873408,0.40533235150889857,0.33037568321357336,0.5787151014197444,1.0709649952815299
CAF,0.28117658043562826,2.361799974537965,0.11442718648399132,3.3800746755804036,0.17185275676479092,3.073306331216123
CAN,0.6400931941731054,1.727782185512513,0.6263869288422218,1.7169488973747793,0.6857975361491316,1.6731842249874227
