,country,urban_built_volume_2015,urban_built_area_2015,urban_population_2015,urban_built_volume_2020,urban_built_area_2020,urban_population_2020
81,JOR,1603393266.6980436,137106180.3529413,2284375.2866369486,1701928914.7019596,147999269.73725513,2541565.7899499233
82,JPN,76827170577.34108,6845355323.886259,71865468.69939739,79527515494.44708,7181856604.729391,73854746.28419718
83,KAZ,7745848599.070595,925326138.5372565,2459570.449119486,8144858136.760785,993723475.6235315,3001450.1189847044
84,KEN,1936025446.8980427,233944995.4549024,5465106.866277144,2173083262.290199,276835430.0352933,6681204.770315382
85,KGZ,943637515.3999996,119378503.99607855,1100438.4435765347,971979445.8705845,124796872.74509805,1150252.2237683553
86,KHM,755849494.1960784,93376115.87450972,1804501.714497442,803118192.701958,102837352.75686221,2357942.649137911
87,KOR,18053968661.858864,1141390439.101951,25754187.115181595,18888645647.933475,1222969109.490193,26881544.45469438
88,KWT,1566427898.078429,118036233.32548961,1334783.5225786832,1792764458.027452,139901297.39999995,1657108.149268347
89,LAO,246872442.35686314,37423899.07843136,361973.1413420094,257823284.9333338,40007095.20000004,414894.7381505138
90,LBN,1006235018.2196095,64867417.36470567,3421701.9998438666,1050123463.2235279,68592188.93333304,4590749.362919991
91,LBR,497493831.5647068,63523873.84705882,866962.5154885355,513529484.07058835,66683595.99215679,1018453.7633562669
92,LBY,2343146749.7725406,311023181.7764734,1604884.4721272476,2771305057.4509706,380887600.929415,1926117.8420806178
93,LKA,1504443898.811769,176481795.0431376,2799571.9966260493,1654448217.4980445,198657589.58823416,3145988.949701529
94,LSO,238554070.03137255,32162641.262745082,176603.48480912196,245692417.29803944,33341162.764705848,183050.7547911372
95,LTU,662967038.3058827,73575416.27843134,375508.1530906774,693197555.1137254,79022854.94901964,368757.39369345055
96,LVA,242902185.16078433,29399753.84705883,340150.4669316003,250037526.12549073,30775434.650980428,374853.3836075627
97,MAC,757371500.7529408,40457678.14509809,373719.5909191957,828041189.1725501,46073919.05882358,414895.79625734803
98,MAR,2055064134.0117662,212983580.44313717,7074910.290353213,2418162418.2549043,262243491.4745102,8107640.545303803
99,MDA,470786637.3254905,44993057.913725495,282198.83997851517,478586212.7725492,45994188.956862785,273998.6657920104
100,MDG,762312013.6666667,88301105.88235268,1051487.8529882375,767102037.960785,89366459.44313692,1321337.3003745612
101,MEX,33169368986.945084,3732340071.4117646,56606567.00709394,35032607163.86275,4029128538.6666627,63910627.44140785
102,MKD,173478635.42745107,25702887.419607833,151683.96894804787,181024670.2039217,27412841.48235301,152258.6017363422
103,MLI,1271215993.952943,171537275.62745133,3281865.223509337,1345053808.6039262,187200940.81176487,4704950.101455961
104,MLT,179375820.6901959,18337978.788235288,205230.77251123908,186449333.79607832,19240667.98823532,211830.16207062535
105,MMR,1550679233.9764695,188970308.20392147,5238832.587152978,1582594910.439215,195114581.0980393,5596362.550392286
106,MNE,52687758.95686271,6857763.921568631,29764.23870790612,55517831.647058755,7444716.949019601,33175.342553901595
107,MNG,574546194.1960776,60092037.88627451,579290.9902616377,583968262.6078427,61643994.01176481,732657.95617364
108,MOZ,2031679283.5137286,295171813.0666663,3023031.7992290305,2143529735.9647086,319400424.5254898,3637422.383540482
109,MRT,369030522.8980382,47926280.8196078,799015.8792898085,403251848.27450883,53175135.57254903,1042131.8645120907
110,MUS,218727004.65490177,30215881.72549022,366455.5619648929,222750028.31764722,30896243.780392203,372017.6672498484
111,MWI,611210698.3137262,84313403.77647059,1330175.1475626766,654540682.4117659,93033341.50196084,1793461.3878835926
112,MYS,7676275650.65885,776579542.3411751,9971571.256963825,8085805625.72156,833255763.7411759,11880750.538766898
113,NAM,266265639.74901995,26319519.427450992,294280.43897426507,278344664.76470643,27977533.098039247,350551.76097878546
114,NCL,122984028.0156862,10288914.647058822,44534.03754388867,123710212.95294122,10366918.105882354,49640.012669513744
115,NER,529848584.4352944,76770500.19215688,706046.7147140051,598991692.1098027,89596797.72156844,963982.3780151185
116,NGA,22303243616.88235,2714364848.3450956,32205936.46915262,23263736709.470566,2894223280.8235245,38559877.817917585
117,NIC,509502032.12941086,68133173.79999967,708394.6117174171,530062059.4627451,71652185.01960762,738819.7036237804
118,NLD,5753576449.247056,648820658.2431352,5161460.049694663,5948548629.309807,677471466.3568611,5389908.442871397
119,NOR,439220309.1764706,63730561.51764702,594854.3883982468,467809931.1254899,69119488.24705887,676270.8559023723
120,NPL,956962104.7372515,107831549.30196087,3504258.666566777,985318583.6392115,113100086.92941183,6631707.736926091
121,NZL,3378122709.65098,315167971.21176434,1703290.492204906,3681870489.074506,347976578.18431383,1833223.2670674892
122,OMN,475381568.45882404,55313966.89019602,33009.83653178123,512413607.4588244,60937587.87058824,35913.165288786586
123,PAK,9228001628.549013,1111354840.8392162,30056585.57878275,9771984199.094118,1210262504.6431365,37606712.335354045
124,PAN,765437400.3490194,83392142.50196081,1014102.8393698323,878198284.0352945,99016767.53725493,1247884.7161906608
125,PER,4365637635.615689,492168655.9215684,11297708.601292131,4571774905.698034,517684769.21176445,13017714.642079469
126,PHL,5550851792.294127,658011030.3568578,22050834.467768244,5622696688.360797,672105674.325486,24314513.951123655
127,PNG,89714040.67450976,12966421.929411773,68055.42892634917,89851582.04705879,13009200.866666678,71813.43234714153
128,POL,5090764799.423533,609097008.9098043,7157740.762811191,5496139470.149019,680628934.1176468,7382230.269079656
129,PRI,1247796692.5647054,141178946.29411718,1156156.302535653,1287748127.1647053,146605203.27843097,1140765.5573371125
130,PRK,1502770783.5215702,127341972.10588232,1147208.1927121729,1661536808.588235,145447690.12941167,1195568.4233241384
131,PRT,1874473023.2588196,186769418.8470587,2766750.185557685,1972396157.2313683,202358469.06274438,2865940.9094066434
132,PRY,1323803724.1215677,176310899.7686276,1908067.448895107,1376037960.090192,184737199.54509813,2122212.2501250496
133,PSE,1109258231.7411776,114242376.48627445,2463626.1726166783,1153585385.827449,119788250.61568618,2883084.749282696
134,QAT,960744774.5294095,100873974.70588264,1869987.9597422942,1059998168.5843141,118934747.8156865,3844046.279213494
135,REU,119591411.75294124,12910564.019607825,49887.53695661227,138230065.0745099,15234890.184313724,63148.50782904432
136,ROU,2528152232.917647,290978263.3843136,4247189.71475162,2629465958.427456,312445693.9098041,4178377.0790020246
137,RUS,29465861394.074516,2852648703.6823525,41048564.664442405,31023946969.58044,3081856325.2392154,42266695.451324284
138,RWA,803661078.6509805,84174340.76078439,776520.2317104926,854869181.756861,93343032.03921553,1049697.898234345
139,SAU,10242253303.278439,936226050.1568627,3444432.166496239,11820859580.792175,1130787488.5960767,4749891.922243734
140,SDN,2987987478.349017,383182355.6274517,2408456.5293522147,3313311715.5960703,436827702.4235307,3031093.885160139
141,SEN,1279846160.5607853,160951094.6823526,2633995.584796202,1376250257.6156874,179310728.05882338,3110170.899919745
142,SGP,2193663667.678426,163643410.5333333,2942555.345653591,2260970575.1843114,171347727.76862764,3294825.436445016
143,SLE,611746293.3607838,60099162.560784325,1173338.062515766,629366131.0078429,62848994.28235289,1362096.475469473
144,SLV,711209090.9882321,68652302.05882342,930630.6829830221,746562283.3725476,73638977.49411748,957445.5670285359
145,SOM,557444704.243138,73782054.69019607,490958.6199222823,589964009.4862739,80258341.53725499,561821.2454733829
146,SRB,643233596.7137251,79515166.027451,1339488.4846595342,664869599.2549022,83517351.93333337,1367458.5496434812
147,SSD,250847042.12941176,35633386.17254903,9599.743836344463,282890842.8313728,41526670.439215705,11932.18136283078
148,SUR,207098677.94117656,30623033.84313726,161389.7903980576,212417321.53725463,31666982.81568622,173250.51980703705
149,SVK,300273854.3725491,33704108.74901965,379757.32236286026,306529276.54901916,34769002.1843137,375970.01682440506
150,SVN,265739473.5254901,31168720.768627394,214866.9853581259,269514925.7019607,31903906.858823508,227085.72389260778
151,SWE,1303900450.776471,149514376.3764706,1946175.6745101234,1355624743.635293,157790107.6980391,2186205.113180636
152,SYR,1916834590.5019598,185722347.6901958,4841967.2938181525,1978712601.6588216,194186110.82352936,5473805.627952864
153,TCD,511546161.21960765,72760951.5803921,525166.9458975749,535611704.831371,77762648.34117638,672088.40694985
154,TGO,1155114107.3725467,111725807.86666662,1499367.0404470433,1205598874.329411,117204060.98039196,2062064.23887137
155,THA,9770908875.54116,1101004607.564712,14946898.357991574,10026313136.564611,1147778582.627453,17919799.652486376
156,TJK,805423447.1372545,104464858.07058817,1135886.4960869472,821428610.5843115,107658738.58823532,1283134.1028322037
157,TKM,743868365.2078434,99026513.41176467,807618.8171552714,800541126.7411779,109362967.94509801,1044095.458709178
158,TLS,63764965.34117646,8245438.27843137,176706.22387543815,64361108.83529414,8345596.850980388,233984.70913628972
159,TUN,2038636502.4980388,268270379.9960783,2573263.97928188,2099697386.321566,278765380.05490226,2852766.0839415966
160,TUR,11029227382.168633,1042805797.5686278,24960864.878581386,11772466403.066677,1142975204.8823526,29095983.308031574
161,TWN,8443521545.46664,647262444.352939,12862851.792682987,8793410975.921535,685770751.2901981,13527673.958181757
162,TZA,3410562825.8941183,450223281.7882353,7350463.094897293,3586533855.725496,487714402.3686268,9453795.680568753
163,UGA,1292877498.4745092,171373711.52156848,2744266.008122892,1327875775.1568487,179368794.50980398,3420666.9432869647
164,UKR,8543225422.003925,904010676.2901957,10850210.984453218,8780261991.294128,943598139.858824,10846989.047494378
165,URY,976723301.207845,111515712.8509807,1375171.6937972729,1008982035.2745092,116839207.1843137,1412524.6053892644
166,USA,184324960624.44708,22426142296.3215,146018794.48529238,191080167862.20786,23525622363.023483,156831190.5136269
167,UZB,6748233431.894129,912113584.1529429,2983359.8974946802,7061034488.105886,968447302.3176498,3768453.757936079
168,VAT,1104688818.8156912,111093077.94117647,620.1342856884003,1122979946.8313754,113934861.06274547,635.1771292686462
169,VEN,6773094334.952941,692379308.878432,6631636.2753794575,6986571050.321567,719862884.2156864,7412169.525362411
170,VNM,8135632923.564695,1049466230.8274465,18736594.884720717,8497970154.039206,1118485914.0941148,22020088.05991961
171,YEM,731013222.7450988,68144094.83137262,2281585.586385879,759370486.9098037,72492135.43137252,2647688.0231313496
172,ZAF,12582857223.262749,1592930126.415679,18709339.437779542,13450093335.862728,1735654850.3176413,22080240.710069552
173,ZMB,1553788430.5607839,237247922.76078442,2384951.5897645927,1601239721.6509812,247777882.45882368,3107593.806670256
174,ZWE,952946673.5960763,147882134.6549024,1568249.1732614054,1124651882.7490175,184677858.45098054,1753486.357575059
