,country,urban_built_volume_2015,urban_built_area_2015,urban_population_2015,urban_built_volume_2020,urban_built_area_2020,urban_population_2020
0,AFG,893845207.3921554,130070818.31764704,3181263.509049863,955496230.8235282,142564288.41960785,3615488.431298877
1,AGO,4263706962.4588118,535555229.1686282,5358001.634229322,4753714320.599992,618483923.2431368,11835423.130176304
2,ALB,288570029.12941164,32827264.49019604,627724.3603797513,303435059.392157,35603813.54901961,744328.9153869596
3,ARE,2884945117.1294055,255559417.94509846,1103653.2510479393,3344289025.8705974,307795117.537256,1633668.39012016
4,ARG,11879392834.200037,1464033139.54902,17912615.000075515,12260756112.011782,1524018329.8823514,19021243.730469577
5,ARM,756382473.5333372,73229151.99215698,965679.866632505,771809561.019608,75201770.98823513,960693.5351152008
6,AUS,14925279712.737247,1728889630.9882343,10512754.878011754,16019859811.462729,1883257690.8862724,10921764.944706922
7,AUT,1476764291.886277,152991838.45098075,1952760.613715617,1508779985.1647086,158284565.21176487,2058018.2256748325
8,AZE,1804746388.5960805,199332296.80784297,1932840.9087677929,1932037978.803921,218118643.75294095,2128035.6758502135
9,BDI,301208565.6549024,30828974.39999995,558805.273665646,309226346.58823556,32109054.552941162,718840.2833239576
10,BEL,5080883596.462758,597152498.8549012,3753011.391563156,5380003276.560782,649664768.1764709,4135619.948792056
11,BEN,1285830373.5294132,165739159.6862744,1658852.2103713816,1316493014.1882377,172082838.76078475,2025998.1641792005
12,BFA,1156538696.7333305,167692130.51764682,1909714.9995901426,1200145277.6274495,177790692.52941176,2748388.0564146396
13,BGD,2883852694.427445,339228589.9176473,19080480.14323144,2907548340.3294096,344002603.2784316,22046142.16488928
14,BGR,806711098.54902,88361409.84313726,817816.1675199082,829143975.6313735,92273550.92156865,830515.1994346353
15,BHR,458981106.8509804,52338833.925490275,1006540.1372743108,597250927.2313756,69825355.21568623,1712859.9427321246
16,BHS,118266191.3372548,17846504.713725507,122477.79767397721,121551582.96078452,18495553.38823529,133112.24496268446
17,BIH,200783198.09803927,26277821.890196018,226478.03718950757,215305851.93333256,28958526.9254902,223090.8812824019
18,BLR,2217235607.149019,222741134.9568624,3018891.565162676,2294633215.1019583,233934551.50588226,3126260.8756596977
19,BOL,2335971728.8039207,268987353.79999995,2708829.3584439983,2436136170.168626,284934746.48627484,2832139.208736481
20,BRA,44417138397.52544,4548801496.52549,78296428.07768461,45748095875.67842,4741295836.423529,84253727.19715892
21,BWA,289248802.8549018,44676883.65490199,97207.726039501,307668718.7882356,48117774.305882394,106372.06584909162
22,CAF,253756170.4862743,35324284.48235299,663067.6476362301,270497829.6509804,38639418.12941175,760328.2470080461
23,CAN,19830736623.43138,2304348975.8548975,15927802.09277949,20366283560.192135,2388051988.415681,17383269.535403978
24,CHE,5996772189.639224,595463855.6196071,2040496.9007419148,6133348702.125457,615243489.0196073,2134026.948128446
25,CHL,3449482284.6078386,426933942.611765,6765154.60295889,3548188692.8431396,440244348.9490192,7649470.815907487
26,CHN,252819394244.7053,21863558700.423515,345856834.07693684,278980288163.6661,25366326264.964733,390744178.69584745
27,CIV,1995378678.6980357,226289478.9921571,4758144.790375272,2134214854.109804,250579727.4000004,5465329.942403341
28,CMR,2919102058.933334,328380193.9176472,3975795.640561025,3070640750.2549,353579771.2039212,5474416.308356806
29,COD,4607397489.184308,550335329.4078429,10983712.638325173,5169135172.058816,643497174.1960793,14270687.615137164
30,COG,2071591530.1843095,249347387.8117643,829271.6210761089,2266237920.4039154,282469517.31764764,776025.6064711632
31,COL,5517657579.439217,519624825.2862749,16233271.571883865,5751214248.737253,546472634.4705892,17447495.191329695
32,CPV,53102985.929411724,4515066.41568627,4934.439503060609,53206220.498039186,4528617.427450977,4831.098204365431
33,CRI,862624036.1098045,99537331.86274514,1277783.2692771628,885564281.7960774,103100814.67843133,1340094.799152327
34,CUB,909822813.3019613,110263188.78823544,1165307.355871499,958941516.4470592,117532757.56470606,1212781.8458242372
35,CUW,166022649.56470573,20930260.690196086,92892.02520174783,212979389.2823529,26876774.443137288,106278.9677098099
36,CYP,398183767.89411753,44419545.400000095,364662.6106159992,405265282.9137257,45761498.039215736,396347.3680724654
37,CZE,1117448979.9411755,125048991.12941194,1264843.554724197,1164404212.3960779,133402605.58431378,1335542.2000589354
38,DEU,18616079988.78822,2069621896.6980429,18539725.767051615,19149531509.564667,2147760481.2196136,18640328.740815565
39,DJI,106965110.90588225,11454522.56078432,265320.50059438404,107677505.45098034,11647276.611764705,290145.9120727614
40,DNK,1043424346.3490195,125191619.56470564,1415538.9611174692,1067263346.4509813,128903775.84705864,1527701.7078131363
41,DOM,1318215950.8431387,153282160.04705882,3400445.995165882,1532068395.3058774,193564839.14117733,4433811.393481185
42,DZA,3874603791.878428,424300918.1294109,7814691.22266528,4097547290.4352913,457295480.6941173,8952734.527684411
43,ECU,3243144837.9725485,304493625.5411765,4242689.676032904,3405556612.858828,321846706.39607793,4789985.486382757
44,EGY,8669314778.615688,669523469.9411758,24258702.401754756,10169513400.600061,853275932.7960756,28072102.945827264
45,ERI,108700821.34117651,12212511.42352941,145491.07953128996,109395730.49411765,12336344.999999994,147355.56915944407
46,ESH,51321536.19607839,5776497.125490196,168.50260046168285,52374868.97647054,5900868.945098036,181.41067750684763
47,ESP,8424723891.011762,717684113.9960781,15081328.85323203,8558200097.752936,736922207.0039217,16225377.734181581
48,EST,168043784.46274495,18780495.5490196,277629.0696059491,182508415.72156817,21188369.82352944,288410.34305528627
49,ETH,1638688748.015687,185467990.36470577,4090114.762768758,1780702295.541178,211802567.9450979,4723224.061002399
50,FIN,551768803.286273,73621165.2117646,622751.9036777416,594469987.0509807,82671729.78431378,713972.9725276588
51,FJI,224164057.98039228,20112884.541176476,170850.23955025716,249956437.39215714,23348298.38823531,197595.8166366047
52,FRA,18591551331.078407,2016357503.231377,20839380.157659233,19098319299.349,2098054720.5294147,21517015.095510248
53,GAB,593446822.1568626,61739091.02745098,394980.52937185235,622904716.9254903,66853547.08235298,466582.1072408831
54,GBR,16740285068.00393,2214221321.7372556,29937127.468912225,17021357028.050953,2262559550.6549034,31336772.35754256
55,GEO,738870469.3098042,59524358.733333476,964056.0818070794,767531120.0941168,62727633.290196046,973577.3066722093
56,GHA,5961484702.980412,708177064.6078424,6779902.563992847,6215113113.090202,752415969.262745,8583256.775651913
57,GIN,973390961.8235302,124464981.62745109,1387383.0243222918,994727771.0784324,128951534.93333338,1700639.0207633036
58,GLP,121569131.02745084,15799212.20000006,56094.6378705767,124135480.31372547,16311865.231372615,58474.72206427238
59,GMB,7422210.247058823,905275.0980392164,25122.090829796893,7524947.850980393,921953.423529412,24998.193212037924
60,GNB,141387343.1999999,18736099.262745116,244753.20521381334,144725068.96078447,19292637.254901953,289195.30386832845
61,GNQ,228397738.61960793,23702915.976470597,32032.121663567144,243674429.74509808,25826990.686274506,52504.25582689747
62,GRC,2408228333.643138,216769254.77647027,3963547.968062508,2424589867.2862806,219348791.51372495,3941582.3069034633
63,GTM,1228715663.1490202,116271929.07450984,1700424.9326841729,1369978964.4509814,135287124.35294163,1970358.141102731
64,GUF,57103093.87843126,7264922.537254902,39074.76656060118,59171731.278431416,7565627.929411768,42569.1231306357
65,GUM,7804879.149019603,1661589.7882352925,14358.665197041908,7810685.498039207,1663270.6274509784,14707.14272634235
66,GUY,89800407.40392138,14463704.788235273,122932.75084798118,93603865.4196077,15203344.337254876,127042.74056212298
67,HKG,22529615228.991985,1547331349.9098165,3583582.5729912072,23725087749.91362,1664958881.4156933,3810318.2269596364
68,HND,760335531.0980394,71331592.46274506,773628.5976051486,892268907.1137265,87449090.42352936,959534.4269882848
69,HRV,467229053.4156866,54282536.650980465,525333.880910072,485475652.8941177,58115880.04313725,540222.7720212466
70,HTI,746880532.0901968,77302105.39215688,2572096.642936122,848665821.1999984,92983779.32549042,3261694.1512944475
71,HUN,1676284813.8627472,218623471.56078464,2307902.4958204827,1711865446.6117606,225424690.74117678,2362553.3977347426
72,IDN,22804407292.384235,2897179139.5843086,56067657.768407606,23057870403.69797,2946098886.364703,63347965.63151643
73,IND,54999323441.878456,6239164443.164708,163273223.89757693,57217539538.43529,6652524733.878429,180233682.08637103
74,IRL,681961667.1764706,82027899.0352942,1124757.7297927218,700578706.8588253,84804705.1372549,1235482.8331858653
75,IRN,11605949741.24313,1278754227.6941168,12782420.691749407,12094734933.10587,1345057354.219607,13862985.085028201
76,IRQ,4099866032.2156863,528721425.34509844,4451802.061671967,4401347906.435295,578006809.6745106,5348368.245385028
77,ISL,76915690.49411757,11778868.3372549,66281.22677458363,77059291.26274498,11809345.078431387,77012.51867964983
78,ISR,1959922550.4196105,175499317.09019613,2268150.730358414,2019781112.8196082,182703835.65098053,2531085.585823724
79,ITA,13730149724.725504,1397854338.3176463,18792723.28203846,14247926236.701927,1472835732.3176482,19512150.68441623
80,JAM,346605118.0313724,44079888.67843138,458862.23028639547,365582168.64313716,46981997.27058824,478408.2263420484
