,built_volume_cubicmeters_2015,built_volume_cubicmeters_2020,built_volume_change_cubicmeters,built_volume_changerate_relative2015,population_2015,population_2020,population_change,population_changerate_relative2015
Australia,15661625848.3451,16171295840.98822,509669992.6431198,0.03254259791278148,11022921.138674667,11003768.399275573,-19152.739399094135,-0.0017375375509034033
Iraq,4198766964.4901958,4462072829.541178,263305865.050982,0.06271028310878214,4664029.085894604,5425937.924703932,761908.8388093282,0.16335850930123155
Syria,1946758086.3176467,1983272867.219606,36514780.90195918,0.018756712073572542,4891431.686456006,5481783.803304909,590352.1168489028,0.12069106852366801
Libya,2494505140.1372423,2781814688.843122,287309548.7058797,0.11517697201059787,1744616.966460386,1932344.0533441938,187727.0868838078,0.1076036118487848
Sudan,3076995227.678424,3313538913.7607765,236543686.08235264,0.07687489533769071,2625934.3280695383,3031620.7503452296,405686.4222756913,0.15449221937470636
Myanmar,1443926331.7607834,1465474810.9921556,21548479.231372118,0.01492353090139648,5288462.85398262,5579867.111157263,291404.25717464276,0.05510188219535151
Thailand,15055902608.552914,15279328431.529308,223425822.97639465,0.01483974948466202,25576946.550818104,30322193.55272169,4745247.001903586,0.1855282839362936
C�te d'Ivoire,2880911337.031374,3016628041.6705875,135716704.63921356,0.04710894878808121,7343554.357889817,8259135.78131676,915581.4234269429,0.1246782387391542
Cameroon,2509018203.168625,2594538635.478431,85520432.30980635,0.03408521795569402,4151652.6135244016,5458765.524723161,1307112.9111987595,0.3148415902960463
Ethiopia,1699189214.9843135,1780702295.541178,81513080.5568645,0.04797175019594096,4265584.848199761,4723224.061002399,457639.2128026383,0.10728639309467247
Ghana,7155389838.137266,7310499310.517647,155109472.38038063,0.021677291648551138,9092822.55974155,11172461.641988354,2079639.0822468046,0.22871215935241074
Mozambique,2079867623.219612,2144002614.8196099,64134991.599998,0.030836093068614505,3140575.7405473916,3639410.310254522,498834.56970713055,0.15883538908702943
Tanzania,3505364895.5764713,3587192081.898045,81827186.32157373,0.023343414668422678,7507707.071792291,9456183.383775912,1948476.3119836217,0.259530145935551
Zambia,1559726076.3607845,1576290519.043138,16564442.682353497,0.01062009729362371,2463506.3019106872,3107270.243678556,643763.9417678686,0.2613201927953533
Bangladesh,5055584112.419602,5086516772.105883,30932659.68628025,0.006118513508714205,40677771.81070354,47928392.13513127,7250620.324427731,0.17824526766532173
India,56859750048.76085,58059771107.45882,1200021058.6979675,0.02110493024800273,170412415.45414218,182906226.2143251,12493810.760182917,0.07331514389305156
Spain,8861340843.149017,8962631185.756859,101290342.60784149,0.011430588711205286,15922230.727941863,17028277.99573804,1106047.2677961774,0.06946559729568415
France,18253872919.28233,18619316823.376457,365443904.09412766,0.02002007495670105,21067794.281896394,21619850.776728608,552056.494832214,0.026203810776080978
Italy,28538453008.399986,28901728873.43914,363275865.03915405,0.01272934678457265,36979174.537658915,37720444.65777226,741270.120113343,0.020045610249045637
"Korea, Dem. Rep.",1536493944.235295,1635133048.4392154,98639104.20392036,0.06419752227075162,1224566.5933365445,1201135.9468245136,-23430.646512030857,-0.019133827951479544
"Korea, Rep.",24114616780.505985,24882588523.62759,767971743.1216049,0.03184673221688621,33484938.12609332,34540590.66036678,1055652.5342734605,0.03152619038142518
China,531837637261.55994,556302582107.4117,24464944845.851807,0.04600077755275497,688449081.4461911,754690385.0943607,66241303.64816964,0.09621815967713951
Japan,107437944663.88614,109663267163.46669,2225322499.580551,0.020712630966111215,92325538.79078451,93585050.64216058,1259511.8513760716,0.013642074206901784
Saudi Arabia,10614489095.33725,11823186485.662764,1208697390.3255138,0.11387240398188099,4039932.9796028426,4753150.762075294,713217.7824724512,0.17654198375898952
Turkey,12271494780.352951,12818632675.741182,547137895.3882313,0.044586083861944535,27622926.393693395,31559809.703620333,3936883.3099269383,0.14252231113448466
Algeria,3935989316.203919,4099953807.196076,163964490.99215698,0.04165775814409303,7994856.257157084,8960091.171477487,965234.9143204037,0.1207319910794287
Egypt,10868953234.156927,11828366794.509869,959413560.3529415,0.08827101742768335,30961445.37341926,34174739.042574495,3213293.6691552363,0.10378371004326188
Morocco,2323721256.9294147,2419447863.2862763,95726606.35686159,0.041195391259343885,7448007.6009528525,8112718.448594627,664710.8476417745,0.0892468003868223
Indonesia,31085853295.82339,31282188831.811653,196335535.98826218,0.006315912711800685,81001707.91846815,90968317.22921525,9966609.310747102,0.12304196500126814
Malaysia,8504192548.33335,8752677417.466654,248484869.13330364,0.02921910195718718,10988010.682832763,12662870.35186888,1674859.6690361183,0.15242610490476255
Philippines,6882539789.760804,6949004857.298048,66465067.53724384,0.009657055326599684,25599565.433689047,28049245.892724663,2449680.4590356164,0.09569226733090692
Vietnam,11914193740.972548,12219259436.662737,305065695.69018936,0.025605232072152543,28484389.44345675,33348808.244513903,4864418.801057152,0.1707749014846648
"Congo, Dem. Rep.",4774732602.13725,5169190787.980384,394458185.8431339,0.08261367048420007,11506096.289380629,14270786.714571474,2764690.4251908455,0.24028048746145755
Nigeria,28906376176.9647,29668599295.070583,762223118.1058846,0.026368684661112765,45010951.21889292,52463304.899673924,7452353.680781007,0.16556756698029862
South Africa,16968187290.533312,17483033454.819595,514846164.2862835,0.030341848275892164,25010240.00261783,28390479.214280747,3380239.2116629183,0.13515420928823985
Brazil,48039710003.61958,49122386402.23138,1082676398.6117935,0.022537113536493424,83964046.59907089,89695390.83341515,5731344.234344259,0.06825950471052784
Albania,292751916.82352906,303675995.96078455,10924079.13725549,0.03731514128339774,638156.0807153356,744875.8238204211,106719.74310508557,0.1672314130196158
Bulgaria,816321548.8078432,832615259.6745111,16293710.866667867,0.01995991762126483,841938.1922370589,831077.466066951,-10860.726170107839,-0.012899671579514067
Greece,2434493935.32549,2446624671.976475,12130736.650984764,0.004982857617742594,3986794.1183887366,3959179.016758816,-27615.10162992077,-0.006926643516039252
Croatia,481788559.15686345,489787737.2431374,7999178.086273968,0.01660308850063322,553497.1750825454,544571.9368464543,-8925.2382360911,-0.01612517396273981
Macedonia,175281960.02745107,181024670.2039217,5742710.176470637,0.03276269945618628,156528.39315961878,152258.6017363422,-4269.7914232765615,-0.02727806334102255
Malta,184408279.99999964,189384110.25882334,4975830.258823693,0.02698268352605264,213328.83203936723,216037.120531446,2708.2884920787765,0.012695370176587265
Montenegro,53238023.61176465,55517831.647058755,2279808.035294108,0.0428229276864123,31082.25887762238,33175.342553901595,2093.083676279217,0.06734014038426689
Portugal,2033476807.5215678,2061638722.7568583,28161915.235290527,0.013849145036286249,2977670.2551035034,2999773.914095056,22103.658991552424,0.00742313859423098
Serbia,709553430.2313715,728901699.0509806,19348268.819609046,0.027268233786566225,1354889.2100272374,1367458.5496434812,12569.339616243728,0.0092770239243333
Cyprus,400264191.71764696,405383075.0509806,5118883.333333671,0.012788761621086048,367919.15960786224,396445.3006168475,28526.141008985287,0.07753371974264452
Israel,2362799489.172551,2425949481.4235296,63149992.25097847,0.02672676735387881,2728215.2831451492,3012279.19670242,284063.91355727054,0.10412078376373404
Jordan,1610894818.4078445,1701928914.7019596,91034096.29411507,0.05651150854410853,2326735.0793518913,2541565.7899499233,214830.710598032,0.09233140141501317
Lebanon,1020131031.0392177,1059099626.6274501,38968595.5882324,0.03819959828938318,3444278.418812506,4602214.182305337,1157935.763492831,0.3361911038225696
Palestine,1301926137.701961,1347486216.7058806,45560079.0039196,0.03499436541333905,3011159.594801646,3508743.8698635623,497584.2750619161,0.16524672950611022
Yemen,740465211.8392158,761217871.1450979,20752659.305882096,0.02802651491801389,2375143.165133982,2661211.1169862915,286067.9518523095,0.12044240366292716
Western Sahara,51454253.10980386,52374868.97647054,920615.8666666746,0.017891929452402536,169.99113938091136,181.41067750684763,11.41953812593627,0.06717725504708626
Tunisia,2049476509.5725467,2101763553.7490168,52287044.17647004,0.025512390082175374,2601701.0139329387,2858246.091341125,256545.07740818616,0.09860667157152396
East Timor,63899651.61568627,64396635.070588246,496983.4549019784,0.007777561259504229,177653.06993585074,234272.91760339175,56619.847667541006,0.3187102124831619
