geo,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_percapita_tonnesCO2e_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_percapita_tonnesCO2e_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_percapita_tonnesCO2e_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_percapita_tonnesCO2e_2015,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020,urban_ghg_percapita_tonnesCO2e_2020,urban_ghg_emissions_tonnesCO2e_2024,urban_population_2024,urban_ghg_percapita_tonnesCO2e_2024
global,7321046219.953477,2301722375.4648457,3.180681692106743,8393316331.520591,2468524017.223064,3.400135576141791,9110742945.54014,2639919482.6428475,3.4511442509675683,9384756766.046125,2815166395.266448,3.3336419409616758,9198370211.275469,2985933080.6069217,3.080568104830335,9599757506.202112,3103352618.5008025,3.093350542562468
AFG,498423.4420007105,4212689.230278067,0.11831479009141414,562609.9026844366,5127849.475706471,0.10971654011098388,2083737.1613668904,5940218.066984151,0.3507846240440806,2428491.8257021774,6951778.128199022,0.349333908665943,3113986.8440148095,8425116.390099641,0.36960757570946523,3172229.754131195,9931179.766051972,0.3194212398586235
AGO,16826826.723295987,10094103.168640299,1.6669957144456848,18326251.16561025,11272264.025467172,1.6257826399564599,24324928.646020528,14523559.881846022,1.6748599409450502,41619778.13472142,20056353.27306659,2.075141854955859,37751336.96621985,26027183.510840293,1.450458016346504,42116661.81559585,31583423.418636218,1.333505277668676
ALB,396718.98027421715,582895.703713466,0.6806002819146396,485402.6050735143,672858.6329774645,0.7214035479125249,461468.4977256025,775430.1517298201,0.5951129146786003,523490.58419215004,902655.9119886206,0.5799447798872328,531580.3933256306,1035787.748932048,0.5132136326904022,574183.5843639025,1159470.6624522542,0.4952118263600712
ARE,35819431.71861218,2519074.4323236723,14.219282788548343,44305995.818308406,3251629.5578659745,13.625782097818723,58973956.551973484,5714545.337036954,10.319973519109753,67350618.75306077,6115237.202921826,11.013574211132974,60690057.886848025,6287090.941798163,9.653122318203678,61157575.018475994,6399857.663614294,9.556083624512596
ARG,46074834.09969039,22395263.61961732,2.0573472535206396,51034443.31413301,23602354.68887119,2.162260672160664,55455008.41775482,24853235.51036203,2.2312993571655504,60321940.19853152,25922504.042614214,2.3270105426299788,49208923.4450352,26747623.126575407,1.839749394260872,49452724.39597672,27381614.238886468,1.8060558433310183
ARM,732434.1436537979,1512270.1537828112,0.4843275798452268,1325477.1091063328,1463874.628825228,0.9054580788588703,1163989.9650159238,1416947.063191772,0.82147738278518,1334509.3774874434,1402631.9553695226,0.9514323214858368,1555040.4315746794,1312607.514006655,1.1846956649120595,1848758.5613085674,1302044.843015225,1.419888547791706
AUS,78489437.32399638,11518932.57816523,6.81395058017593,70994286.74867988,12219811.661559163,5.809769308639369,84700581.63020681,13398414.680992976,6.321686829887663,84694488.51899104,14679698.278900525,5.769497908599689,73001286.87901178,15971386.344757108,4.57075455462736,71725137.93289712,16852352.789738826,4.2560904597588065
AUT,17845925.371850137,2503752.3049452133,7.127672069078989,20876199.33214472,2611559.688309461,7.993766876398102,22391698.75253898,2709825.4198411154,8.263151784092374,19650760.730885673,2857227.4192133388,6.877562702480289,19337279.578654934,3078142.2978799427,6.282126590435213,19342569.209826015,3172635.779979296,6.096687597071808
AZE,3944938.447397671,2541793.3433325477,1.5520295769700374,5204708.412153273,2611012.0823123027,1.9933681837059913,5036995.739315659,2821045.965131616,1.7855064403676446,6026640.587769344,2977435.692998952,2.024104366700579,5738578.7173564145,3125718.370653901,1.8359231500936224,6395874.484405492,3235894.8329500216,1.9765396635510115
BDI,1044204.5675180139,393114.36733655224,2.6562360836434444,1491755.9368482663,509412.1213987245,2.928387202001121,1695120.6125342755,692154.0346686335,2.4490511181457015,1197572.071551973,896726.1349680104,1.335493663954263,1253797.8413381856,1081814.8342097146,1.1589763808832476,983142.2984992403,1374962.1782941262,0.7150322489008353
