geo,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_percapita_tonnesCO2e_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_percapita_tonnesCO2e_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_percapita_tonnesCO2e_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_percapita_tonnesCO2e_2015,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020,urban_ghg_percapita_tonnesCO2e_2020,urban_ghg_emissions_tonnesCO2e_2024,urban_population_2024,urban_ghg_percapita_tonnesCO2e_2024
BEL,67611374.10596536,6650955.391481906,10.165663446270807,64909892.217716165,6767363.777791157,9.591606768759004,65865765.207864724,6912941.724245723,9.527892442207936,59093349.56266776,7077510.454169285,8.34945422480535,53134553.43178735,7197716.701071911,7.382140147843601,50015865.557144076,7264026.326353965,6.885419092671234
BEN,1171796.783147701,1806752.7168352553,0.6485651147658126,1404828.598835192,2084448.3624572316,0.6739570162242462,1866040.9444885754,2401579.9983797064,0.7770055320861902,2206503.0869381884,2802763.912391136,0.787259703602985,2919528.261703858,3313405.169237463,0.8811262470432343,2985987.751393827,3871106.353241359,0.7713525485791928
BFA,2466471.84585605,1474160.9802376935,1.6731360271510893,2769373.3575731246,2000304.6025570855,1.3844758213488593,3711547.566264579,2550794.873937674,1.4550552865644761,4647421.72399319,3166079.1989595788,1.4678791754547398,5613756.618635628,4010718.2688533184,1.3996885949908981,6167345.277144559,4877999.815869844,1.264318472723189
BGD,6647952.063575947,25354038.397547413,0.26220485901839713,10187425.400480125,28147105.190422107,0.361935102439831,14568163.965873662,30565255.166144427,0.47662497455640657,19194601.11965819,33320737.515761916,0.5760557103689091,20438419.335592423,35882917.29986691,0.569586334488702,23649853.50746663,38929620.270172685,0.6075028048908765
BGR,2517769.321013491,2141927.4766223384,1.175468986925658,2724439.7186315563,2135707.534509317,1.2756614258316514,2623077.118317916,2149114.2049759612,1.2205387281162456,2682826.380465884,2153192.5911094313,1.2459760411322796,2760710.4540423467,2158878.6811263775,1.2787705386955641,2589853.276969411,2076052.276708305,1.247489432720724
BHR,5014520.515171881,687323.2778975028,7.295723390179828,6169806.62189973,867840.7227205134,7.109376709770631,8219783.424773519,1160748.759241975,7.081449245004091,8501096.808226032,1299933.9017265053,6.5396377438386,8217817.238766985,1404826.3304868897,5.84970331237942,8037725.715155936,1433474.1004568192,5.607164937681452
BHS,340300.7613757653,202566.66699413233,1.679944516170682,311131.8680189787,214941.38832428295,1.4475195793821374,426289.38077680825,228021.64611643943,1.8695127766910482,176080.38361986598,242247.20906543077,0.7268623828491945,174729.56438334537,256117.98959217468,0.6822229264784295,212482.6173823805,263838.7728393178,0.805350233764868
BIH,447980.20478438656,618993.6397085087,0.7237234376032452,448643.074444738,591095.4714358887,0.759002726505237,391233.4670714213,549332.1797312377,0.7121983410162379,526463.4127067119,507587.3430906007,1.037187825648249,638747.07610772,439482.9523631537,1.4534058094246858,645577.1051911082,402813.8544139383,1.6026685728830525
BLR,13743292.507644834,4836886.607585108,2.8413509810407547,12467281.040317101,4876956.341403633,2.556365111263002,13935903.487864682,4930248.635316238,2.8266127164539645,11199835.836949132,5081527.0300246915,2.2040295703976036,11544000.342962213,5287996.5718457475,2.183057455903917,10440439.99545424,5243576.991545342,1.9910911982961699
BOL,6107304.845921665,4156549.417639726,1.4693208794783597,7326550.322171784,4636906.717483291,1.5800512644663063,9789247.74919154,5097489.133416809,1.9204058101895116,11607140.854361888,5595163.635573903,2.074495333892291,9623349.049156625,6263917.153302238,1.5363148671408189,10616363.736399414,6705071.340163445,1.5833334498333058
BRA,128276093.51313059,81814890.19716275,1.5678819980568655,168661116.267321,86983485.09110413,1.9390015942758552,200836387.30933613,92341402.57765058,2.174933255323378,203308980.99947283,97487945.4655636,2.085478158643616,202672417.13902855,101117542.09956805,2.004324995750607,220700850.82490265,103482104.27701445,2.132744133556675
BWA,392715.9645418384,205821.0702889743,1.9080454882022637,432524.0713010567,234859.53263092216,1.8416287661645017,501300.23405100964,265205.0544112737,1.8902363499965773,542611.3219802569,297738.43032225437,1.822443012791351,585148.081867914,336698.9573033455,1.7378969229795707,627979.8748057015,369336.96917333594,1.7002897820147005
CAF,348319.68461766915,794355.9185837151,0.438493220065258,357514.55132281396,888556.2483444049,0.402354439562999,405915.04702771455,997702.4718416354,0.4068497958899967,415349.8792699923,1080664.6624657991,0.38434668375504255,404547.5747817992,1184859.2391299605,0.34143091552280724,1094597.3359646914,1382102.7899283175,0.7919796877202328
CAN,186333290.94265285,20900913.179865625,8.915078941247046,202347949.51969412,21871127.004041295,9.251830026056945,192084862.85189366,22937903.56260796,8.374124615512782,204180841.01937005,23942584.355321757,8.527936583169495,202837141.12249926,25052649.935346965,8.096434574624174,210541142.35601825,25819129.701279245,8.1544631748601
CHE,26835569.373046383,8098068.49735364,3.313823460719794,34350582.49201959,8316004.580816354,4.130659399979252,32216637.69961457,8599434.794016892,3.7463668800686163,29042323.138680592,8892983.353976266,3.2657570561734013,26059157.099452857,9122549.807735626,2.8565650666391034,27895917.733135417,9194288.99883992,3.034048389892373
CHL,17181111.807830937,9153784.219686534,1.8769408799128644,17888743.410538767,9769893.869007459,1.8310069331752235,19034477.01261162,10309632.038724603,1.8462809284671968,16751243.845517814,10787299.637307217,1.5528672057634016,17077371.36690171,11523449.436359704,1.48196696320963,18246825.796928834,11581557.964549853,1.5755070131998468
CHN,1384567576.272331,459101337.48894554,3.0158212647456493,2089301103.7197974,490457325.6100774,4.259903960290381,2595123949.129385,515709775.1896378,5.032140312203897,2818088119.772563,546587268.5834423,5.155788072188425,2876108366.9572144,576951703.8924512,4.9850071462712,2977371826.117202,586222852.7237234,5.0789078117368875
CIV,6099957.127398927,4977672.680635859,1.2254636893118702,9838416.85847514,5595026.755561216,1.7584217713876305,7292944.881258218,6247389.2526219,1.1673588096335632,10743325.109956667,6967031.122173649,1.542023413066777,10269165.183254793,8017119.034862714,1.2809046664517492,13991414.616893245,9074285.447333619,1.5418750818561116
CMR,6876122.772213564,6251384.370941139,1.0999360084426182,8286010.524580092,7540001.6741890935,1.0989401438655821,7356231.891295772,9086990.245443456,0.8095344764989103,10673123.090230025,10942370.435196647,0.9753940568397708,12591365.011965115,13003119.55772521,0.9683341721244523,13715736.114959547,15186291.177490225,0.9031656218530567
COD,14650539.287629792,15625383.917714337,0.9376114766063844,16636059.46603832,17657602.386161875,0.9421471331281007,19749750.890964177,20357072.756895997,0.970166542450162,33369037.801040944,24222474.235911198,1.3776064937069659,36097117.18001366,29213801.76667768,1.2356186116518164,40394358.206996545,34772050.12254097,1.16169044001265
COG,11112568.403126236,7476143.56815785,1.486403825958684,12361146.160282478,7878986.728665888,1.5688751086874253,14564050.228175122,8713895.95014505,1.6713592073511838,25237671.27132692,10656862.033665167,2.3682085018648813,26158238.932981286,13625689.92553958,1.919773536307404,28818785.41899747,16738250.340443585,1.7217322499571204
COL,17532508.980963413,20204669.70394246,0.8677453894503587,14327788.569245106,22174702.644222736,0.6461321623619598,14881039.650475018,23982958.54607255,0.6204838999278485,20354360.128773652,25860438.46072652,0.7870848810117901,14531048.907921495,27889380.98531009,0.5210244327608167,15635849.61158914,28406954.001035728,0.5504233087088131
CPV,6326.496525055338,13853.21192501085,0.45668084479624266,12729.09179020828,14726.367441058888,0.8643741806087248,15249.950033470192,15304.550399850608,0.9964324096458953,15263.402597600232,15514.780833711575,0.9837975000223573,12906.246908446836,15617.266901824956,0.826408806968566,14174.657664701892,13758.922718812559,1.0302156610939386
CRI,2547136.029941453,1673855.7989636543,1.5217177199603924,3880273.653288232,1776148.7171285574,2.184655831951587,4483283.730754648,1864605.21441225,2.404414455189563,4092134.2424596837,1969414.860927294,2.0778426748201304,3182679.0150489775,2113997.4729564423,1.505526404720804,3135314.356992818,2183532.8974192464,1.4358905976175114
CUB,7603798.299793139,3871148.989417156,1.9642225914270415,3645473.930010584,3916030.8241643505,0.9309104278535649,3339158.73860452,3932566.74619314,0.8491041485403753,4024144.622507742,3947732.786471788,1.0193558784672065,3031722.071879317,3912471.087670035,0.7748867669421619,2576874.400803883,3875516.180378429,0.6649112739744157
CUW,2123276.7729406133,112943.91010645556,18.799391405338397,2241525.947099583,120705.028129355,18.570278155251533,1380636.0119047486,130787.4815379207,10.556331505660541,2178916.4187335223,139328.02427413504,15.638752003304033,475803.9280733376,165008.45671074864,2.8835123820798922,555373.7599449543,167191.22551920064,3.3217877207388127
CYP,554074.6523214844,432372.736706766,1.2814745363957958,589354.5040279638,461448.8814178986,1.2771826474409222,614503.1510740556,492603.1923885124,1.247460756586818,542919.6856322561,520805.44132345123,1.0424616230057215,541259.6832130603,552240.5798704906,0.9801157374925155,598183.1201017315,561871.8125025326,1.064625608174703
CZE,13401372.193527915,2123754.733824885,6.310225931500115,13015004.926616384,2155030.631978697,6.03935959586167,12284082.001341775,2203813.0914387065,5.574012627959482,10917499.696428102,2238455.372882289,4.877246975163265,9958332.778804054,2258795.97957597,4.408690678063572,8329749.41487279,2275636.7710001646,3.6604037696278673
DEU,261948000.31611976,31163711.781496182,8.405545595876498,267367129.49535698,31163480.30297765,8.579501612013797,265258173.0482938,31369343.60114293,8.455968235134803,249503161.524623,31770441.21607392,7.853311190352293,208445565.7132902,33162299.539365217,6.285618567127876,191196892.3589109,33317131.97465842,5.738696010939313
DJI,136595.29835455058,433308.7623970583,0.31523779394376245,145282.06439859918,466657.75021985435,0.31132465780361107,155685.7124792567,501819.44237510784,0.31024248829897333,129523.23882002203,538986.8523016587,0.24030871674682486,145554.1984708585,657880.5923289545,0.2212471384139544,159359.92465489332,696843.2947275004,0.22868832327246658
DNK,14148844.965235528,1607977.984726497,8.799153408584834,20003259.444109034,1667104.004562181,11.998807146625708,21232939.110550437,1744007.52299809,12.174797889661221,17843972.29253548,1842845.3342331825,9.682837708114256,18279093.65470991,1953371.2632942912,9.357716066674836,17824124.606176592,2027635.952236563,8.790594083970486
DOM,7304844.8843144765,4552535.343387566,1.6045663203745504,7939787.15725647,5044302.444876075,1.574010925003433,7537414.944506995,5483736.081631014,1.3745035924969533,7465935.296646549,5886958.068283429,1.2682161500130291,6768532.671831904,6144486.954268467,1.1015618915310617,7258176.086784501,6434178.67726331,1.1280656709819048
DZA,8681233.718054224,9721190.377801573,0.8930216753987146,11274870.784138635,10451979.926513098,1.0787306197879452,12140177.262849443,11336279.731839042,1.0709136992052672,13870736.677236224,12364964.379904065,1.1217773259241561,13736092.480418472,13502856.864599578,1.0172730569654758,13766687.171437915,14567878.043053245,0.9450029119376531
ECU,4421257.775088728,5844856.582978515,0.7564356305960331,5344711.855688993,6417714.882592992,0.8328060615758507,6054857.152399871,6990422.5450525675,0.8661646865231576,6747755.379527778,7580474.098279083,0.8901495199435682,5568994.376296003,8275986.907501892,0.6729100031861946,6397767.545245679,8717299.296477456,0.7339162425948748
EGY,40790391.88450825,30550801.63285903,1.3351660088891413,53516018.16222351,33677876.86363564,1.5890555802823931,60698691.68169562,37144189.58563336,1.6341369231319203,62540776.66477592,41294188.06062578,1.5145176501099165,60662091.49190278,46254079.717167206,1.3114971017224248,71071425.1856982,50028793.483411,1.4206104172643041
ERI,141167.6281209556,595118.539357818,0.23720925964310763,113101.72997135209,643581.1115287147,0.1757381127962234,120112.61160048921,650858.2912986431,0.18454495119180425,133729.2135394581,638163.9471859061,0.20955306881430724,106827.3693954415,493169.45853819913,0.21661391950768388,106400.435241717,491300.94745216466,0.21656875646891896
ESH,3536.76495767105,762.2648305308287,4.639811278198556,3385.2514812825857,895.0145536205425,3.782342384923747,2901.974127171168,1100.3945129291228,2.63721246614221,2764.041853855376,1307.7219646839246,2.1136311299347508,7536.8075449022,1241.7896550674943,6.069310945010696,11647.473776971034,1347.0857489645475,8.646423426217666
ESP,30219686.915369842,18100039.885542758,1.669592283026268,38731953.7989519,18891051.83946588,2.050280425255929,37018352.56626809,19826513.03865185,1.8671136217498605,33786382.59742196,20558370.71086207,1.6434367816692221,31980184.086438455,21769579.594189253,1.4690308532634513,32021554.163893282,22019233.338304706,1.4542538185554588
EST,3641722.760647615,390133.3160069289,9.334559780541625,4078851.262072389,388776.5534569184,10.491505276756305,4893751.500809877,387630.3654545374,12.624788811556181,2371594.905028143,408420.03089957807,5.8067546290629135,2182325.196443136,446046.2175832824,4.892598816927909,2087497.349813018,459335.9202111124,4.544598534452948
ETH,13172233.474455947,5419655.467979538,2.430455875337513,14545193.18750735,6210506.6867870465,2.3420300341117875,15492639.513887595,7266626.321539322,2.132026449188008,18203117.84277813,8568624.915849447,2.1243919557159856,20165477.933249705,10101743.7711934,1.9962373219913294,21868406.743756693,11951240.945317786,1.8298021806952371
FIN,7745834.4468930885,1330258.6597870355,5.822803249507234,8155753.332516461,1357851.384976945,6.00636669281369,9864623.794098353,1396387.5718148672,7.0643881349340765,8117973.493699358,1460642.054429776,5.557811695945285,7304109.479321132,1488342.8076570902,4.907545117793842,5912158.9635478025,1474028.4095356832,4.010885356958706
FJI,453231.3037133579,197629.64132364074,2.293336670945735,398793.35806097847,213732.7581782081,1.8658504267673783,222895.59871101606,225574.8327701212,0.9881226375025822,332880.9753343592,233408.06050782406,1.4261760052763932,209422.42502074022,241278.61192682496,0.8679692880703985,255890.16591877473,257482.1146035165,0.9938172455698792
FRA,149532346.56617177,26551750.38659968,5.631732160364041,158609983.9671994,27094556.173843384,5.853942871384574,144358144.5884573,27648288.972122855,5.2212324869003774,128872830.3441997,28123628.205672756,4.582368583517437,114548806.36805682,28161821.4449006,4.0675212216715035,104160508.10133699,28311568.344967496,3.6790794078298377
GAB,1105257.7099070062,553392.1488079451,1.9972413997701768,2323423.3334898977,614634.2327861678,3.780172352193439,3731447.258866826,693139.7140009245,5.383398445499906,3468200.258395262,781735.5872984537,4.43653879233102,3440627.489560004,973766.8502401103,3.533317537675079,3437507.0653405404,1026485.1823483799,3.348813138711126
GBR,181498996.6373789,32664847.086711872,5.556401233276033,178998818.47210434,33595466.06345074,5.328064749393109,170278854.4972588,35038608.93330823,4.859749278898717,148910360.1932153,36547052.45553084,4.074483444989283,135738589.10499692,37992186.81956298,3.5728027383541465,130483565.76723017,38822105.96071618,3.3610635625812155
GEO,1084188.176912601,1401121.5051465114,0.7738002542464942,745585.5915440216,1377590.1687149615,0.5412245299627217,868637.7741935045,1403861.2601890485,0.618749016606193,1232361.2761614053,1426901.1070758975,0.8636627093848456,1198666.6322039713,1358573.836602435,0.8822977448186661,1367043.529451302,1353837.3888049694,1.0097545988576884
GHA,9469914.004640007,7350163.039284922,1.288395094642868,9245536.26731494,8963527.810788313,1.0314617706866718,10578399.369942632,10659160.30640081,0.9924233303434155,12264376.76024159,12518067.725294122,0.9797340156148923,14900076.639322504,14862510.272874352,1.0025275922948707,17971550.12366189,16915797.551557597,1.0624122255475374
GIN,2420323.7905665454,2061024.5399755812,1.1743304087952398,2661251.8296452165,2340924.3306818143,1.1368380407538008,2887311.3277804265,2689457.3253631387,1.07356651490671,3021516.1998488097,3132377.279210326,0.9646080055243332,3078870.9331049696,3391736.136607015,0.9077566205326851,3193271.8548262394,3937516.5264524803,0.8109862735492387
GLP,76249.92875130518,130149.61967344735,0.5858636309704208,82560.72701516884,122243.51774288996,0.6753791819768767,94580.90611583497,121752.57485463316,0.7768287958489594,260166.14914209364,120606.15463272942,2.15715483123024,253058.51711710257,121671.57792580737,2.079849061145669,267602.0767316718,123774.54545225493,2.1620121952691576
GMB,1949.120240230944,40132.10698840657,0.04856760301157398,2091.753950865856,38524.0294244134,0.05429738223437947,2368.712488219197,35905.89461182338,0.06597001728622041,2494.415838509088,34076.23086133425,0.07320104880905305,3335.5927326853266,35730.03877742104,0.09335541876862431,3661.523174501493,34872.58458525878,0.10499718383504271
GNB,277916.7069954001,286568.0868720602,0.9698103861770114,327675.29243895854,342996.7644066857,0.9553305641403639,367181.0919891286,410478.1940880628,0.8945203357388448,406183.4956990619,489727.4648779865,0.8294072210147756,430277.6921354259,564602.4484477261,0.762089667372853,460468.24508299434,649334.8416830384,0.7091383605559918
GNQ,151548.05077208756,283214.3646142944,0.5351001563020248,763584.5702004664,393218.5192138965,1.9418835402945618,734070.8995641626,507284.8870853995,1.447058483807314,896528.3810459828,646523.0413664498,1.3866920800705536,805413.1436941689,1285991.7749947694,0.6262972744887461,833151.1126654319,1446824.5286822692,0.5758480701348384
GRC,12021985.24596733,5048459.011006353,2.38131778821175,13383801.1515343,5050041.599012606,2.6502358226417635,11083431.106244206,5016215.343089287,2.209520594348799,10302170.309200633,4958923.97207165,2.077501160982062,9337365.661882307,4801360.09927796,1.9447334648543613,9634526.565545032,4721162.2387176845,2.040710756883853
GTM,8506750.735087264,2585467.420344479,3.2902177254872753,9032347.580893878,2923995.9299050295,3.089042460188119,5740175.345080182,3179401.472983866,1.8054263967151754,5714565.367185882,3337672.961183744,1.712140594253772,6054558.767478979,3357421.096741123,1.8033361300302275,7235139.045460798,3449517.7715478353,2.0974349241326893
GUF,18981.36117650927,71660.55768820108,0.2648787811434316,22010.69552730263,77995.79122140932,0.28220363153724687,27187.902486242056,84431.44672995279,0.32201156724461183,30393.653914826813,90850.42297165477,0.33454609148390646,30943.888901620583,93894.37563787343,0.3295606226826966,33010.930634018674,103064.92515596063,0.3202925785282009
GUM,4192.2589486977695,20533.3300825781,0.20416848761686116,5049.119781371992,21126.203670621002,0.23899796954024033,5511.7293584357985,21747.425828660605,0.25344283971172227,6331.177286048009,22403.47461354621,0.28259800746353325,3544.6847207695073,21694.701808972106,0.1633894188535728,7226.20766245126,22076.907768359015,0.3273197378125563
GUY,582477.4161232498,223917.28478868408,2.6013061772919728,577164.299642137,222434.25948703353,2.5947635088819667,559275.7390946966,221116.40748638927,2.5293271786225207,503796.2094050302,217957.6825625135,2.31144047542593,404276.99878219597,218693.15454573111,1.8486038103111144,420024.1372762133,221234.07809564416,1.8985508059686358
HKG,75391449.726,36783609.54321987,2.04959357339352,106353671.5781196,41983493.41116251,2.5332258689516878,114525036.37446612,45824517.110460825,2.4992087990453116,114847700.95013353,47929452.803204656,2.3961821851313645,113475741.17351528,50177049.875411004,2.261506833408384,123560148.55312562,51320106.92974903,2.4076362257441204
HND,1371321.0021453574,1829035.34796551,0.7497509567929992,2346911.0525353593,2054924.0185782549,1.142091401588231,2365260.0851798235,2282764.2879201784,1.036138552585649,2344091.382805885,2509001.173924622,0.9342727325787645,1555284.095841696,3075081.4619762143,0.5057700470940324,1730768.394894091,3257656.174463572,0.5312925312564918
HRV,2168884.015470458,1156049.6059908562,1.876116737751488,3122055.6923051802,1148229.1764469761,2.7190179071793974,2799357.693835074,1147082.9876642278,2.4404142716259143,2376678.3601604253,1135754.0513581198,2.0925995001456736,2433511.7589918915,1101452.7538784721,2.2093655405762336,2589852.4289751677,1067768.4565783842,2.4254813045088754
HTI,3310087.4947640905,2650989.5976296472,1.2486233434200453,3697585.228129903,2984413.5398066356,1.2389654378694028,3703609.954977133,2828870.334962118,1.3092187044432804,3960538.0329554286,2860413.4346561115,1.3846033531273698,3722462.345686675,2823705.3996799495,1.318289913001758,3702197.225691111,2756367.902683492,1.3431433525571084
HUN,13583664.493820053,3174653.482869723,4.278786509178671,17580417.818784557,3123003.910955307,5.629329427706935,17090181.13532955,3088656.455163769,5.533208818597269,13173140.34525145,3071429.685593364,4.288927858918755,13066392.361777589,3073082.620406984,4.251884500276514,11203757.121917438,3136601.5977038727,3.5719414063039023
IDN,138628817.98892656,79724721.04546523,1.7388435628375498,158088830.96688884,85911288.19513398,1.8401403853683922,183885004.8793399,92436798.40085126,1.9893052124320056,166388830.7805153,98623527.06870648,1.6871109331204497,170572282.73264286,103890587.83299793,1.6418453903334769,177068402.52337664,107645091.05755982,1.6449277972991345
IND,258046592.6156531,268493326.22197056,0.9610912727205708,274161974.41475165,291745665.62878174,0.9397293832073459,326627932.0450558,312481382.7653014,1.045271654760884,354255407.19629997,331445410.6325545,1.0688197689031604,352286403.1058664,343743877.1859259,1.024851427143588,429256849.6089742,353615383.65499556,1.213908866667911
IRL,8336283.428596637,1154831.4687262184,7.218614710760849,8960674.422770958,1205594.0504945363,7.432580161701426,7891709.124660062,1267011.2514256742,6.228602244676284,6100130.861584769,1307408.5790748221,4.665818290638326,8233362.772105069,1378434.7671145138,5.972979620457498,7757373.835971399,1427603.3551089668,5.433843937260354
IRN,63218466.83677456,27931806.273898542,2.2633146677610454,79433445.80546549,29672385.667977482,2.677015818488443,88070022.89326313,31841736.93132929,2.765867423727456,92525507.20581396,34268758.80669971,2.6999958687655994,107962766.50107025,36676972.37667287,2.943611740693631,118637847.53146102,37773718.32239205,3.1407511042176957
IRQ,15781985.213494744,11853289.698981348,1.3314434738611864,15752878.51485439,13625653.28071782,1.156119137212077,18650550.802647967,14902942.84624789,1.2514676460256045,18653642.908024874,17865068.587018754,1.0441405705869564,22661307.114608213,20153512.004623488,1.124434644909999,31191858.548755363,22368444.632202227,1.3944580886885047
ISL,501648.6253429529,152968.8978223942,3.2794158321346876,573485.2474169328,162701.44725638378,3.524770412848503,515150.62694422127,173614.71363481384,2.967206040081394,566922.1676832183,177646.58184358597,3.191292293945634,379711.5738082186,198165.73570142413,1.9161313254493662,398670.62774404173,201410.94433264885,1.9793890995595562
ISR,8837673.977888724,3845112.65827593,2.298417436188035,9182046.918732708,4157497.3522213567,2.2085514772070094,10816486.334710898,4461334.53058333,2.424495688579672,10805612.312291808,4850363.086280121,2.2277945217868083,9446324.437400794,5336613.568999394,1.7700971440530897,8861291.59677296,5746477.113790376,1.542038960793503
ITA,72334263.987789,22069285.336198315,3.277598838651356,87966594.8763257,22306990.74624084,3.9434541340431486,84509663.48201342,22664926.941203102,3.72865369040221,77277452.82157958,23030935.787095547,3.355376157354356,69457794.57708488,23294317.80657354,2.9817483883337523,67450589.93307805,23249250.564480886,2.9011941587539125
JAM,1417284.9621331699,914768.5326672528,1.5493372492828277,1318241.7646401492,927275.1104958943,1.421629621801421,853180.1028512514,936159.9221115686,0.9113614914499321,857838.2869811534,936463.0423937433,0.9160407278736672,628886.3183488611,915454.2148142612,0.686966434991462,856082.4791518804,905189.0228115607,0.9457499567248916
JOR,3284191.271099621,2976623.6551609617,1.103327679804395,4077709.855468796,3345350.464233615,1.2189185853814444,4102273.9312937213,4109406.286007096,0.9982643831694955,6621361.921081138,5449927.765700278,1.2149448957385105,5589841.515495826,6910260.316509057,0.8089190941390926,6316614.066091172,7145302.796133566,0.8840232872299254
JPN,508932991.6991428,95712688.50311938,5.317299092299097,529195676.09228015,96829456.95659576,5.465234369015355,509792930.5650273,97432677.22184438,5.232258263870552,504047849.14929855,96776278.41393498,5.208382233850396,434555330.6706947,95461212.76536815,4.552166456744876,403078617.3579981,92503969.36568537,4.357419688279034
KAZ,62589193.93734061,10480759.47578293,5.97181855780209,73704523.85111174,11155672.83099732,6.606909772964589,93614674.61160277,12101047.764595045,7.736080084362475,76824423.2185512,13242429.400910366,5.801384390485769,77986970.74286632,14463779.193091976,5.391880621360257,88356856.63044433,15392084.564352334,5.740408731581199
KEN,11707064.63167975,5015811.513027577,2.334032010826756,13295410.276681606,5904841.307871024,2.2516117848855846,15076952.014478322,6904001.3046794,2.1837991259154967,15724694.6391546,8107290.573113599,1.939574571473086,15115144.299132021,9454160.897097036,1.5987822149053152,16486158.78147883,10959168.804583494,1.5043256542032424
KGZ,3150378.467329617,1464319.4297112867,2.151428440685762,3325024.206497845,1552809.104418835,2.1412961818911356,3087214.431408635,1657241.7675218424,1.862863036589467,4749078.080804115,1797619.1839562997,2.6418710498805877,4326713.427562485,1955581.7987917662,2.2124942205105897,5122112.913610988,2145259.5927548795,2.3876424703610444
