geo,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_percapita_tonnesCO2e_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_percapita_tonnesCO2e_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_percapita_tonnesCO2e_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_percapita_tonnesCO2e_2015,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020,urban_ghg_percapita_tonnesCO2e_2020
global,4156536255.8934174,1989172744.3300657,2.0895803382291462,5250449305.56148,2248691895.7583356,2.334890482535781,6524543046.533744,2510204229.3568482,2.5992080525676706,7372285428.32636,2755511533.0620484,2.6754689065423523,7936342208.676419,2985964378.9285975,2.657882413025999
AFG,253743.5364967471,3869256.9216011725,0.06557939719126823,365580.600710087,4777468.961423881,0.07652181597871209,1330245.8117548695,5723072.191004288,0.23243561628416873,1657704.3978629871,6832927.365021722,0.2426053006722862,2025333.1343397638,8425116.408258624,0.24039230275257134
AGO,2862351.491777354,9563508.067214934,0.2992993231834981,4329741.495847331,11039050.047755513,0.39222047885611905,6477940.04202604,14271898.553434392,0.45389476514091304,9570152.963566484,19722622.47589246,0.4852373448441941,8161752.551062782,26027327.16474331,0.3135839688571139
ALB,152403.49545982128,497038.3328163867,0.30662322279300214,226767.73185985355,622546.9673108001,0.36425802994337314,344147.21007808286,753263.7495387549,0.4568747802994822,398893.1965093105,893409.2560476807,0.44648428904123844,434078.38125593716,1035787.748932048,0.4190804358359084
ARE,15705863.624729883,2228978.412546383,7.046216121396849,20671497.326106142,2954874.9672672614,6.995726572222321,35052970.364340976,5148886.456216905,6.807874025269497,45483148.242020614,5678233.454956538,8.010087750498936,44800734.821894884,6287206.594641633,7.125697898980604
ARG,40157849.79118707,21562746.592706162,1.86237173536932,46876822.33292992,23074562.51894975,2.0315367753747355,48802239.35566672,24541627.33638873,1.9885494424123185,57235892.76065209,25830860.08216691,2.215795083035836,48364057.07270369,26747623.199352637,1.8081627930916204
ARM,1191001.9157996117,1478921.317586455,0.8053179717114923,1192190.7077992614,1448220.1481534208,0.8232109664538128,1023471.9420379236,1410959.1323494578,0.725373200805391,1394838.8993415295,1400391.4979958492,0.9960349668915683,1551464.084727234,1312607.5140167463,1.1819710523974956
AUS,57689591.222663075,10577363.396194588,5.454061571092284,57413026.02653509,11488566.607687704,4.997405506455132,68198225.33047855,12751847.481013324,5.348105475071066,69096538.62430966,14131709.974104846,4.889467640570262,61813654.87545775,15971386.372203033,3.8702748424544815
AUT,8526887.429291746,2421217.973007192,3.521734732003998,10689552.075427203,2553651.6524251904,4.18598678691175,11269719.849417634,2680022.6554282443,4.205083799046031,9791243.434812032,2844497.732660575,3.442169533970372,9546379.663789187,3078153.989116775,3.1013327135489934
AZE,3191119.9672143944,2328908.5762571,1.3702212271221894,6457478.690258407,2572861.6415503044,2.5098429647259954,6189319.329360877,2802662.091703969,2.208371586314881,13337824.37417639,2970223.5313674635,4.490511987842134,12759450.241114706,3125718.370653901,4.082085692974773
BDI,103044.59662697399,343397.30735488026,0.3000739796730079,151912.56820347434,488587.95586292783,0.31092163934981043,152639.50436214881,676332.5592775468,0.2256870562688822,153561.91944177763,886855.7096747438,0.17315321733464037,189995.49480484222,1081814.8342097146,0.17562663109869203
BEL,35123680.53318109,5431631.44965841,6.466506584387273,36164342.44127875,5795936.115989281,6.239603356136376,38523236.565588556,6134206.152246489,6.280068783061758,36917196.30627298,6762405.4267087225,5.459181160665882,34883512.532122955,7198454.9660950275,4.845972183812431
BEN,326808.3033436922,1663048.9830685363,0.1965115319337675,496881.84694346867,1963434.8032990098,0.25306765781506774,681781.0655031448,2345718.726293752,0.2906491123001616,830159.0793747633,2780999.735145713,0.29851102424907866,1054163.4721282276,3313405.169237463,0.31815109178779655
BFA,381418.40114193683,1366170.9437614512,0.2791879031563833,622015.251771978,1926059.9576878618,0.322946982667495,922084.3210814892,2502458.8358445275,0.3684713242327141,1626777.9268439987,3130914.5825509126,0.5195855344985431,1988302.919075687,4010718.291360347,0.49574733866469056
