,country,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_emissions_tonnesCO2e_2016,urban_population_2016,urban_ghg_emissions_tonnesCO2e_2017,urban_population_2017,urban_ghg_emissions_tonnesCO2e_2018,urban_population_2018,urban_ghg_emissions_tonnesCO2e_2019,urban_population_2019,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020
14,BGR,2414007.5797108267,665139.167799197,2529753.092598093,708354.888087792,2386559.004190769,727182.4419905301,2320042.124789792,841363.2960189946,2297533.6042894144,808093.1720037645,2340830.5456848526,807232.168930257,2343112.5199364894,849350.780736788,2327284.387901491,855966.9195991545,2149035.395427246,830515.1994346353
15,BHR,8140899.145862939,458874.57604102755,9967270.076646416,638146.102766327,11481053.745180003,894078.5815189409,10980072.68165882,1238399.6621251984,10922439.200292828,1320577.4933436883,11027597.275232563,1416829.4915747175,11051629.209928967,1499991.697939021,11246392.73695662,1609921.9191287048,12207532.982198058,1712859.9427321246
16,BHS,760728.7201677895,97279.98734878919,623907.7681675197,103778.79467503777,825557.45397672,110702.49349809162,927472.7824850926,124616.03301101392,938872.3632098704,129109.57080147504,1016322.4410663586,130014.82475280586,1131012.765051242,130980.694368093,1120820.1105540805,133222.12217439775,951180.2631216514,133112.24496268446
17,BIH,286561.99787679256,224313.74699056312,321611.3071809118,222675.7875831386,343074.7084575224,214249.0595145168,308200.0414097449,236269.2694020225,324484.4211258103,241670.80021050098,323455.0800348957,222577.26084132816,337419.8018315742,238908.39041471103,325429.3520564006,231819.75140207662,310053.8294877114,223090.8812824019
18,BLR,8392091.84341575,2807503.3383175633,9241521.48967863,2905650.563159038,12305505.444729261,2956233.771950125,14555272.343762878,3051629.8761568572,14563272.777509471,3100428.8443139424,14722273.33906857,3109550.726941154,15375949.704703152,3078570.4869022956,14711639.2836968,3093117.5030278936,13616825.974331664,3126260.8756596977
19,BOL,3329201.55457833,1654932.6165176746,4013948.655347115,1862028.465186251,5774505.635403134,2168451.59840123,6431691.28573529,2772866.924579849,7345624.179473868,2678862.5292243543,7208809.943890518,2637122.4292633664,7045019.68255664,2721605.046989238,6752389.23298541,2773819.4513226137,6082290.885334339,2832139.208736481
20,BRA,133730840.21311103,64877403.680008054,169036480.18545687,69205696.05097428,202431039.88700843,73865069.00661272,213420499.02254975,78873374.74058034,215851144.6413802,79894876.1043544,216080463.59373897,80969769.275922,198490320.18229043,82026013.7737579,200414439.50019246,83159953.89674664,195560444.49784845,84253727.19715892
21,BWA,221443.79875193827,66422.30800454009,239850.8064251665,75073.46134395024,277117.91548546933,81185.45358734386,297463.70623009733,100494.21855527941,286571.7614169275,101070.44509155126,289137.11413535423,102342.84252623841,294806.8003438382,102890.59116350533,298185.8964973407,111199.45690249267,283974.04421185673,106372.06584909162
22,CAF,101152.81124790487,462577.47481302416,108454.56871211395,518736.2110318394,138761.6197432932,588340.8778048782,149779.81861352504,672661.6210487046,154835.65622092475,689226.0574183412,156047.9813155003,702248.0468780295,160498.8516287756,725093.8659114366,164499.3813992146,739497.7692604131,158087.77397780324,760328.2470080461
23,CAN,144116871.26383126,13125482.092506303,155801911.0837346,14082726.863492688,145622667.2971222,15101965.897327252,157060372.94638202,16199564.963978117,155145578.32076988,16426363.571909055,158139478.74111632,16657824.647832181,164581090.66002223,16894822.343731925,165617931.40680888,17124092.36833235,154046776.0338893,17383269.535403978
24,CHE,19431462.44550689,1725030.3876381603,21611316.44474484,1874819.4015595096,19365508.429318767,1955094.7631599184,16544775.27031107,2065510.9262365624,16824019.984239794,2067472.350762777,16898332.23617283,2086294.090434026,16627188.737544812,2099166.3135185265,16676458.937272644,2115702.3390619606,14932158.408576868,2134026.948128446
25,CHL,12761273.230971739,5565694.81915738,14013311.76346563,5690871.681381716,12861582.06680944,6087041.001625278,17565310.70886446,6802262.592084326,18234797.1075604,7098456.469615059,18517534.72036148,7265465.50556837,18978013.066581786,7161597.121030736,19160745.44183512,7246747.380107098,18301755.779276572,7649470.815907487
26,CHN,914542837.016786,285141737.83314884,1507268207.2138662,307976402.8168078,2215036841.2155323,337187475.3989918,2579524722.7563763,362884695.0957177,2570677155.449259,369008453.98700064,2650384766.8553314,374070161.91384995,2781537321.6467137,380738838.6118973,2864885104.195395,384770811.7309352,2906518896.794525,390744178.69584745
27,CIV,1722137.6638205843,2909241.4215769293,1918385.253985214,3564795.7869427884,1992496.7056282195,4087390.3745435416,2718813.5078138304,4860167.681167784,2705072.36381318,5032868.97786798,2802255.051288933,5072067.278795303,2751026.7525988813,5104916.973281572,2886771.402844403,5437990.2488147225,2919325.3531175377,5465329.942403341
28,CMR,1785184.816640431,1825910.030909004,2039924.1848280597,2332756.976815316,2379166.652766213,2980306.3899069596,2716419.7386907637,4162999.9106238163,2853712.040715725,4190551.6289656074,3037376.089355194,4499379.369926487,3161879.869923193,4732661.491312747,3241337.6896566316,4949609.86632838,3207857.089832587,5474416.308356806
29,COD,3110638.109117811,6747165.893827533,3701632.8022300554,8226948.776307489,3944709.6412161496,10074091.582324402,5069972.248912462,11505991.704981955,5205892.965403905,12152337.778356846,4052896.21155407,12595715.600430004,4084247.069330166,13027527.702303339,4147233.5996778863,13467245.119177574,4202731.859576393,14270687.615137164
30,COG,2050971.913699858,1258484.3268282264,2581194.157996372,1135326.4572706863,2511375.044300424,972518.8522272133,2984719.5237228703,871155.3352157184,3084028.7124710833,879486.387075811,2581444.2711074664,853944.0133329328,2549111.1137282737,864306.1228710446,2580363.7960287724,826551.3329506923,2589409.783071587,776025.6064711632
31,COL,15723629.59700959,9114035.282542523,14395639.76472326,10361259.517141897,15627825.74533605,11952607.176461289,18919173.07932572,16443135.098476341,18948318.00086192,15904816.210423285,17735102.933356903,16518723.722975591,18903897.40042978,16604721.975506919,19097318.734765247,17788727.881161246,18029828.23432288,17447495.191329695
32,CPV,7168.487845612646,3406.871820289018,12010.46717041339,4072.1784445182934,14227.160867955108,4116.021180837295,16901.592697671556,4942.155716011577,17666.22713848533,4920.447723299852,19602.1155822904,5105.7041196594055,19469.180772353528,4626.516197603823,19724.16146221944,4615.448380352,19233.781782627506,4831.098204365431
33,CRI,1863471.4290744208,1169476.240010862,2619484.4958338276,1200374.1689702352,3109324.5706371306,1240674.9462734347,2921476.4999544206,1292356.2943523664,3001644.2869427633,1301797.9130407306,2965690.7776196855,1310092.6344111713,2994044.8468196583,1319493.9780350106,2928972.4240078665,1330569.4302965566,2783178.0400083098,1340094.799152327
