geography,pop-averaged_exceedance_days_2010,pop-averaged_exceedance_days_2015,pop-averaged_exceedance_days_2020
global,291.5784053122764,287.78616731018576,278.537398421487
AFG,274.14309211622106,251.1956652216238,271.2819921074011
AGO,294.8619714924469,316.4409225831595,328.87763106203937
ALB,187.60159907265947,174.30884945626033,141.18061399586318
ARE,364.48260979806685,362.941038715738,365.8184717069358
ARG,124.8488934275845,113.64753361622915,129.83899618196122
ARM,249.61889589306037,229.83105197810542,207.29506544984898
AUS,97.73823249885452,87.31177425767923,57.144128215926855
AUT,223.57140831378484,204.3600683519042,114.12576012028696
AZE,225.77798638514795,165.66010923779513,161.3287083631457
BDI,352.06696015647685,357.2319148653107,358.2023741044587
BEL,245.0175850161564,172.01197307716492,86.07076978647544
BEN,319.1303555819024,333.06915700024217,335.68560680340505
BFA,304.60680489011355,313.9692479682587,298.936248218261
BGD,350.86095636944395,360.5728680724256,358.042112391322
BGR,197.25567713185262,133.1816930876581,70.98354317286477
BHR,365.0,364.9922568423293,366.0
BHS,90.0,65.0,108.0
BIH,110.23266279568922,83.2217620091777,52.857664891846916
BLR,87.9806929068706,62.43266957210701,43.48530361356952
BOL,54.2288548281288,20.667807363508214,58.2798229096445
BRA,165.38207295986192,169.16814521748088,159.14700866917372
BWA,113.54240439846852,61.10302265288207,68.20633180285225
CAF,261.445463825685,258.55288078347485,300.01612817424115
CAN,173.1276861305007,162.91188528572576,107.27980078579306
CHE,273.967527934966,243.1097317136133,141.15884965516494
CHL,265.0043381097184,272.21511505456044,266.49882620403827
CHN,359.9426201392457,360.2867880130453,360.2016778213526
CIV,302.4948647548246,317.68546519547715,332.8981245322815
CMR,268.34539496068925,280.7888352343947,304.15679035848297
COD,311.71085981369293,318.99375071813427,327.2370518966565
COG,348.4691496151048,348.58410416303735,357.58358030595247
COL,262.0848594654129,311.34165144527157,287.74821811702304
CPV,183.0,252.0,255.0
CRI,100.0,140.0,137.0
CUB,130.24925012764842,125.28658680156705,135.68530682787835
CUW,177.0,213.0,171.0
CYP,236.96657670189882,188.75278473220115,233.72677958904586
CZE,251.63762793795152,223.95315841053,164.28589490513673
DEU,185.85153705610819,136.91357346695514,70.79037469474284
DJI,297.4033505503109,283.5448294590115,238.4077298580927
DNK,47.80906661943715,35.57172484174019,11.561817598312569
DOM,244.54307195901006,221.7568818775186,230.28009342664546
DZA,270.3260513396147,295.2487834809025,304.6632094616127
ECU,193.17320210988981,217.06654667613955,217.11457643867755
EGY,355.22802173315586,353.101423092176,355.80889898709927
ERI,276.3428339747204,268.88719197181433,227.3318683920046
ESH,111.0,137.0,94.0
ESP,125.48890809673944,126.03887655242906,81.58732473623928
EST,92.0,47.00000000000001,38.0
ETH,346.2428522801708,339.0479976198505,339.07403069947213
FIN,183.37357613720746,137.16731096757246,55.26573937921818
FJI,4.0,2.9999999999999996,0.0
FRA,221.11943427255767,172.91406866964252,89.74922010481875
GAB,308.98247701131925,313.9268219800332,333.1380774394421
GBR,175.37235912544878,104.54029881741724,70.70286973366356
GEO,160.2915024714459,116.95033442686024,81.22384599422911
GHA,276.02861428384455,305.2895372339093,319.16205602182754
GIN,286.2955098733812,293.5273979554181,316.52216814791376
GLP,114.0,139.0,116.0
GMB,333.0,346.0,336.0
GNB,299.0,302.0,296.0
GNQ,182.95830622349152,219.7457929859749,207.17166463891812
GRC,211.01818500567668,149.71272663112163,97.1535046630456
GTM,334.8588375105398,341.3126422422383,333.3217986003002
GUF,80.6678001859078,169.84626133015504,135.84015626561265
GUM,2.0,17.0,8.0
GUY,124.12358868547008,185.14132804309784,157.27386389780037
HKG,364.9759679069956,364.99573776142125,365.93998683551905
HND,139.2940298159269,174.63450752990386,168.61502397661513
HRV,223.612258795719,214.30635742327857,143.49644251220369
HTI,308.1861774472914,311.6068515616974,297.0292707579375
HUN,222.61066941495457,191.3925652801934,109.09631044075452
IDN,329.85770645719555,333.9529378079849,320.01222431053236
IND,360.3663922182103,362.4915621216733,363.08509370126086
IRL,17.19899464662557,43.09570029334679,28.670459647174894
IRN,326.7123759993417,305.9632294082564,338.4055330659405
IRQ,364.64590589730705,363.46321201334564,365.261379447154
ISL,8.777348899562297,38.47619393854702,30.022100724125202
ISR,354.21048149086226,354.2346776224758,352.6239894720175
ITA,275.7071274050596,261.32830939337305,192.97968952896434
JAM,180.2026345799412,194.99417241749745,168.91408545924963
JOR,362.90645884924794,363.5376801971457,365.9289566107322
JPN,297.95798481882485,257.69604033046824,188.57949609749744
KAZ,225.28810499769997,200.73736276964695,208.44701587153747
KEN,328.14674147999364,330.1100825703295,331.1978606033005
KGZ,171.41041785331458,145.53064673823926,167.85791933467297
KHM,319.9742089978088,298.77530451818654,309.0293657945004
KOR,362.10917316156934,361.73746250308506,361.1061335485108
KWT,365.0,365.0,366.0
LAO,349.7192264720856,324.53366746536926,327.94761414873176
LBN,328.57204919985105,328.34605285874403,323.2482776704254
LBR,193.29546227770112,213.08495480144705,222.0401377578687
LBY,304.0678653963946,262.4538450682671,291.19939121855765
LKA,345.59763240677705,337.67633011281936,347.3328149861158
LSO,134.0,103.0,115.00000000000001
LTU,130.5439433226861,101.51104203486723,57.71897747394342
LVA,184.0,147.0,69.0
MAC,364.99999999999994,365.0,366.0
MAR,200.01363088614934,243.73940552017464,253.1469833638462
MDA,130.70129877215092,113.23134759058833,38.8732271379582
MDG,120.47334608212797,129.49625697249272,83.15112680171319
MEX,245.67933544307039,249.40477511856542,237.4667502165651
MKD,190.82233344250355,165.48227811372956,77.24052856305367
MLI,320.9201745093935,323.67207493285844,311.20459501426467
MLT,182.0,138.0,231.0
MMR,284.2226962085867,290.09286610040175,271.6276554158635
MNE,96.0,68.0,39.0
MNG,113.04334039689385,108.90680864830601,80.5533176959647
MOZ,133.64937937858042,143.77239824972224,129.3247333383422
MRT,362.0,365.0,365.0
MUS,28.0,39.0,6.0
MWI,288.0022159804978,269.2318245051796,273.1320541079248
MYS,321.3456358949407,333.15806690294005,305.97221899394066
NAM,207.0,216.0,245.0
NCL,8.0,5.0,15.0
NER,350.24281030226007,353.8101509415833,347.416786608376
NGA,363.18098297296825,363.26499442954315,364.6268021551463
NIC,129.7354602806261,172.86831162885497,151.01925122449296
NLD,182.45390012896812,119.56113824469847,59.05820101062819
NOR,87.88567184575838,62.66728650262835,33.41114215602923
NPL,355.1942649089479,360.50090911272173,360.69207389808554
NZL,7.384845591552902,9.227362089427174,6.965101617569379
OMN,359.4783767508871,356.11610575582796,351.73765156422513
PAK,363.00494570863236,363.25872880687564,363.75209476762814
PAN,142.1301014107721,274.7872618844653,195.7892706351883
PER,47.50627454033142,126.82523359520586,222.37638282547016
PHL,288.43094210559286,292.3783400097269,266.2467167653792
PNG,34.49058072738028,26.209318257788972,36.020639174101106
POL,207.27987253796178,171.46817666803722,100.74153615873674
PRI,76.73743708953307,114.9395739121972,102.13592832063993
PRK,353.8228991948613,354.3025272316792,348.63251678313947
PRT,103.10274990856759,102.21408286676802,70.09370240824656
PRY,104.47073124742526,95.63504547221952,156.79298707799717
PSE,361.2742280659858,362.91890861724085,364.33764700469237
QAT,365.0,364.0306383078827,366.0
REU,8.0,14.999999999999998,10.0
ROU,214.33850637802263,166.37075304818543,97.00234488686334
RUS,157.96408415709283,136.83387745341187,140.65265864567567
RWA,365.00000000000006,365.0,366.0
SAU,355.3154262328022,350.88375423091406,358.2827729373253
SDN,329.96777794278495,339.66972882785063,309.96144814951333
SEN,348.4846260931762,360.0469436568011,353.24694526976856
SGP,344.08733725960946,352.7281098180642,302.6503864327202
SLE,243.87971862739855,242.92066681481438,264.80798826242244
SLV,290.43758901933154,328.3710776787379,314.9916902780895
SOM,124.67558070685659,108.67655682216696,93.08562641241522
SRB,221.03634875143882,188.32937859159742,99.34542544230622
SSD,193.051639693964,197.69796494775068,197.21781725781435
SUR,102.72286577358922,174.0339018121298,150.53592527917655
SVK,229.73827166498694,202.21827632585533,111.76561488539207
SVN,248.76274488717218,250.39741172049582,174.4335848494235
SWE,45.52546216906638,28.84451426754814,13.479915001601654
SYR,350.2320032714395,353.4077852074735,356.2057374026336
TCD,329.12255400979365,327.3936000573435,323.85884984344045
TGO,223.8422582770197,274.2114647062254,296.5557620813438
THA,355.21554768428615,351.4682859534952,354.23748895489933
TJK,344.1639590360347,301.64924847952693,301.6047873449838
TKM,302.5011902127533,282.3027395473962,285.35883654047547
TLS,14.0,23.0,19.0
TUN,308.9097621187015,307.6152076345898,318.5832448231612
TUR,212.27247016207286,169.3836260712278,148.47061878669075
TWN,351.4154487782464,355.0655434388898,344.759147342303
TZA,177.39612318862763,199.49314018304295,194.96330261514348
UGA,352.85076898150277,351.69705552443514,354.5210776982874
UKR,135.0668931852944,106.65469638822957,69.39694873598282
URY,28.88809307954125,29.039525146368895,39.27704400563916
USA,222.29551086402867,203.81398527734535,165.70047569068416
UZB,339.71133141671686,326.142221479704,342.39486164702157
VAT,260.2690759452913,268.9653613442753,216.7040190745907
VEN,258.06384448336524,251.0506416957782,242.34967858723374
VNM,346.5850631823872,348.2257271097251,346.5533114199322
YEM,294.0700172812911,309.1081444976269,326.6777560690505
ZAF,289.59958805994233,299.7191044168427,315.42196901248525
ZMB,179.82383438231864,190.88411493919492,192.32369889657093
ZWE,218.16073048205806,216.87224931162797,184.93948535437573
