,country,urban_built_area_2015,urban_population_2015,urban_built_area_2020,urban_population_2020,urban_builtuparea_growthrate,urban_population_growthrate,rateratio
40,DJI,11454522.56078432,265320.50059438404,11647276.611764705,290145.9120727614,0.01682776824241438,0.09356763394747955,0.17984603791370823
41,DNK,125191619.56470564,1415538.9611174692,128903775.84705864,1527701.7078131363,0.029651795345888632,0.07923677820010153,0.3742175795059098
42,DOM,153282160.04705882,3400445.995165882,193564839.14117733,4433811.393481185,0.26280083136714283,0.3038911365698347,0.8647861018044228
43,DZA,424300918.1294109,7814691.22266528,457295480.6941173,8952734.527684411,0.07776217574585383,0.14562869761487385,0.5339756313106762
44,ECU,304493625.5411765,4242689.676032904,321846706.39607793,4789985.486382757,0.05698996431882541,0.12899737009792306,0.44179167587342144
45,EGY,669523469.9411758,24258702.401754756,853275932.7960756,28072102.945827264,0.27445260861586257,0.15719721858645935,1.7459126254508892
46,ERI,12212511.42352941,145491.07953128996,12336344.999999994,147355.56915944407,0.01013989442269818,0.0128151473902091,0.7912429029450851
47,ESH,5776497.125490196,168.50260046168285,5900868.945098036,181.41067750684763,0.021530664156140418,0.07660461624804454,0.2810622285010144
48,ESP,717684113.9960781,15081328.85323203,736922207.0039217,16225377.734181581,0.02680579468413417,0.07585862572742547,0.3533651503317831
49,EST,18780495.5490196,277629.0696059491,21188369.82352944,288410.34305528627,0.12821143447599487,0.0388333738417216,3.3015785596833136
50,ETH,185467990.36470577,4090114.762768758,211802567.9450979,4723224.061002399,0.1419898793781482,0.15479010613508176,0.9173059113625576
51,FIN,73621165.2117646,622751.9036777416,82671729.78431378,713972.9725276588,0.12293427503512137,0.1464805941358017,0.8392529792796266
52,FJI,20112884.541176476,170850.23955025716,23348298.38823531,197595.8166366047,0.160862746486466,0.1565439835305591,1.0275881759139203
53,FRA,2016357504.466671,20839380.157659233,2098054720.5294147,21517015.095510248,0.04051722766511719,0.03251703902536467,1.2460306620634196
54,GAB,61739091.02745098,394980.52937185235,66853547.08235298,466582.1072408831,0.08283983404660052,0.18127875311449043,0.45697486673620963
55,GBR,2214221321.7372556,29937127.468912225,2262559550.6549034,31336772.35754256,0.021830802749077564,0.04675281187494609,0.4669409576363098
56,GEO,59524358.733333476,964056.0818070794,62727633.290196046,973577.3066722093,0.053814516023819765,0.009876214719047063,5.4489009762043965
57,GHA,708177064.6078424,6779902.563992847,752415969.262745,8583256.775651913,0.06246870573166635,0.2659852696462688,0.23485776417146287
58,GIN,124464981.62745109,1387383.0243222918,128951534.93333338,1700639.0207633036,0.03604671167117072,0.2257891230823088,0.15964768886599692
59,GLP,15799212.20000006,56094.6378705767,16311865.231372615,58474.72206427238,0.03244801227320389,0.042429798712438134,0.7647458450867427
60,GMB,905275.0980392164,25122.090829796893,921953.423529412,24998.193212037924,0.018423488645959808,-0.00493181951288925,-3.7356372425653954
61,GNB,18736099.262745116,244753.20521381334,19292637.254901953,289195.30386832845,0.029704048017265686,0.18157923045661872,0.1635872557812294
62,GNQ,23702915.976470597,32032.121663567144,25826990.686274506,52504.25582689747,0.08961237984020341,0.6391126500563659,0.14021374765825734
63,GRC,216769254.77647027,3963547.968062508,219348791.51372495,3941582.3069034633,0.011899919755293089,-0.005541918840402484,-2.1472562298348006
64,GTM,116271929.07450984,1700424.9326841729,135287124.35294163,1970358.141102731,0.16354072242360745,0.1587445603920076,1.0302130795521818
65,GUF,7264922.537254902,39074.76656060118,7565627.929411768,42569.1231306357,0.041391410660586325,0.08942744583298053,0.4628490758630313
66,GUM,1661589.7882352925,14358.665197041908,1663270.6274509784,14707.14272634235,0.001011584945686864,0.02426949333509313,0.041681337624965384
67,GUY,14463704.788235273,122932.75084798118,15203344.337254876,127042.74056212298,0.051137627589110037,0.03343282962263021,1.5295632516398103
68,HKG,1547331349.9098165,3583582.5729912072,1664958881.4156933,3810318.2269596364,0.07601961371281755,0.06327066541658437,1.2014985651295436
69,HND,71331592.46274506,773628.5976051486,87449090.42352936,959534.4269882848,0.22595174738601442,0.24030371932814784,0.9402756978449633
70,HRV,54282536.650980465,525333.880910072,58115880.04313725,540222.7720212466,0.0706183540537903,0.028341768258657807,2.4916707175536903
71,HTI,77302105.39215688,2572096.642936122,92983779.32549042,3261694.1512944475,0.20286218407350912,0.268107153069929,0.756645922164552
72,HUN,218623471.56078464,2307902.4958204827,225424690.74117678,2362553.3977347426,0.03110928177947801,0.023679900694778242,1.313742070985038
73,IDN,2897179139.5843086,56067657.768407606,2946098886.364703,63347965.63151643,0.016885302711179134,0.12984861777498846,0.13003837083918188
74,IND,6239164443.164708,163273223.89757693,6652524733.878429,180233682.08637103,0.06625250776433317,0.10387776871138152,0.6377929424765755
75,IRL,82027899.0352942,1124757.7297927218,84804705.1372549,1235482.8331858653,0.03385197151966443,0.09844351406551231,0.34387203505491054
76,IRN,1278754227.6941168,12782420.691749407,1345057354.219607,13862985.085028201,0.0518497808957784,0.08453519245977092,0.6133514266316121
77,IRQ,528721425.34509844,4451802.061671967,578006809.6745106,5348368.245385028,0.0932161663341776,0.2013939908586901,0.46285475518275804
78,ISL,11778868.3372549,66281.22677458363,11809345.078431387,77012.51867964983,0.0025874082555191126,0.16190545086865005,0.01598098298505227
79,ISR,175499317.09019613,2268150.730358414,182703835.65098053,2531085.585823724,0.04105154755150248,0.11592477164150423,0.35412230682199514
80,ITA,1397854338.3176463,18792723.28203846,1472835732.3176482,19512150.68441623,0.05364034860044427,0.03828223252057232,1.401181307062453
81,JAM,44079888.67843138,458862.23028639547,46981997.27058824,478408.2263420484,0.06583747552831022,0.042596654868397914,1.5456020133908324
82,JOR,137106180.3529413,2284375.2866369486,147999269.73725513,2541565.7899499233,0.07945002447207432,0.1125867999087006,0.7056779705658416
83,JPN,6845355326.270573,71865468.69939739,7181856604.729391,73854746.28419718,0.049157605766266065,0.027680576232246533,1.775888094013008
84,KAZ,925326130.7568643,2459570.449119486,993723467.8431393,3001450.1189847044,0.07391700592128511,0.2203147586438147,0.3355063744993478
85,KEN,233944995.4549024,5465106.866277144,276835430.0352933,6681204.770315382,0.1833355507220451,0.22252042527150961,0.8239043696700973
86,KGZ,119378503.99607855,1100438.4435765347,124796872.74509805,1150252.2237683553,0.04538814416033803,0.045267211885038135,1.0026715202961256
87,KHM,93376115.87450972,1804501.714497442,102837352.75686221,2357942.649137911,0.10132394985316863,0.30670014342136753,0.3303681202195013
88,KOR,1141390439.101951,25754187.115181595,1222969109.490193,26881544.45469438,0.07147306267295206,0.04377374966139889,1.632783648323811
89,KWT,118036233.32548961,1334783.5225786832,139901297.39999995,1657108.149268347,0.18524027291023895,0.24148082534534238,0.7671013739717277
90,LAO,37423899.07843136,361973.1413420094,40007095.20000004,414894.7381505138,0.069025306961066,0.14620310394384078,0.47211929910585104
91,LBN,64867417.36470567,3421701.9998438666,68592188.93333304,4590749.362919991,0.05742130209509495,0.3416566852196563,0.16806725751079016
92,LBR,63523873.84705882,866962.5154885355,66683595.99215679,1018453.7633562669,0.049740703041904734,0.17473794444545931,0.2846588541473327
93,LBY,311023181.7764734,1604884.4721272476,380887600.929415,1926117.8420806178,0.22462769094540305,0.20015980933978425,1.122241731176327
94,LKA,176481795.0431376,2799571.9966260493,198657589.58823416,3145988.949701529,0.1256548560132001,0.12373925496217632,1.015480948641636
95,LSO,32162641.262745082,176603.48480912196,33341162.764705848,183050.7547911372,0.036642559680752376,0.03650703715718656,1.003712230137502
96,LTU,73575416.27843134,375508.1530906774,79022854.94901964,368757.39369345055,0.07403884267502565,-0.017977663977902188,-4.118379493911602
97,LVA,29399753.84705883,340150.4669316003,30775434.650980428,374853.3836075627,0.04679225584942178,0.10202225206099948,0.45864754898220167
98,MAC,40457678.14509809,373719.5909191957,46073919.05882358,414895.79625734803,0.13881767741547865,0.1101794134925491,1.2599239096954007
99,MAR,212983580.44313717,7074910.290353213,262243491.4745102,8107640.545303803,0.2312850170369098,0.14597079151077555,1.5844609366239981
100,MDA,44993057.913725495,282198.83997851517,45994188.956862785,273998.6657920104,0.022250789111888446,-0.029058142787295314,-0.7657333531176964
101,MDG,88301105.88235268,1051487.8529882375,89366459.44313692,1321337.3003745612,0.012065008134820547,0.25663582001393065,0.04701217520674097
102,MEX,3732340071.4117646,56606567.00709394,4029128538.6666627,63910627.44140785,0.0795180668364545,0.12903203321619136,0.6162660918721098
103,MKD,25702887.419607833,151683.96894804787,27412841.48235301,152258.6017363422,0.06652770308758044,0.003788355435841459,17.56110381253165
104,MLI,171537275.62745133,3281865.223509337,187200940.81176487,4704950.101455961,0.09131347765095821,0.43362075558511304,0.21058373353863774
105,MLT,18337978.788235288,205230.77251123908,19240667.98823532,211830.16207062535,0.0492251196505447,0.032155945614953364,1.5308248197699936
106,MMR,188970308.20392147,5238832.587152978,195114581.0980393,5596362.550392286,0.032514488400407486,0.06824611347880571,0.4764298909197969
107,MNE,6857763.921568631,29764.23870790612,7444716.949019601,33175.342553901595,0.08558956449418151,0.11460410190465925,0.746828107124688
108,MNG,60092037.88627451,579290.9902616377,61643994.01176481,732657.95617364,0.02582631876168705,0.26474944111030246,0.09755004072294544
109,MOZ,295171813.0666663,3023031.7992290305,319400424.5254898,3637422.383540482,0.08208307970568764,0.203236560220154,0.4038794969604482
110,MRT,47926280.8196078,799015.8792898085,53175135.57254903,1042131.8645120907,0.10951934227272221,0.30426927865109726,0.3599421629362293
111,MUS,30215881.72549022,366455.5619648929,30896243.780392203,372017.6672498484,0.02251670366872094,0.015178116700240961,1.4834978616525905
112,MWI,84313403.77647059,1330175.1475626766,93033341.50196084,1793461.3878835926,0.10342291183746205,0.34828965280986535,0.2969451173845857
113,MYS,776579542.3411751,9971571.256963825,833255763.7411759,11880750.538766898,0.07298186252645478,0.191462231237606,0.3811815106023901
114,NAM,26319519.427450992,294280.43897426507,27977533.098039247,350551.76097878546,0.0629955905980169,0.1912166578269966,0.329446144043644
115,NCL,10288914.647058822,44534.03754388867,10366918.105882354,49640.012669513744,0.007581310711507345,0.1146533170407712,0.06612377999331148
116,NER,76770500.19215688,706046.7147140051,89596797.72156844,963982.3780151185,0.16707325727079123,0.36532379221620503,0.457329253748451
117,NGA,2714364848.3450956,32205936.46915262,2894223280.8235245,38559877.817917585,0.06626170118143315,0.19729099803854105,0.3358577017715164
118,NIC,68133173.79999967,708394.6117174171,71652185.01960762,738819.7036237804,0.05164901359120256,0.04294935534955765,1.202556200688924
119,NLD,648820658.2431352,5161460.049694663,677471466.3568611,5389908.442871397,0.0441582858833534,0.04426042069050768,0.9976924121921827
120,NOR,63730561.51764702,594854.3883982468,69119488.24705887,676270.8559023723,0.08455796718376084,0.13686789421416898,0.6178071758117774
121,NPL,107831549.30196087,3504258.666566777,113100086.92941183,6631707.736926091,0.04885896253514325,0.8924709526147411,0.05474571737264655
122,NZL,315167971.21176434,1703290.492204906,347976578.18431383,1833223.2670674892,0.10409879800414454,0.07628339115213727,1.364632542312298
123,OMN,55313966.89019602,33009.83653178123,60937587.87058824,35913.165288786586,0.10166728760487741,0.087953442429504,1.1559216421388538
124,PAK,1111354840.8392162,30056585.57878275,1210262504.6431365,37606712.335354045,0.08899737524806409,0.25119708746628255,0.35429302204791663
125,PAN,83392142.50196081,1014102.8393698323,99016767.53725493,1247884.7161906608,0.18736327628141622,0.23053073884114314,0.812747476641398
126,PER,492168655.9215684,11297708.601292131,517684769.21176445,13017714.642079469,0.051844246851555476,0.15224379575435484,0.3405343816782268
127,PHL,658011030.3568578,22050834.467768244,672105674.325486,24314513.951123655,0.021420072488730544,0.10265731606049812,0.20865607353407958
128,PNG,12966421.929411773,68055.42892634917,13009200.866666678,71813.43234714153,0.0032992091023869977,0.05521974484738521,0.059746909579268426
129,POL,609097008.9098043,7157740.762811191,680628934.1176468,7382230.269079656,0.11743929811094342,0.03136317920800153,3.7444959687308015
130,PRI,141178946.29411718,1156156.302535653,146605203.27843097,1140765.5573371125,0.03843531296096587,-0.013311993512283784,-2.8872695081694015
131,PRK,127341972.10588232,1147208.1927121729,145447690.12941167,1195568.4233241384,0.1421818566503337,0.04215471168980642,3.372858002127321
132,PRT,186769418.8470587,2766750.185557685,202358469.06274438,2865940.9094066434,0.08346682402246584,0.03585098660758378,2.3281597501366833
133,PRY,176310899.7686276,1908067.448895107,184737199.54509813,2122212.2501250496,0.04779227936292269,0.11223125333118916,0.42583752693102267
134,PSE,114242376.48627445,2463626.1726166783,119788250.61568618,2883084.749282696,0.04854480710210043,0.17026064316425904,0.28512054342040044
135,QAT,100873974.70588264,1869987.9597422942,118934747.8156865,3844046.279213494,0.17904294108032814,1.0556529571148938,0.16960397815741798
136,REU,12910564.019607825,49887.53695661227,15234890.184313724,63148.50782904432,0.18003289098569553,0.26581730992182,0.677280539174237
137,ROU,290978263.3843136,4247189.71475162,312445693.9098041,4178377.0790020246,0.07377674976751482,-0.01620192182858954,-4.553580158455651
138,RUS,2852648703.6823525,41048564.664442405,3081856325.2392154,42266695.451324284,0.08034905288582828,0.029675356418419747,2.707601949338507
139,RWA,84174340.76078439,776520.2317104926,93343032.03921553,1049697.898234345,0.10892501438755203,0.35179722996026236,0.30962442313674776
140,SAU,936226050.1568627,3444432.166496239,1130787488.5960767,4749891.922243734,0.20781459606535796,0.379005796208041,0.5483150868523551
141,SDN,383182355.6274517,2408456.5293522147,436827702.4235307,3031093.885160139,0.13999952244209168,0.2585213177899418,0.5415395667905674
142,SEN,160951094.6823526,2633995.584796202,179310728.05882338,3110170.899919745,0.11406963967970954,0.18078060490005943,0.6309838366940437
143,SGP,163643410.5333333,2942555.345653591,171347727.76862764,3294825.436445016,0.047079911193399465,0.11971570604840386,0.3932642820847914
144,SLE,60099162.560784325,1173338.062515766,62848994.28235289,1362096.475469473,0.04575490912685149,0.16087299899654525,0.28441633718678966
145,SLV,68652302.05882342,930630.6829830221,73638977.49411748,957445.5670285359,0.07263668203028828,0.02881366855384781,2.5209105843132322
146,SOM,73782054.69019607,490958.6199222823,80258341.53725499,561821.2454733829,0.08777590803417232,0.14433523045652602,0.6081391754219739
147,SRB,79515166.027451,1339488.4846595342,83517351.93333337,1367458.5496434812,0.050332359294838175,0.020881153742099014,2.410420416251323
148,SSD,35633386.17254903,9599.743836344463,41526670.439215705,11932.18136283078,0.1653865910505776,0.2429687256503395,0.6806908609653256
149,SUR,30623033.84313726,161389.7903980576,31666982.81568622,173250.51980703705,0.03409031834979051,0.07349120027807034,0.4638693914482577
150,SVK,33704108.74901965,379757.32236286026,34769002.1843137,375970.01682440506,0.03159535958134545,-0.009972962509032037,-3.168101710272252
151,SVN,31168720.768627394,214866.9853581259,31903906.858823508,227085.72389260778,0.023587303940176756,0.056866523789666897,0.4147836436673971
152,SWE,149514376.3764706,1946175.6745101234,157790107.6980391,2186205.113180636,0.05535073965550037,0.12333390136064203,0.448787714041808
153,SYR,185722347.6901958,4841967.2938181525,194186110.82352936,5473805.627952864,0.04557213086414351,0.13049206981249006,0.3492329528501476
154,TCD,72760951.5803921,525166.9458975749,77762648.34117638,672088.40694985,0.06874149735738398,0.2797614400524928,0.24571469658036407
155,TGO,111725807.86666662,1499367.0404470433,117204060.98039196,2062064.23887137,0.0490330141113241,0.3752898278039752,0.13065372541068573
156,THA,1101004607.564712,14946898.357991574,1147778582.627453,17919799.652486376,0.04248299665720689,0.19889753869272134,0.21359236990277325
157,TJK,104464858.07058817,1135886.4960869472,107658738.58823532,1283134.1028322037,0.030573731459903993,0.1296323244025831,0.23584959693351584
158,TKM,99026513.41176467,807618.8171552714,109362967.94509801,1044095.458709178,0.10438067722684602,0.29280724585747486,0.3564825621755745
159,TLS,8245438.27843137,176706.22387543815,8345596.850980388,233984.70913628972,0.01214714963193836,0.3241452621455354,0.0374744012963068
160,TUN,268270379.9960783,2573263.97928188,278765380.05490226,2852766.0839415966,0.039120979584020284,0.10861773487293643,0.3601711969945325
161,TUR,1042805797.5686278,24960864.878581386,1142975204.8823526,29095983.308031574,0.09605758574345913,0.16566406851544965,0.5798335547608557
162,TWN,647262444.352939,12862851.792682987,685770751.2901981,13527673.958181757,0.05949411598529465,0.051685440850446074,1.1510807493631194
163,TZA,450223281.7882353,7350463.094897293,487714402.3686268,9453795.680568753,0.08327228310246647,0.28614966955369087,0.2910095378839566
164,UGA,171373711.52156848,2744266.008122892,179368794.50980398,3420666.9432869647,0.046652913782691055,0.24647790453329202,0.1892782798159078
165,UKR,904010676.2901957,10850210.984453218,943598139.858824,10846989.047494378,0.04379092482744128,-0.00029694694079743575,-147.470537025379
166,URY,111515712.8509807,1375171.6937972729,116839207.1843137,1412524.6053892644,0.04773761649577425,0.027162362169372938,1.7574913477002765
167,USA,22426142297.254833,146018794.48529238,23525622363.023483,156831190.5136269,0.04902671405519605,0.07404797489561249,0.6620939211951493
168,UZB,912113584.1529429,2983359.8974946802,968447302.3176498,3768453.757936079,0.061761735756871404,0.26315761001570503,0.23469484980193245
169,VAT,111093077.94117647,620.1342856884003,113934861.06274547,635.1771292686462,0.025580199722918022,0.02425739703062406,1.0545319306364147
170,VEN,692379308.878432,6631636.2753794575,719862884.2156864,7412169.525362411,0.03969439147708553,0.11769844086304199,0.3372550323183577
171,VNM,1049466230.8274465,18736594.884720717,1118485914.0941148,22020088.05991961,0.06576646416936169,0.17524492552681015,0.37528313000595437
172,YEM,68144094.83137262,2281585.586385879,72492135.43137252,2647688.0231313496,0.0638065647619128,0.16045965530725104,0.39764864656935006
173,ZAF,1592930126.415679,18709339.437779542,1735654850.3176413,22080240.710069552,0.08959886032359332,0.1801721158301928,0.49729593234081654
174,ZMB,237247922.76078442,2384951.5897645927,247777882.45882368,3107593.806670256,0.0443837803741555,0.3030007904592277,0.14648074121155755
175,ZWE,147882134.6549024,1568249.1732614054,184677858.45098054,1753486.357575059,0.24881791084463725,0.11811718920178065,2.1065343031451538
