,country,urban_built_area_2015,urban_population_2015,urban_built_area_2020,urban_population_2020,urban_builtuparea_growthrate,urban_population_growthrate,rateratio
0,global,125753816966.74117,1675339966.6486762,135850200631.44693,1877121169.3013802,0.08028689632041955,0.12044194412453728,0.6666024606627297
1,AFG,130070818.31764704,3181263.509049863,142564288.41960785,3615488.431298877,0.09605129162369379,0.13649448434993128,0.7037009010374868
2,AGO,535555229.1686282,5358001.634229322,618483923.2431368,11835423.130176304,0.15484620363663204,1.2089248824722827,0.12808587686603617
3,ALB,32827264.49019604,627724.3603797513,35603813.54901961,744328.9153869596,0.08458057964753034,0.1857575750870439,0.4553277550479265
4,ARE,255559417.94509846,1103653.2510479393,307795117.537256,1633668.39012016,0.2043974744197425,0.48023701155137405,0.42561791262079096
5,ARG,1464033139.54902,17912615.000075515,1524018329.8823514,19021243.730469577,0.04097256319744862,0.0618909483841074,0.6620122048084452
6,ARM,73229151.99215698,965679.866632505,75201770.98823513,960693.5351152008,0.02693761900027766,-0.0051635450728535846,-5.216884644214181
7,AUS,1728889630.9882343,10512754.878011754,1883257690.8862724,10921764.944706922,0.08928739991910373,0.03890607851521822,2.2949473019795277
8,AUT,152991838.45098075,1952760.613715617,158284565.21176487,2058018.2256748325,0.034594830772492036,0.05390195358300292,0.6418103328893248
9,AZE,199332296.80784297,1932840.9087677929,218118643.75294095,2128035.6758502135,0.09424637776189418,0.10098853257760332,0.9332384118906945
10,BDI,30828974.39999995,558805.273665646,32109054.552941162,718840.2833239576,0.041521983064776044,0.28638779410315035,0.1449851701774021
11,BEL,597152498.8549012,3753011.391563156,649664768.1764709,4135619.948792056,0.08793778711847834,0.10194708123961778,0.8625826855384726
12,BEN,165739159.6862744,1658852.2103713816,172082838.76078475,2025998.1641792005,0.038275076852798136,0.2213252943887164,0.1729358452160246
13,BFA,167692130.51764682,1909714.9995901426,177790692.52941176,2748388.0564146396,0.0602208462650681,0.4391613706780805,0.13712692027553566
14,BGD,339228589.9176473,19080480.14323144,344002603.2784316,22046142.16488928,0.014073145668362604,0.15542910866998652,0.09054382276773706
15,BGR,88361409.84313726,817816.1675199082,92273550.92156865,830515.1994346353,0.04427431709584957,0.015527978559335643,2.851260833898513
16,BHR,52338833.925490275,1006540.1372743108,69825355.21568623,1712859.9427321246,0.3341022330587231,0.7017303923622089,0.47611196079743273
17,BHS,17846504.713725507,122477.79767397721,18495553.38823529,133112.24496268446,0.036368391733906734,0.08682755152909434,0.4188577368984123
18,BIH,26277821.890196018,226478.03718950757,28958526.9254902,223090.8812824019,0.1020139738558136,-0.014955780918709662,-6.821039597350229
19,BLR,222741134.9568624,3018891.565162676,233934551.50588226,3126260.8756596977,0.0502530282571635,0.03556580558773268,1.4129590888416912
20,BOL,268987353.79999995,2708829.3584439983,284934746.48627484,2832139.208736481,0.05928677486500813,0.04552145372616396,1.3023919495552576
21,BRA,4548801496.52549,78296428.07768461,4741295836.423529,84253727.19715892,0.042317595095119405,0.07608647374773672,0.5561776359280705
22,BWA,44676883.65490199,97207.726039501,48117774.305882394,106372.06584909162,0.07701724850727962,0.09427583776485668,0.8169351801399684
23,CAF,35324284.48235299,663067.6476362301,38639418.12941175,760328.2470080461,0.09384857175847142,0.14668277017969486,0.6398063770100708
24,CAN,2304348975.8548975,15927802.09277949,2388051988.415681,17383269.535403978,0.03632393072309291,0.09137905118021854,0.39750829379323
25,CHE,595463855.6196071,2040496.9007419148,615243489.0196073,2134026.948128446,0.033217185582857266,0.04583689754810418,0.7246822398483017
26,CHL,426933942.611765,6765154.60295889,440244348.9490192,7649470.815907487,0.03117673487338079,0.13071633463658344,0.2385068014648522
27,CHN,21863558701.1843,345856834.07693684,25366326264.964733,390744178.69584745,0.16021031212959383,0.1297859119618417,1.2344198974130351
28,CIV,226289478.9921571,4758144.790375272,250579727.4000004,5465329.942403341,0.1073414836431046,0.14862623631348,0.7222243279894521
29,CMR,328380193.9176472,3975795.640561025,353579771.2039212,5474416.308356806,0.07673902918942088,0.37693604080322146,0.20358634060541403
30,COD,550335329.4078429,10983712.638325173,643497174.1960793,14270687.615137164,0.16928196285068214,0.2992590105956375,0.5656703954001173
31,COG,249347387.8117643,829271.6210761089,282469517.31764764,776025.6064711632,0.1328352777085745,-0.06420817166738527,-2.0688219935103462
32,COL,519624825.2862749,16233271.571883865,546472634.4705892,17447495.191329695,0.05166767998338626,0.07479845415442159,0.6907586602888639
33,CPV,4515066.41568627,4934.439503060609,4528617.427450977,4831.098204365431,0.003001287360387001,-0.020942864661949973,-0.14330834911232979
34,CRI,99537331.86274514,1277783.2692771628,103100814.67843133,1340094.799152327,0.03580046550373667,0.04876533554114662,0.7341375816747818
35,CUB,110263188.78823544,1165307.355871499,117532757.56470606,1212781.8458242372,0.06592924489452318,0.04073988696075242,1.6182971974870088
36,CUW,20930260.690196086,92892.02520174783,26876774.443137288,106278.9677098099,0.28411083077080834,0.14411293627184463,1.971445715566307
37,CYP,44419545.400000095,364662.6106159992,45761498.039215736,396347.3680724654,0.030210859366778614,0.08688786986673339,0.3476993901808772
38,CZE,125048991.12941194,1264843.554724197,133402605.58431378,1335542.2000589354,0.06680273370823739,0.05589516985770988,1.1951432275506895
39,DEU,2069621900.078435,18539725.767051615,2147760481.2196136,18640328.740815565,0.0377550030458304,0.0054263463779350785,6.9577207970637405
