geography,land_consumption_2000,land_consumption_2005,land_consumption_2010,land_consumption_2015,land_consumption_2020,,landconsumption_changerate_2000-2005,landconsumption_changerate_2005-2010,landconsumption_changerate_2010-2015,landconsumption_changerate_2015-2020
global,40.33119774,43.49846229,44.60060042,45.66086913,45.52110713,,0.015120056,0.005004347,0.004698871,-0.000613113
AFG,21.76686622,19.74329446,19.56265911,19.03588482,16.92134346,,-0.019515001,-0.001838262,-0.005459346,-0.023550024
AGO,49.71867371,45.06472963,35.92204251,27.15436194,23.76286736,,-0.01965614,-0.045349758,-0.055962682,-0.026682705
ALB,34.3209306,35.62510695,37.33468025,36.74381507,34.37365772,,0.00745905,0.009374404,-0.003190549,-0.013335881
ARE,89.84967188,73.11721745,45.48998108,45.00685292,48.95578233,,-0.041214818,-0.094914353,-0.002135468,0.016820545
ARG,55.66629973,55.92367596,56.15554226,56.67767681,56.97771045,,0.00092258,0.00082751,0.001851009,0.001055944
ARM,42.05359648,45.94798889,49.8582973,52.29191415,57.29189433,,0.017713034,0.016334969,0.009531365,0.01826348
AUS,139.0420612,135.8052148,128.580809,122.3411487,117.9144782,,-0.004710974,-0.010932809,-0.009948825,-0.007370768
AUT,55.00193335,54.78882537,54.75845349,53.78518559,51.42191254,,-0.000776416,-0.0001109,-0.003586738,-0.008986735
AZE,50.42167506,60.62010315,63.55673409,67.11020053,69.78192463,,0.036841086,0.009461277,0.010880619,0.007807793
BDI,68.16531072,53.08521414,42.03484978,34.7621085,29.68073051,,-0.050007472,-0.046679881,-0.037994215,-0.031605985
BEL,77.480226,80.88542095,84.05900408,88.30474678,90.2505845,,0.008602168,0.007697077,0.009854976,0.004359242
BEN,57.53313496,57.62877446,59.62472608,59.59697068,51.93534445,,0.000332192,0.006809671,-9.3122E-05,-0.027521035
BFA,78.79190614,66.24961671,59.48188777,53.56011034,44.32889064,,-0.03467612,-0.021551564,-0.020973456,-0.037833592
BGD,10.91717821,10.58619537,10.50016357,10.26732676,9.640307313,,-0.00615734,-0.001631999,-0.004484828,-0.012602741
BGR,35.07180817,37.20449151,39.11235355,41.34665048,42.74142486,,0.011806374,0.010001774,0.01111061,0.006635435
BHR,85.36378382,69.63964106,53.42965997,50.47505146,49.70390553,,-0.040717595,-0.052993588,-0.011377368,-0.003079134
BHS,70.50849617,71.42958543,73.00663104,74.12816346,72.21497177,,0.002595786,0.004367626,0.003049052,-0.005229629
BIH,30.506971,35.75576228,43.60866777,52.69184125,65.89226956,,0.031751245,0.039708899,0.037840939,0.0447121
BLR,36.19886518,38.70102886,41.71554732,44.00059584,44.23878592,,0.013367683,0.015001542,0.010665856,0.001079748
BOL,51.8862652,50.2731667,49.58272018,48.42689298,45.48826868,,-0.006316529,-0.002765816,-0.004717418,-0.012520168
BRA,46.69518699,43.53428424,46.75993826,47.00345594,46.9691752,,-0.014018465,0.014295609,0.001038863,-0.000145918
BWA,201.6829556,173.3402789,164.3240264,155.2022268,142.9103752,,-0.030288069,-0.010683269,-0.011422259,-0.016502254
CAF,39.75389436,36.71225418,34.06927819,32.99397096,32.61097762,,-0.015919441,-0.014942911,-0.00641424,-0.002335176
CAN,100.4299723,98.28006516,97.56774283,97.69654961,95.32125383,,-0.004327896,-0.001454855,0.000263861,-0.004922687
CHE,60.99139291,63.04758009,67.0114791,67.41082048,67.43492524,,0.006631385,0.012194851,0.001188322,7.15032E-05
CHL,32.22497226,34.75807147,37.65041399,39.66033916,38.20421568,,0.015134026,0.015986426,0.010401545,-0.007481161
CHN,29.17616115,31.81537239,37.00533795,41.74563315,43.99062869,,0.017319521,0.030222518,0.024106536,0.010476355
CIV,37.49777104,35.2789999,33.94714757,32.90721332,31.25558275,,-0.012198722,-0.00769661,-0.00622259,-0.010298775
CMR,41.4368296,37.02492258,33.59835256,30.40245339,27.19191801,,-0.022515764,-0.019422847,-0.019990745,-0.022320702
COD,30.4820584,28.16186389,25.80109032,23.19338986,22.02672375,,-0.015833909,-0.017510393,-0.021309887,-0.010322177
COG,31.02799017,30.07209121,27.87739064,23.59464054,20.73046758,,-0.006258433,-0.01515631,-0.03335928,-0.025883022
COL,21.85239181,21.0310409,20.7302601,20.22363865,19.59427625,,-0.007662179,-0.002881002,-0.004948465,-0.006322931
CPV,321.8590976,303.7359102,293.6725174,291.154196,289.9750293,,-0.011591051,-0.006738669,-0.00172245,-0.000811639
CRI,55.14783857,53.42512137,52.35429215,50.92836522,48.77054774,,-0.006347296,-0.00404943,-0.005522776,-0.008658688
CUB,27.64400786,27.7789514,28.17148475,28.79090893,30.04054341,,0.00097392,0.002806339,0.004349878,0.008497648
CUW,112.4321772,121.5979596,135.2234756,152.9356488,162.881194,,0.015674004,0.021241719,0.02461769,0.012600765
CYP,87.36601986,86.56453864,86.73389039,86.12072273,82.85082328,,-0.001843234,0.000390891,-0.001418927,-0.007741677
CZE,52.81067362,54.85719152,56.23875974,58.04901502,59.05916642,,0.007603994,0.004974581,0.006336309,0.003450404
DEU,59.97493303,62.19228358,64.41363064,65.74204592,64.76356606,,0.007260848,0.007018867,0.004082685,-0.002999099
DJI,21.22554891,21.18383862,21.26208038,21.30856365,17.70424109,,-0.000393406,0.000737332,0.000436764,-0.037060964
DNK,71.26617878,70.96961981,69.86098688,68.17762867,65.99041271,,-0.000833994,-0.003148906,-0.004878176,-0.006521403
DOM,31.25263107,29.38663977,28.64231137,28.52358437,31.50219687,,-0.012312685,-0.00513102,-0.000830755,0.019865204
DZA,32.43945594,33.68164164,34.4284939,34.78389228,33.86657257,,0.007515495,0.00438632,0.002053976,-0.005345189
ECU,41.00484964,40.36464846,40.75431692,40.54922392,38.88922365,,-0.003147196,0.001921481,-0.001009026,-0.008359891
EGY,16.17954867,16.66280986,16.8967341,17.01288717,18.44753796,,0.005886253,0.002788215,0.001370154,0.016191958
ERI,17.41389827,16.85574158,17.89477066,19.1821238,25.01441398,,-0.006515459,0.011963437,0.013894053,0.053094685
ESH,6772.741674,6008.948894,5086.704597,4428.471712,4751.906992,,-0.023931228,-0.033323929,-0.027715131,0.014098294
ESP,31.75648406,32.90016342,34.11562046,35.0567791,33.85100754,,0.00707614,0.007255546,0.00544273,-0.007000049
EST,44.17836864,46.30300546,48.26089835,47.56139962,47.50263311,,0.00939432,0.008282961,-0.002920035,-0.000247271
ETH,24.66370727,24.21845385,23.40267928,22.32365156,20.96693133,,-0.003643585,-0.006852877,-0.009440758,-0.012540045
FIN,46.89440847,49.51730344,51.81362179,52.95767979,55.54615504,,0.010884745,0.009066182,0.004368003,0.009544239
FJI,104.5257387,98.92496867,95.8430176,94.63723257,96.76903478,,-0.011014335,-0.00633001,-0.002532128,0.004455215
FRA,64.81113783,67.20925536,69.71525717,72.09617397,74.4953157,,0.0072667,0.007321645,0.006716357,0.006547054
GAB,89.67273431,86.00921128,83.00349649,79.59013182,68.65457277,,-0.008342472,-0.007114333,-0.008398524,-0.029560475
GBR,63.44783753,63.00917036,61.90247905,60.74787359,59.55328547,,-0.001387567,-0.00354401,-0.00376563,-0.003972123
