,country,urban_built_area_2000,urban_population_area_2000,urban_built_area_2005,urban_population_area_2005,urban_built_area_2010,urban_population_area_2010,urban_built_area_2015,urban_population_area_2015,urban_built_area_2020,urban_population_area_2020
0,AFG,99491407.97254899,2175297.964760338,109537584.89803919,2469429.1974314936,121715309.52156866,2793943.943887049,134454886.76862743,3243724.8399133007,142564288.41960785,3615488.431298877
1,AGO,505838732.3176489,651027.8101450768,517590770.93725646,1386399.3592664106,531226628.2039224,2788699.2769558453,555360571.9058832,5652588.8897856595,618483923.2431368,11835423.130176304
2,ALB,22936187.08235295,414295.42356226547,26533362.96078427,472632.3365926721,30364766.10588237,538192.8260193949,33889654.96470586,637639.275818505,35603813.54901961,744328.9153869596
3,ARE,240574298.14117703,487291.9685265336,253774949.37254915,619038.2613606157,270454541.55294096,831327.676413144,289851118.23529476,1237267.4921827598,307795117.537256,1633668.39012016
4,ARG,1281047556.262745,14238774.567283817,1344288971.7019594,15050708.552264858,1410921368.7607865,15897720.602203097,1475089393.6588228,18042533.507657427,1524018329.8823514,19021243.730469577
5,ARM,66015443.09803944,1025022.2023292101,68533614.8313723,1005021.5022251265,71085490.79607855,991019.39894665,73490765.67843144,970073.7148823324,75201770.98823513,960693.5351152008
6,AUS,1627565532.149015,10842634.392888516,1679386390.1215663,10886138.519487236,1743021739.874509,10913940.247049041,1813756043.466665,10940716.83116984,1883257690.8862724,10921764.944706922
7,AUT,141685558.48235294,1642888.6885956805,145897569.31764692,1745237.456856693,150195942.18039227,1848304.4133953329,154433714.97254938,1969822.2088658228,158284565.21176487,2058018.2256748325
8,AZE,143191398.32156885,1572040.6626331713,161266346.78823555,1668589.608786136,180717659.6745092,1808457.4226126492,200516629.30980366,1949321.5088635508,218118643.75294095,2128035.6758502135
9,BDI,25105521.396078415,267339.1057359136,26939545.862745054,346547.05016040575,29182663.054901965,441173.9313217282,31344091.007843133,564837.8214612841,32109054.552941162,718840.2833239576
10,BEL,553713934.0431379,3338931.4368711035,580067456.6666672,3555734.2917748205,607141885.0313734,3696933.2326561897,632507391.733334,3944081.406753774,649664768.1764709,4135619.948792056
11,BEN,110669468.45098057,1070285.604766814,125613761.54509819,1249876.905669871,146489621.12156874,1432830.95818854,168339294.36078438,1683210.3368903513,172082838.76078475,2025998.1641792005
12,BFA,118529020.66274515,700346.7065164795,134828745.98823547,977677.8012785153,153552094.96078476,1386518.2547374177,170973059.7882349,1958572.5942095474,177790692.52941176,2748388.0564146396
13,BGD,284629585.3176474,11758264.025386725,304054949.10980487,13805445.52189206,324341027.4901966,16064974.70620791,341521532.0,19166392.925737675,344002603.2784316,22046142.16488928
14,BGR,77961021.95686276,665139.167799197,81865349.4745097,708354.888087792,85964203.98823522,727182.4419905301,89781340.98431373,841363.2960189946,92273550.92156865,830515.1994346353
15,BHR,58060228.37254894,458874.57604102755,59677878.61176449,638146.102766327,61532507.64705882,894078.5815189409,64247571.48235293,1238399.6621251984,69825355.21568623,1712859.9427321246
16,BHS,14735398.274509817,97279.98734878919,15831199.054901965,103778.79467503777,16982062.662745085,110702.49349809162,18024406.11372552,124616.03301101392,18495553.38823529,133112.24496268446
17,BIH,20454640.011764735,224313.74699056312,22634739.290196054,222675.7875831386,24933051.32549019,214249.0595145168,27159800.133333296,236269.2694020225,28958526.9254902,223090.8812824019
18,BLR,191772522.4313724,2807503.3383175633,202900821.02745104,2905650.563159038,214703671.81176475,2956233.771950125,226019669.5725487,3051629.8761568572,233934551.50588226,3126260.8756596977
19,BOL,222877022.19999996,1654932.6165176746,238534522.20392147,1862028.465186251,255868332.5294118,2168451.59840123,272886482.13725495,2772866.924579849,284934746.48627484,2832139.208736481
20,BRA,3872229487.333337,64877403.680008054,4109818996.2549005,69205696.05097428,4363492734.380391,73865069.00661272,4600153707.047058,78873374.74058034,4741295836.423529,84253727.19715892
