,country,urban_built_area_2000,urban_population_area_2000,urban_built_area_2005,urban_population_area_2005,urban_built_area_2010,urban_population_area_2010,urban_built_area_2015,urban_population_area_2015,urban_built_area_2020,urban_population_area_2020
21,BWA,40113332.301960796,66422.30800454009,42336878.29411772,75073.46134395024,45159159.89803915,81185.45358734386,47794922.69411768,100494.21855527941,48117774.305882394,106372.06584909162
22,CAF,32209551.113725554,462577.47481302416,33274613.48235301,518736.2110318394,34595037.729411826,588340.8778048782,36340230.24705892,672661.6210487046,38639418.12941175,760328.2470080461
23,CAN,2067792915.031371,13125482.092506303,2157641171.545095,14082726.863492688,2255221559.3647027,15101965.897327252,2345608991.760777,16199564.963978117,2388051988.415681,17383269.535403978
24,CHE,544753795.9098065,1725030.3876381603,564101516.6862725,1874819.4015595096,583992536.4078465,1955094.7631599184,602624524.9960783,2065510.9262365624,615243489.0196073,2134026.948128446
25,CHL,309107810.4196076,5565694.81915738,349198460.2745102,5690871.681381716,391553236.0588243,6087041.001625278,428300674.5215694,6802262.592084326,440244348.9490192,7649470.815907487
26,CHN,15014391530.901937,285141737.83314884,17419475375.58037,307976402.8168078,20482883451.203896,337187475.3989918,23637232667.52544,362884695.0957177,25366326264.964733,390744178.69584745
27,CIV,189940408.85098043,2909241.4215769293,200670441.33725512,3564795.7869427884,215104645.5098038,4087390.3745435416,232560543.980392,4860167.681167784,250579727.4000004,5465329.942403341
28,CMR,268693728.56470567,1825910.030909004,288374358.72549015,2332756.976815316,313056667.14509803,2980306.3899069596,338452662.54117584,4162999.9106238163,353579771.2039212,5474416.308356806
29,COD,487602132.8392161,6747165.893827533,510661516.69019616,8226948.776307489,539326341.6117647,10074091.582324402,578307885.1490192,11505991.704981955,643497174.1960793,14270687.615137164
30,COG,236482257.05882388,1258484.3268282264,241692175.35294136,1135326.4572706863,247712382.38039196,972518.8522272133,257715348.17647007,871155.3352157184,282469517.31764764,776025.6064711632
31,COL,455093799.59999996,9114035.282542523,477858783.16078424,10361259.517141897,502159450.59607875,11952607.176461289,526126353.2352945,16443135.098476341,546472634.4705892,17447495.191329695
32,CPV,4470347.43137255,3406.871820289018,4486286.745098039,4072.1784445182934,4502592.988235292,4116.021180837295,4518410.01568627,4942.155716011577,4528617.427450977,4831.098204365431
33,CRI,93659146.83921544,1169476.240010862,95921397.56470558,1200374.1689702352,98306732.29411764,1240674.9462734347,100751502.7019607,1292356.2943523664,103100814.67843133,1340094.799152327
34,CUB,109214299.44705883,1182397.6481035368,110717884.96470599,1226325.2731389431,112306003.6588236,1211665.4741233638,114278854.7764706,1225426.3616957024,117532757.56470606,1212781.8458242372
35,CUW,12691409.235294143,75517.21555135094,15085676.77647061,81717.90846197218,18048688.54509803,90095.78489723282,21806144.619607892,97343.29158898811,26876774.443137288,106278.9677098099
36,CYP,39247703.862745,283880.1927054674,41194573.701960795,310644.7135780219,43208897.341176465,334869.1801855153,45009334.01176479,367838.2113901168,45761498.039215736,396347.3680724654
37,CZE,115762222.72549011,1226574.4584123993,120273196.34509811,1279113.4176796004,125079375.33333318,1318306.2873506213,129754642.99215707,1326534.3639208898,133402605.58431378,1335542.2000589354
38,DEU,1923550269.6392171,17430136.180779528,1982160879.3490198,18080029.845857713,2042317646.8902001,18166270.08360489,2100632922.7254941,18783983.01436882,2147760484.6078486,18640328.740815565
39,DJI,9387575.64313727,181745.14327287886,10099802.682352947,208336.93277589008,10858177.156862745,228890.73071796942,11533691.97254902,267394.1842247551,11647276.611764705,290145.9120727614
40,DNK,117010836.76862735,1183579.356839754,120047400.12548994,1256793.74505131,123222779.89019595,1334806.4548229869,126316469.63137218,1422498.184858154,128903775.84705864,1527701.7078131363
41,DOM,145874696.94509786,2551376.53416632,152956594.92156833,2890899.7964431634,161893598.8039215,3259151.482954049,173912205.03529403,3842993.935838027,193564839.14117733,4433811.393481185
42,DZA,334711500.80000013,5675586.177727843,367167249.78823495,6294908.481589665,401992790.20784295,6807317.66767289,435018029.06274426,7986964.267574431,457295480.6941173,8952734.527684411
43,ECU,245235760.10196072,2872542.3458003867,266574018.0627449,3230566.165274595,289413810.9921569,3562833.301090431,310342303.44705886,4299563.518123166,321846706.39607793,4789985.486382757
44,EGY,577624047.4901967,19164605.75629064,626630329.1294112,20931121.19126559,685832789.8039169,22677553.966792215,757445894.2196045,25524178.513225097,853275932.7960756,28072102.945827264
45,ERI,10644259.392156858,135313.07668082844,11137004.992156854,125252.52529264157,11724077.599999975,134389.93403309843,12269528.686274508,147319.1399542266,12336344.999999994,147355.56915944407
46,ESH,5181514.098039215,98.57665680721402,5390285.917647064,122.39502963096483,5604343.431372545,140.50794709703214,5795097.2862745095,169.99113938091136,5900868.945098036,181.41067750684763
47,ESP,631642192.5686275,11460155.471705226,662871333.7960781,12401024.858946882,696058063.0156869,13390652.579261117,725662851.2156858,15186775.721026331,736922207.0039217,16225377.734181581
48,EST,18096322.894117627,276820.9639062232,18798987.44705884,285493.7590858787,19541737.23529413,287246.44356530765,20326149.039215624,287523.524183606,21188369.82352944,288410.34305528627
49,ETH,136554862.415686,2895892.9556640787,154111344.42745084,3339256.4546212526,175306758.62745082,3757021.2427395266,197125180.4156867,4265584.848199761,211802567.9450979,4723224.061002399
50,FIN,68479822.06666651,515886.89700901974,71947866.46274492,551362.4320211719,75560984.42352946,592573.3310447166,79202128.50980373,673267.7167159849,82671729.78431378,713972.9725276588
51,FJI,20693552.556862734,148482.8265298671,21375109.000000004,159017.26684450975,22056523.52941179,170481.09329663514,22602631.9372549,183657.0644774889,23348298.38823531,197595.8166366047
52,FRA,1822025394.8784306,19262944.21101623,1894143941.1294103,19818966.954415485,1969259567.1843162,20408397.428423043,2041834936.8705926,20966992.716318827,2098054721.7725518,21517015.095510248
53,GAB,51077725.36862742,237109.3721168974,54537396.25098032,279275.00731594174,58859534.59607842,332810.0801360371,63575002.392156824,405776.2994309987,66853547.08235298,466582.1072408831
54,GBR,2086053142.192159,26546689.96099332,2131850141.0549026,27674374.145865984,2179128331.403922,28860939.07365065,2225016154.952942,30036378.981821354,2262559550.6549034,31336772.35754256
55,GEO,53572022.44313731,904087.9560030353,55652660.9607843,924130.272218184,57800080.596078455,948850.2126918093,60059104.866666794,975580.4728918851,62727633.290196046,973577.3066722093
56,GHA,531246843.50588346,3689303.7509546983,588185929.2549016,4534185.1561075235,657663931.2313718,5468722.599570255,726990591.5960793,6925427.031659402,752415969.262745,8583256.775651913
57,GIN,106127194.5843138,979435.9656358676,111701362.58823533,1125412.8873694895,119024637.55294125,1237366.203137205,126614846.09019618,1422899.8451446795,128951534.93333338,1700639.0207633036
58,GLP,13115053.152941165,52480.784789504214,14021795.274509802,54359.35520228451,15040530.141176488,54379.672824263114,15995514.239215741,57542.72722349772,16311865.231372615,58474.72206427238
59,GMB,870896.1450980392,29356.94715730256,882760.3568627452,27241.364262016144,894944.1764705883,25877.757201699642,907444.2666666673,25263.773327965835,921953.423529412,24998.193212037924
60,GNB,13368241.000000004,147309.42825454485,14897844.894117646,173771.17266783954,16919221.94901959,192569.45485611886,18858291.266666673,249270.17512129294,19292637.254901953,289195.30386832845
61,GNQ,10370302.341176473,31831.750156837617,13432070.917647053,43881.77190909956,18517506.20784313,50044.425746589266,24368910.188235283,35171.50773338465,25826990.686274506,52504.25582689747
62,GRC,200218499.45490193,3936691.2495393595,206164396.33333325,3908112.1929674153,212347855.05490184,3916255.2612844533,217719127.39607823,3969500.0681298855,219348791.51372495,3941582.3069034633
63,GTM,120070415.54901971,1491257.0986667562,122590235.03529462,1568584.6360348777,125419140.37647063,1665204.9908261076,129049480.7490197,1836359.1126317522,135287124.35294163,1970358.141102731
64,GUF,5828022.823529419,31192.947619629875,6335843.129411756,34197.94945151295,6869906.368627457,35592.434661346335,7349406.400000001,39537.62363387644,7565627.929411768,42569.1231306357
65,GUM,1618066.6235294105,12050.411191268822,1633474.9411764692,12911.3898746642,1648915.1294117626,13564.885353877671,1661589.7882352925,14358.665197041908,1663270.6274509784,14707.14272634235
66,GUY,12662765.803921565,117249.13984909016,13279588.152941195,120909.34328754817,13911242.913725493,118446.17473918313,14553893.768627439,124030.36396997604,15203344.337254876,127042.74056212298
67,HKG,1125931256.4352834,3350313.0180180334,1266891413.3137124,3448511.389791667,1439949435.4941163,3560149.8476138003,1609101300.709806,3675619.6290062275,1664958881.4156935,3810318.2269596364
68,HND,70521063.9215686,548501.4124776347,73583065.92549014,632157.835000184,77444331.79607843,719888.028945121,81925618.93725479,914312.4750700298,87449090.42352936,959534.4269882848
69,HRV,50434319.94117641,481081.10300920415,52555989.819607794,488989.73914425744,54751722.945097946,490032.3828148163,56803721.00392163,548950.9589278803,58115880.04313725,540222.7720212466
70,HTI,64124458.486274526,1566851.7184155583,69097307.36078422,1881037.4433262162,75425994.02352919,2167137.719917457,83226948.1294115,2734333.802559184,92983779.32549042,3261694.1512944475
71,HUN,198340195.95686218,2128649.8891520794,205570250.69019684,2199957.902590292,213170868.52549046,2233881.239308524,220446279.7725497,2321006.6101338933,225424690.74117678,2362553.3977347426
72,IDN,2601636675.937253,40989343.59628258,2699898801.517649,44879055.75401537,2814576657.8549027,48910765.607476346,2921122899.705878,56556881.07164282,2946098886.364703,63347965.63151643
73,IND,4855746289.027449,129869159.59346445,5334925737.952935,141863109.20056298,5902147831.823529,153443894.50693896,6442024420.22745,167712920.09537432,6652524733.878429,180233682.08637103
74,IRL,72636217.7176469,971195.904543487,75813157.24313739,1007372.593833704,79228224.19215688,1056525.5657084773,82503404.99215692,1128689.9650105145,84804705.1372549,1235482.8331858653
75,IRN,1024619069.470588,8809798.82139391,1112615946.9137247,8603487.210387679,1205288139.2784312,10007493.796016,1291827237.1882346,12997856.99590479,1345057354.219607,13862985.085028201
76,IRQ,397930437.741176,3036507.7915981477,442364986.1725492,3554518.1983195622,490605142.3137257,4152238.9392180373,538530248.235294,4604459.183373949,578006809.6745106,5348368.245385028
77,ISL,10126228.082352936,43045.347949731695,10693529.031372571,45997.1537888547,11293307.670588238,47552.21174691617,11785188.137254903,66373.2263740007,11809345.078431387,77012.51867964983
78,ISR,152213842.39215678,1765071.8324472853,160302373.39607814,1914616.339780659,168749342.20392135,2058161.4840230884,176831025.85098055,2296332.390408815,182703835.65098053,2531085.585823724
79,ITA,1310515715.6156888,18288301.50708267,1356124194.5529408,18558523.828097533,1403528241.7647111,18864075.717932567,1447247934.1372547,19178734.179794118,1472835732.3176482,19512150.68441623
80,JAM,42722848.38823527,417933.45996373997,43579429.97647054,431797.7556926799,44551480.05882351,454355.43863799854,45656758.58431372,476679.95126392646,46981997.27058824,478408.2263420484
81,JOR,105072083.60000032,1655995.4743093373,115926139.89019586,1811970.1498356229,127290334.98823535,1976137.4356387714,138526622.4078435,2326735.0793518913,147999269.73725513,2541565.7899499233
82,JPN,6182281057.862735,66748297.00451201,6459107497.035272,68182273.11272101,6741180643.866659,69951984.2406094,7004668245.54507,72690883.24197151,7181856604.729391,73854746.28419718
83,KAZ,722747084.2862747,1923008.6020495973,791488753.2039226,2010940.115252642,870406640.4862745,2184299.8376871957,948863688.5843154,2570139.2244640985,993723475.6235315,3001450.1189847044
84,KEN,203015560.1490196,3275030.4276329735,218022307.88235265,3975881.9195891945,237944059.95686314,4765937.605610258,260341236.33725408,5686769.681511378,276835430.0352933,6681204.770315382
85,KGZ,91832754.8352941,985976.5009381182,100438952.65490171,1030663.7944076904,110926416.95686272,1080437.9902316607,121160357.6196079,1103793.7581668163,124796872.74509805,1150252.2237683553
86,KHM,46972184.12156858,1083846.563660579,62120955.85882329,1260079.5841577908,80340978.254902,1505496.9391607784,97629517.54901944,1858468.700043365,102837352.75686221,2357942.649137911
87,KOR,932893061.5254898,22363128.526173163,1009085242.7882315,22785710.959411204,1096267456.992152,23377544.739503525,1179907550.2901862,26288947.993589524,1222969109.490193,26881544.45469438
88,KWT,129780413.41960768,820896.8912295596,130805406.1333332,967877.1904471143,131936036.17647044,1153508.6705696047,134042482.63529345,1400216.8693257675,139901297.39999995,1657108.149268347
89,LAO,27169476.972548973,271898.881001386,30765525.901960813,299740.57564848155,34789711.89019608,334727.03784084506,38530568.03137259,373447.7924763938,40007095.20000004,414894.7381505138
90,LBN,56436509.55294136,1489886.7670692287,59470676.337254755,1952044.785956885,62578725.517646745,2578141.1068292703,65687704.070588,3434920.4553934652,68592188.93333304,4590749.362919991
91,LBR,52001231.86274507,515481.3818240007,55457619.99607841,606877.0694009247,59817813.29019602,721521.6223595628,64531227.52549022,874752.0042258828,66683595.99215679,1018453.7633562669
92,LBY,264230375.45882308,1412929.6065516686,285755114.9137265,1535080.4705985424,308717921.73725647,1634014.136455563,336645598.59608126,1740156.8382542236,380887600.929415,1926117.8420806178
93,LKA,158897267.49019623,2861652.7177217267,168100535.32941186,2921778.0463166875,177807676.46666756,2985113.37103699,187964913.79999956,3068581.484447709,198657589.58823416,3145988.949701529
94,LSO,24935873.200000003,155718.27338642214,27386355.24313727,160964.94176008765,29973124.203921597,166267.63231852243,32330309.556862723,178245.07139089415,33341162.764705848,183050.7547911372
95,LTU,65700718.709803835,476459.5994629682,69032382.84705885,427195.89052941906,72509393.87843136,395240.7620126583,75939626.75294113,391205.8620964851,79022854.94901964,368757.39369345055
96,LVA,27423848.58039212,243100.21802079407,28298755.325490247,282337.5101506879,29215377.317647032,301712.6164063163,30088466.06666664,347557.0783566556,30775434.650980428,374853.3836075627
97,MAC,31758722.207843177,306391.00281366834,35483111.12941169,328464.06483238813,40019827.231372476,351748.3467760422,44443538.835294284,379770.853537915,46073919.05882358,414895.79625734803
98,MAR,199977616.3647058,5550770.406631121,214757794.7725489,5997125.129741667,231572289.64705878,6584202.456909631,248645275.6705884,7443279.069983069,262243491.4745102,8107640.545303803
99,MDA,40680528.643137306,308689.3255344291,42192686.35294111,304207.0924383083,43779348.972548984,294657.188085627,45224081.68627454,284531.1056980961,45994188.956862785,273998.6657920104
100,MDG,77469751.33725475,554294.8116629113,81267255.98039192,681080.5303568863,85331304.76078418,831898.1276889683,88858688.66274476,1060961.326683532,89366459.44313692,1321337.3003745612
101,MEX,3080422362.0745068,45402383.75309094,3306565599.831368,48783164.94403709,3581134397.639224,52740180.342646554,3859976877.494115,57792135.78788022,4029128538.6666627,63910627.44140785
102,MKD,23069694.54901958,138234.10825644372,24083641.870588254,134983.82440129077,25123715.411764756,132105.6854974331,26211826.439215694,156528.39315961878,27412841.48235301,152258.6017363422
103,MLI,136717869.94117635,1331822.4826058154,148213057.19607866,1774654.7077224175,162721682.61176485,2374256.079827866,178084071.12941217,3329679.3849220485,187200940.81176487,4704950.101455961
104,MLT,17884936.81568627,201052.94058048082,18109081.764705833,203361.3406903674,18336106.01568627,207241.28154279993,18638568.454901982,208973.74754346188,19240667.98823532,211830.16207062535
105,MMR,159846578.59215686,4374729.043535179,169744382.53725502,4688544.915303637,180805288.0156862,4897111.313648446,190948053.31372547,5300037.487401229,195114581.0980393,5596362.550392286
106,MNE,5770526.68235294,27668.784568598672,6178771.4941176465,28119.59716561169,6597727.2352941185,28470.12412415957,7025378.352941183,31082.25887762238,7444716.949019601,33175.342553901595
107,MNG,44242604.94117626,296820.4572874888,49893282.556862645,359006.0866042056,55754749.78431361,419779.3113343509,60728301.96470583,585558.48152216,61643994.01176481,732657.95617364
108,MOZ,210868385.39607885,1908287.337067901,238190404.89019597,2326018.3600344053,272218214.5882352,2653617.9901096397,306804029.68627363,3138698.064766255,319400424.5254898,3637422.383540482
109,MRT,28413339.866666686,400733.0054625867,33309563.74117649,502022.3683854798,40491510.40000001,626215.8059089214,48828700.8784314,813445.3171282833,53175135.57254903,1042131.8645120907
110,MUS,25217536.603921592,362589.5172384666,26911438.43529414,364585.7557399377,28775789.188235305,365487.8029778894,30510751.321568668,370976.4575247629,30896243.780392203,372017.6672498484
111,MWI,76301293.7254902,831750.9151742959,80438420.96470584,982818.5588169417,85304777.69019614,1177601.970064823,90299631.50196081,1430803.7245636652,93033341.50196084,1793461.3878835926
112,MYS,669887910.8431383,6499473.594115067,707440992.3411767,7445192.724955622,754363267.8588219,8736391.122308081,803394103.1960769,10298324.098422553,833255763.7411759,11880750.538766898
113,NAM,22516599.78039216,191405.08598016517,23874379.40784314,220245.32707578084,25385466.447058864,255292.68016268522,26882295.364705894,297811.7324573205,27977533.098039247,350551.76097878546
114,NCL,7269158.34117648,33018.390092759015,8307582.341176476,40887.879983901024,9399285.290196072,43141.00087243739,10309813.062745098,44685.77315147439,10366918.105882354,49640.012669513744
115,NER,55677256.71764708,414067.94892086,62103162.26274516,533017.612504459,70309343.09019592,617342.3964912605,79536547.17254898,794921.7905360103,89596797.72156844,963982.3780151185
116,NGA,1796178515.0039268,20154966.807277255,2048215894.121571,24053006.69137551,2404280825.952935,28544958.68245801,2780813139.8862705,33002028.3367462,2894223280.8235245,38559877.817917585
117,NIC,57898372.12549011,564681.8040630909,61146045.1176471,596857.543526973,65220326.46666652,625969.7797464601,69322628.05098012,727066.7818937263,71652185.01960762,738819.7036237804
118,NLD,581233987.5450972,4456457.771287067,607792192.0313722,4770933.596881298,635762251.9764723,4923637.664335106,661933783.1176448,5254626.826992789,677471466.3568611,5389908.442871397
119,NOR,55949656.062745005,401804.9805860478,59175205.388235345,452074.75280969916,62492270.38431367,498390.1874886669,65846233.207843274,623985.5283843076,69119488.24705887,676270.8559023723
120,NPL,77636600.56862743,934934.0362106761,87490718.13333343,1322270.5865464238,99076450.89019611,2046107.7485974785,110082156.57647073,3553058.3412198457,113100086.92941183,6631707.736926091
121,NZL,295086974.16470575,1536474.55889104,303245199.8039212,1605398.2811416872,311602517.4274506,1677972.4467157023,320647766.0274503,1754101.0538034458,347976578.18431383,1833223.2670674892
122,OMN,51038683.521568656,35924.52208708431,52592056.964706026,34510.40028639677,54517490.65098044,34131.97498820268,57119099.3215686,35715.83872981063,60937587.87058824,35913.165288786586
123,PAK,909076575.1019601,22627119.834513422,984625558.0823529,25564762.898245502,1069307402.9215679,29277687.620729405,1153354523.8,31613067.97945761,1210262504.6431365,37606712.335354045
124,PAN,79389775.79607855,775503.0922520349,82840808.21960793,868781.4706604772,87258362.1725491,981068.5071637796,92606798.87058833,1132570.6553480092,99016767.53725493,1247884.7161906608
125,PER,433106863.5215675,7804325.010566624,454410974.9803917,8615506.01890653,476708053.0784299,9692496.933025442,498505825.57647175,11375239.922768107,517684769.21176445,13017714.642079469
126,PHL,595096455.1999989,17637096.71741282,617155693.9960752,18889657.276175734,641849751.3647043,20458247.650130708,664469464.239211,22239217.080674436,672105674.325486,24314513.951123655
127,PNG,12273704.898039218,55321.96185314467,12515391.243137255,58078.22511025737,12777795.827450983,62383.69059856073,12995774.443137262,68338.95596119469,13009200.866666678,71813.43234714153
128,POL,548734826.8980383,7170286.066565852,580570017.2392154,7280034.32641889,613839073.8823528,7273607.222027288,647727419.5137256,7476346.572722352,680628934.1176468,7382230.269079656
129,PRI,133519526.28627482,1255497.2563499203,136253103.74117616,1225206.6938837685,139434947.36078438,1196366.5169400796,142921641.69803908,1168195.1635775426,146605203.27843097,1140765.5573371125
130,PRK,115796845.33725485,1312614.9991988693,121247492.67450981,1291630.793674704,127576384.66666673,1271986.7866927723,135125201.5686275,1219461.296825751,145447690.12941167,1195568.4233241384
131,PRT,171593959.5843139,2803453.882344682,180788697.2392159,2814160.604675312,190268663.37647086,2829339.027004655,198687287.0196078,2845931.55022901,202358469.06274438,2865940.9094066434
132,PRY,151848121.56078443,1415210.7526389572,160414372.39607912,1548435.6720885846,169349839.81176513,1708499.8113419604,177916288.49803954,1924770.4874839296,184737199.54509813,2122212.2501250496
133,PSE,94053803.41568619,1631562.6910975145,101225275.10980386,1851287.1572030582,108535204.30588241,2174778.155858971,115331300.97647052,2477109.658398129,119788250.61568618,2883084.749282696
134,QAT,82671078.25098015,237091.7677170435,88280713.36862724,476555.91760606796,95949338.11372559,957673.7518112065,105777695.95686299,1925070.4723103535,118934747.8156865,3844046.279213494
135,REU,8458685.498039214,44989.69608669941,10465196.6,52918.56609622263,12773987.337254912,53269.0738338556,14884574.835294101,60665.30230939899,15234890.184313724,63148.50782904432
136,ROU,244549702.34901977,4426188.647317928,261645197.3803924,4357431.000956953,280124492.82745135,4348448.445298498,298459529.8156855,4298812.141307267,312445693.9098041,4178377.0790020246
137,RUS,2512207233.9647036,39646885.617631294,2652250730.3019605,40795728.6171492,2800682459.6078405,40935645.55886207,2950565891.098037,42024638.148246564,3081856325.2392154,42266695.451324284
138,RWA,66226304.4745098,478998.59928706824,72806377.63137242,565599.0317897336,80614755.18039218,670371.5666427339,88546722.27058834,825267.7557642038,93343032.03921553,1049697.898234345
139,SAU,842526707.4000006,1985553.4286311101,881848275.1490191,2280181.2146723117,926269466.3450979,2786665.163330734,991946436.7843133,4037051.3232327355,1130787488.5960767,4749891.922243734
140,SDN,348524508.42353,1835795.1670334104,360743541.7725497,2146907.4624650613,376934218.4588246,2422358.17240207,399911697.1137267,2625569.521677306,436827702.4235307,3031093.885160139
141,SEN,129041538.50196071,1701585.043376081,138629007.92941174,2051550.475493609,151483107.13333338,2349307.700245364,166532963.2431372,2743948.7158788648,179310728.05882338,3110170.899919745
142,SGP,152222205.3411762,2348678.4489529384,155702601.54117644,2556936.2006739015,160386630.2549017,2747571.8687673244,166013395.0784313,2977201.397291934,171347727.76862764,3294825.436445016
143,SLE,36783641.890196,777400.8035862776,42648235.49803919,889760.7353488242,51353480.18823526,1019620.902915245,60896487.94117642,1185107.1627479398,62848994.28235289,1362096.475469473
144,SLV,65356564.254902,952692.7075084809,67211520.10980397,932587.3906370731,69380279.29019625,912575.7999406514,71619002.63529399,973583.3058195232,73638977.49411748,957445.5670285359
145,SOM,52172723.9019608,406927.9669238657,58779102.94117649,437446.3124589337,67041482.392156854,516338.02659969474,75548857.49411766,508093.07756986754,80258341.53725499,561821.2454733829
146,SRB,65852445.78039211,1199220.010863637,70833389.98039216,1251003.1501900756,76034401.2509804,1304445.8694978398,80852111.22352938,1354889.2100272374,83517351.93333337,1367458.5496434812
147,SSD,19636074.639215678,6819.699958355585,24215314.705882385,8398.816824323756,30203006.823529407,10037.798703718781,36921407.11372553,10415.061513150209,41526670.439215705,11932.18136283078
148,SUR,25249472.20784308,155953.96207032574,27178563.694117546,155346.7803061332,29210103.619607795,158239.71406831217,31014091.48627452,163696.77634558533,31666982.81568622,173250.51980703705
149,SVK,31671385.878431372,391382.75889943313,32412106.870588236,391275.2136145546,33196539.682352956,383381.859774918,33988107.46274515,383354.38810730324,34769002.1843137,375970.01682440506
150,SVN,29742768.192156866,180211.2917773693,30307670.92549018,201752.4279056574,30881266.83137255,209384.4258583442,31437685.494117588,217452.53904889608,31903906.858823508,227085.72389260778
151,SWE,137199008.0039217,1522878.9791003887,142223301.53333348,1663601.4731759552,147444514.06666678,1791837.3970960672,152727957.34117654,2001912.631311055,157790107.6980391,2186205.113180636
152,SYR,159127383.92549014,3052979.580275765,169256175.78039223,3797023.699512469,179779305.29411754,4303865.265175766,189331011.14901927,4883815.599512974,194186110.82352936,5473805.627952864
153,TCD,61336570.36470589,339519.8909812643,65155498.82745113,393076.141022521,69733202.24313736,480474.2261739415,74469119.3647058,559853.6214439059,77762648.34117638,672088.40694985
154,TGO,84893662.43921556,770376.9801982231,93369049.55294082,932365.1395681693,103257279.86666629,1171669.4888143507,112754180.61960767,1512259.671432535,117204060.98039196,2062064.23887137
155,THA,791856811.1490152,8924902.107054282,893975015.5098034,10621029.885714166,1012615465.6588218,12553689.249878014,1122392081.9803977,15136715.012436446,1147778582.627453,17919799.652486376
156,TJK,82793814.76078428,759367.2603252953,90155822.89411744,897828.0252220503,98489751.56862754,1012633.7523998998,106063840.54509799,1145590.719437919,107658738.58823532,1283134.1028322037
157,TKM,85572716.16470583,524323.795125031,91835960.35686277,602365.2184434357,98436817.92156866,693429.992206943,104790697.19607839,835971.9508036975,109362967.94509801,1044095.458709178
