,CO2e_tonnes_urbanonly,population_urbanonly,CO2e_tonnes_percapita_urbanonly
Australia,80354671.28743464,11003768.399275573,7.302468424610312
Iraq,36087405.81995019,5425937.924703932,6.650906501463396
Syria,4695060.623414362,5481783.803304909,0.8564840920183244
Libya,14052225.799750881,1932344.0533441938,7.27211377054284
Sudan,8441482.546180144,3031620.7503452296,2.784478416444029
Myanmar,7265056.807636549,5579867.111157263,1.3020125144395738
Thailand,188340456.6490806,30322193.55272169,6.2113071180556245
C�te d'Ivoire,7895431.186972789,8259135.78131676,0.95596335936664
Cameroon,4992361.910367467,5458765.524723161,0.9145587748286098
Ethiopia,3598728.0947394944,4723224.061002399,0.7619219516712372
Ghana,14121573.597686222,11172461.641988354,1.2639625939385206
Mozambique,3377781.0994572295,3639410.310254522,0.9281121971710313
Tanzania,9206592.577003136,9456183.383775912,0.9736055450023313
Zambia,4139832.2675938373,3107270.243678556,1.3323051884579173
Bangladesh,46593113.64511105,47928392.13513127,0.9721401359291277
India,341135408.9593621,182906226.2143251,1.8650836334003624
Spain,27523132.58429761,17028277.99573804,1.6163191951168694
France,68766009.75433071,21619850.776728608,3.180688454535947
Italy,82552346.03358671,37720444.65777226,2.1885305643282464
"Korea, Dem. Rep.",10284864.430461284,1201135.9468245136,8.562614796145057
"Korea, Rep.",168767247.89038965,34540590.66036678,4.886055642471678
China,6975675590.210446,754690385.0943607,9.24309588141667
Japan,519266026.4201401,93585050.64216058,5.5486001541597485
Saudi Arabia,181364833.7840226,4753150.762075294,38.1567601918093
Turkey,105497364.57703085,31559809.703620333,3.342775687425292
Algeria,17263524.091090456,8960091.171477487,1.9267129943995605
Egypt,84147174.45397209,34174739.042574495,2.462262384773224
Morocco,11746850.006515382,8112718.448594627,1.4479548478044741
Indonesia,280914753.80538154,90968317.22921525,3.0880504593434797
Malaysia,52863721.975717425,12662870.35186888,4.174702931228811
Philippines,29101133.28669152,28049245.892724663,1.0375014500564415
Vietnam,81038331.60603647,33348808.244513903,2.4300218170275336
"Congo, Dem. Rep.",10242459.17059988,14270786.714571474,0.7177221112933887
Nigeria,78100481.87866856,52463304.899673924,1.4886687376637986
South Africa,100470370.07648942,28390479.214280747,3.538875456034981
Brazil,299270030.2775,89695390.83341515,3.3365151486246694
Albania,606830.1806936185,744875.8238204211,0.8146729445201011
Bulgaria,3428854.1515147155,831077.466066951,4.125793673292171
Greece,10272612.939450968,3959179.016758816,2.59463209316073
Croatia,1889821.9458330818,544571.9368464543,3.4702888965905894
Macedonia,530189.8254730648,152258.6017363422,3.4821666521748647
Malta,440308.1834156453,216037.120531446,2.038113553506444
Montenegro,131761.07001732336,33175.342553901595,3.971656654433778
Portugal,5659028.290789565,2999773.914095056,1.8864849328142548
Serbia,2486494.993335659,1367458.5496434812,1.818332990044875
Cyprus,890115.561308441,396445.3006168475,2.2452418023961167
Israel,13475318.545115704,3012279.19670242,4.473462672340368
Jordan,9284849.682745773,2541565.7899499233,3.653200605493165
Lebanon,5754768.418745869,4602214.182305337,1.2504347235450035
Palestine,12850759.002571708,3508743.8698635623,3.66249560503583
Yemen,1068453.0063242333,2661211.1169862915,0.40149126069118896
Western Sahara,5463.22548280264,181.41067750684763,30.11523664364476
Tunisia,7349668.6709946785,2858246.091341125,2.571391138523738
East Timor,40296.30689091402,234272.91760339175,0.17200582680723236
Cambodia,3560635.2025507777,2357942.649137911,1.5100601381685785
Laos,688133.5208082781,414894.7381505138,1.6585737478276716
Singapore,30817611.16244545,2862182.9943905883,10.76717010157734
"Congo, Rep.",5976638.338865148,776519.1421590288,7.6967044524462604
Angola,9701289.025865726,11844114.92635221,0.8190809601383665
Burundi,286938.3375273958,718840.2833239576,0.3991684163839246
Benin,2821172.686098314,3437286.1375041334,0.8207558443612177
Burkina Faso,2828275.3567949133,2748388.0564146396,1.0290669653413096
