,country,urban_area_atomistic_subdivision,urban_area_informal_subdivision,urban_area_total
0,AFG,199436.06737898284,326716161.65168494,526799061.2384386
1,AGO,290573192.7135877,601658092.8859112,1721850639.0344272
2,ALB,378807.9109528186,18642984.376679316,135382545.19423842
3,ARE,296003.85320925247,15188598.524823837,1017184289.5078387
4,ARG,1031109.5063782935,1084292516.662759,4407820865.877913
5,ARM,40821.415674785545,40698501.65223852,252829800.45681834
6,AUS,2553416.4043524056,16302450.230807671,6348082141.123058
7,AUT,3383061.494372319,375061.7127948836,579427487.1276461
8,AZE,1000740.6605698529,246878412.46772438,667160271.1863931
9,Akrotiri,8202.333984375,1201444.1969592525,58106007.28157945
10,BDI,492088.09860983456,34779701.64651884,95044920.81339246
11,BEL,187182427.99794352,753872.2008769915,2441601917.074868
12,BEN,60304268.42336859,157370351.35014552,549582969.0220176
13,BFA,9666614.61608073,248636956.79749167,536116656.53961086
14,BGD,249945429.5214806,48220920.88019301,1231870893.7669432
15,BGR,1118084.1440123315,9335558.191433057,344072233.2498217
16,BHR,8935.7705078125,3528979.586109834,225649691.57102382
17,BHS,0.0,9020.83203125,78688509.99297252
18,BIH,1016308.9105909162,7688945.614696311,115533195.2129809
19,BLR,8254902.979063266,24121328.516909845,858366901.9016931
20,BOL,64292.05822610294,291269195.52178675,923288020.3107575
21,BRA,50719208.93154105,933151780.5266585,13926836608.603489
22,BWA,0.0,41523465.16280251,144437227.69664127
23,CAF,6436831.174460018,50152661.73538983,120300404.62442537
24,CAN,3119037.6390069695,83716553.7202072,9055831215.896456
25,CHE,24220621.501277197,1154460.354474954,2161283182.285241
26,CHL,461198.0129997702,26304007.84646333,1350032499.4502947
27,CHN,1239244175.5406125,7317099207.056403,85305847542.40788
28,CIV,83020336.40906097,206121286.41129375,714373174.794055
29,CMR,89190051.18328732,314623001.2117108,1150240302.70272
30,COD,191893977.0118988,727485116.7944667,1898343677.5449433
31,COG,166903012.11494336,324141696.58488846,779505636.3970644
32,COL,14514347.600137863,257939028.90080807,1586359851.7715309
33,CPV,82840.44948299632,4222307.773801318,15665868.900088066
34,CRI,118800.67773820467,766933.3778760722,336950917.93740696
35,CUB,131066.54940257352,109576875.86806832,381893555.60857755
36,CUW,56664.272790287985,4013187.743776808,88516092.37681507
37,CYP,8202.333984375,10026865.930237055,165840833.32278848
38,CZE,1479691.178375843,1255918.484859451,492430045.7705485
39,DEU,115808685.27594018,4041437.4728764547,7790614846.272565
40,DJI,309124.32458256744,7685877.603090535,33823922.919764854
41,DNK,1523555.2230277266,131390.3100413603,501880753.46352506
42,DOM,676529.763304228,126435886.80754064,610679160.769859
43,DZA,5815761.697903264,357131583.6691079,1426432959.1843126
44,ECU,83216470.2487477,94118114.61704965,1018392672.5322696
45,EGY,81252102.0676509,619482067.7944006,2591246242.514778
46,ERI,0.0,19257758.237538293,39660036.44366957
47,ESH,50954.92814031863,3239795.8690831806,19358022.93493412
48,ESP,5176614.540096508,61742787.46889937,2493930513.960606
49,EST,224908.7552255668,225037.58465647977,85979414.75069876
50,ETH,208435.66024816176,226835758.38888633,740354366.1821445
51,FIN,194137.48520029106,160720.41198299633,356326274.1371661
