,country,pop-averaged_exceedance_days_2020
0,global,267.1323471670633
1,AFG,312.6506980083216
2,AGO,337.77522835463344
3,ALB,157.8864427334312
4,ARE,365.91172718385354
5,ARG,136.63854579260507
6,ARM,247.06282633643633
7,AUS,53.45579610203137
8,AUT,135.02308529373295
9,AZE,160.08747792528283
10,BDI,358.2023741044587
11,BEL,92.20861066644383
12,BEN,336.28448139649515
13,BFA,312.6309392522366
14,BGD,358.1033290491571
15,BGR,119.31183485077247
16,BHR,366.0
17,BHS,93.0
18,BIH,96.97755453051049
19,BLR,45.16824941361005
20,BOL,62.35623560055934
21,BRA,160.52325778910742
22,BWA,87.69365671669328
23,CAF,302.71316684080836
24,CAN,95.59161421889851
25,CHE,99.92945251201544
26,CHL,292.8766134212857
27,CHN,361.34198525655836
28,CIV,340.18013157680144
29,CMR,293.2233084394988
30,COD,331.1614776339823
31,COG,326.73615952949405
32,COL,297.723145893722
33,CPV,255.0
34,CRI,137.0
35,CUB,126.27613790839939
36,CUW,166.0
37,CYP,221.0961192428358
38,CZE,172.4523211308876
39,DEU,80.05117876024718
40,DJI,239.309018167775
41,DNK,11.234191242595843
42,DOM,230.8841868814237
43,DZA,317.99241415554303
44,ECU,225.61697933530374
45,EGY,355.98155170325583
46,ERI,268.97400462721026
47,ESH,77.0
48,ESP,107.65071561569862
49,EST,38.0
50,ETH,346.61673915534817
51,FIN,59.682181734827765
52,FJI,0.0
53,FRA,100.2583358992006
54,GAB,351.73093061445456
55,GBR,72.12922886056921
56,GEO,90.91851920074511
57,GHA,322.95894816922737
58,GIN,323.40005180774614
59,GLP,116.0
60,GMB,336.0
61,GNB,296.0
62,GNQ,188.0941890607489
63,GRC,106.9601694953409
64,GTM,333.6970468211429
65,GUF,135.84015626561265
66,GUM,5.0
67,GUY,157.27386389780037
68,HKG,365.98163346560824
69,HND,171.79880051012756
70,HRV,170.80687602075565
71,HTI,305.2252344477961
72,HUN,117.98057359329434
73,IDN,325.8788579167344
74,IND,363.7290986286817
75,IRL,26.3612120354157
76,IRN,352.45077634268443
77,IRQ,365.7205039375742
78,ISL,29.417680579300523
79,ISR,348.8764920490138
80,ITA,220.3429298112303
81,JAM,150.85514972682722
82,JOR,365.92852257181727
83,JPN,174.02696553423107
84,KAZ,211.2339712743796
85,KEN,336.27088703490006
86,KGZ,193.3534394685248
87,KHM,312.9986206666545
88,KOR,361.1140034748565
89,KWT,366.0
90,LAO,335.2943014799595
91,LBN,330.407868376409
92,LBR,222.04013775786873
93,LBY,310.5530272271397
94,LKA,347.29669206471596
95,LSO,165.0
96,LTU,58.835712645092386
97,LVA,69.0
98,MAC,366.0
99,MAR,265.2314771784897
100,MDA,44.37208161146982
101,MDG,89.34668916601835
102,MEX,234.00074564405202
103,MKD,145.98582293788715
104,MLI,316.0100626121316
105,MLT,195.99999999999997
106,MMR,282.6874793628819
107,MNE,118.0
108,MNG,103.25733699525156
109,MOZ,143.40509921149993
110,MRT,365.0
111,MUS,6.0
112,MWI,271.4220365337401
113,MYS,316.51909552935194
114,NAM,249.0
115,NCL,15.0
116,NER,347.69776003990114
117,NGA,364.890366029527
118,NIC,144.37135176840974
119,NLD,56.3065502616039
120,NOR,44.79521443520036
121,NPL,362.9128924562095
122,NZL,6.96628832924431
123,OMN,335.9266672086433
124,PAK,363.799695041707
125,PAN,195.79681357844314
126,PER,234.1615477714436
127,PHL,266.73875697451314
128,PNG,32.947675940828944
129,POL,102.2508699902761
130,PRI,102.12400241630962
131,PRK,350.38911851400854
132,PRT,69.10480240111319
133,PRY,171.3427004213497
134,PSE,363.6737373297206
135,QAT,366.0
136,REU,10.0
137,ROU,111.23793913409553
138,RUS,154.39891286918697
139,RWA,365.99999999999994
140,SAU,362.0003149722849
141,SDN,321.1414761111767
142,SEN,353.3383439927559
143,SGP,298.1731704329452
144,SLE,264.857214754504
145,SLV,314.5205533699564
146,SOM,56.46036841912962
147,SRB,113.96977095668475
148,SSD,200.07900952029544
149,SUR,150.53592527917655
150,SVK,121.18373029111436
151,SVN,198.31426504485944
152,SWE,12.33991430301034
153,SYR,360.04105672612695
154,TCD,335.8092769629796
155,TGO,296.5557620813438
156,THA,357.1712051468108
157,TJK,303.5438325993031
158,TKM,288.9949769251792
159,TLS,19.0
160,TUN,318.8216770096332
161,TUR,165.0301049506566
162,TWN,342.75291919016536
163,TZA,197.8528081998887
164,UGA,354.5037757665822
165,UKR,72.339476317603
166,URY,37.886423162178446
167,USA,108.63837308696615
168,UZB,349.3789961517105
169,VAT,236.81900891471503
170,VEN,238.62925098160352
171,VNM,349.484322075987
172,YEM,348.2574102312871
173,ZAF,321.0819852577292
174,ZMB,193.23799999027773
175,ZWE,189.6595921374664
