,vegetated_area_squaremeters,total_area_squaremeters,vegetated_portion_squaremeters
Singapore,70142059.36491396,301046820.9397861,0.23299385506197864
"Congo, Rep.",257644230.31187993,779950684.0888708,0.33033400132581064
Angola,253345896.48903888,1075106298.7721243,0.2356472999724627
Burundi,33381862.65440533,95002781.32185994,0.35137774062962335
Benin,268506410.83768415,883992585.6842616,0.30374283131554164
Burkina Faso,75703034.35163674,536187519.25172156,0.1411876099937656
Botswana,43902508.30114837,144432300.46969232,0.3039659976222623
Central African Republic,67018230.287300274,227348381.2230425,0.2947820869749292
Cabo Verde,346837.1518668683,16205758.038377566,0.02140209369074301
Djibouti,957008.8776210101,34079730.5205932,0.028081468456527925
Eritrea,9195185.752658729,39654364.56442665,0.23188332113402704
Gabon,72740712.87266897,210022173.5648741,0.346347776703682
Guinea,113537321.81472406,387029519.9626746,0.29335571567169777
Gambia,324409.0565658566,2472548.4475314314,0.13120432761984643
Guinea-Bissau,12954626.55175611,54535598.23785057,0.23754441081320932
Equatorial Guinea,34722859.38254129,91022097.72286828,0.38147724839588665
Kenya,730436186.2349652,1492252048.5422623,0.4894857989630553
Liberia,99917718.49027209,221789631.80972368,0.4505067151921369
Lesotho,55779860.37897372,107606752.06841613,0.5183676610135859
Madagascar,130096119.32685807,302870632.09857595,0.42954352630833953
Mali,119300173.54130402,572662386.7823826,0.2083254921134523
Mauritania,1350718.0653527058,162792638.5001269,0.008297169195102472
Mauritius,44422880.19442073,96787711.05701794,0.4589723189987526
Malawi,131492767.63172092,333321696.5018695,0.3944920748085278
Namibia,17140957.19737373,86384016.20091465,0.19842741691364238
Niger,34513211.194930464,270508816.5318357,0.12758627107766993
Reunion,20372003.01432852,43662397.17461839,0.4665800398648536
Rwanda,110756288.60820416,276277725.6372364,0.40088750677509033
Senegal,139174638.5663094,694785314.1851153,0.2003131553371152
Sierra Leone,64649360.82471929,206096097.54539865,0.3136855165851861
Somalia,30093496.39543265,234261468.2676085,0.12846114479678475
South Sudan,69372479.52095178,154962911.4406603,0.44767150330365646
Chad,62700689.287036546,231591909.5724855,0.27073782241694405
Togo,69179618.87525974,327011108.0111017,0.21155128122715378
Uganda,481485465.38432723,995950906.6497679,0.48344297110384027
Zimbabwe,495140452.5894123,1203673197.143128,0.41135787833824755
Ireland,161201151.63191515,316968572.07439137,0.5085714037102764
Slovakia,49860331.3657262,126458137.6881305,0.39428329625327185
Slovenia,27243187.274939593,75614485.08617899,0.3602905877609312
Bosnia and Herzegovina,55279180.70205765,115538502.78290932,0.47844813088779836
Armenia,53355478.3289334,252855750.40354854,0.211011528287492
Qatar,9071654.849367632,362457857.64736515,0.025028164400269216
Oman,4886547.39530429,53100072.00349897,0.09202524989009989
Tajikistan,65827739.46731586,349448479.3711456,0.18837609362552385
Kyrgyzstan,79869797.49432305,384483536.52824235,0.20773268529394154
Moldova,66496275.10344831,162442679.65390843,0.40935224194233727
Azerbaijan,113894777.7716487,973314335.0023649,0.11701746668651702
Denmark,263589796.78273848,508325730.18977696,0.5185450610267762
Georgia,68340375.41101375,223910650.15959436,0.30521270588202715
Austria,262632492.50384837,579354843.7625855,0.45331888622557687
Lithuania,142246630.67264184,294703475.75200516,0.48267713948627905
Turkmenistan,61036283.898872845,373795183.3608443,0.16328804279950093
United Arab Emirates,28529044.682882596,1029202746.4372847,0.027719557474598165
Sri Lanka,511998186.2990708,778256857.289498,0.6578781561684542
Norway,182106819.75406912,330547840.6777297,0.5509242455817935
Czech Republic,226571012.52640864,492526148.31956416,0.46001824126381874
Finland,172512837.41173023,363512817.9349012,0.47457153888483866
Afghanistan,49314794.185855865,526934958.0511922,0.09358801011844214
Hungary,371057958.22485465,822105942.0939969,0.4513505367443617
Nepal,220618618.97236308,608935403.4149754,0.3623021715195242
Switzerland,357598288.65728074,675889604.6392838,0.5290779532674241
Sweden,309219062.73783696,683774662.3084056,0.4522236341632218
Belgium,1778850554.8882792,3489105819.2922807,0.5098299240603416
Belarus,394436708.5260971,858445404.479879,0.45947791958311107
Uzbekistan,565089208.0296587,2916917852.7640343,0.1937281872693766
Romania,373527829.44933754,1100512285.9003992,0.3394126846514309
Kazakhstan,422867482.2074805,2058330608.427884,0.20544196373315318
Netherlands,1747422983.011847,4067363858.592424,0.429620521734333
Poland,1450431152.33664,2879795210.887078,0.5036577416523504
United Kingdom,5645442287.961628,11201997072.509338,0.5039674846743201
Germany,8950401382.083443,16894914961.69062,0.5297689513311291
Iran,382646479.5098787,5349401940.940135,0.0715307026345136
Iceland,16124117.943456884,50921174.191608846,0.31664858871447493
Latvia,62543361.04684656,122791840.61838245,0.5093446008454373
Estonia,44537930.337505795,86229646.35780525,0.5165036877537229
Kuwait,5299757.761578428,410761913.91564703,0.012902261826218805
Bahrain,4679212.48834569,227268036.8146615,0.02058895986399362
Pakistan,534678943.3831449,3674860682.0115585,0.14549638466579104
Russia,5314729752.450034,13299089888.30656,0.39963108732147873
United States,57555882187.050835,111436467625.64055,0.5164905476042543
Canada,3834285966.171401,8535292459.347083,0.44922725078651954
Ukraine,1607846532.7276971,3482149084.614651,0.46173971695575117
Cuba,110305320.91848014,382254519.2907996,0.288565119185852
Ecuador,205335414.42584857,1029233140.5705673,0.1995033062305189
Peru,101914509.38098115,1544107636.1188488,0.06600220541434902
Chile,172775514.28178862,1353692039.1251085,0.1276328066414969
Argentina,1221364301.98891,4423146800.301687,0.27613017544559115
Colombia,338476985.42116,1593213290.3051958,0.21244926054836094
Mexico,2249977622.845825,12438595522.071074,0.18088679054266693
Venezuela,528807482.8615043,2150228464.3867126,0.24593083554604073
Guam,4043365.525642883,8330541.497415182,0.48536647070271083
Mongolia,40649199.28788217,191742708.99031216,0.21199866999863853
New Caledonia,14722843.732988283,41152591.99879473,0.3577622457759036
Papua New Guinea,30575775.60451565,57640550.872387536,0.5304559922095201
Fiji,37452844.75545094,60067051.150992535,0.6235172867285342
New Zealand,420478842.2068804,877404923.6779704,0.47923009189905874
Jamaica,69795874.09931575,164590939.906718,0.4240565983697074
Guadeloupe,44070658.844341315,74946084.29354239,0.5880315063790277
French Guiana,11890997.673579562,29109398.8474508,0.4084934125879722
Haiti,97102724.30525936,325692805.7691624,0.298142060816909
Dominican Republic,253828899.99515462,809575187.4039606,0.31353344809034944
Panama,113834453.26422353,323656922.3610429,0.3517133279084942
Cura�ao,22398191.734209627,93743302.44497755,0.23893111454395585
Honduras,90361364.69003856,270714108.4113048,0.3337889008457202
Paraguay,321414616.58235955,629102006.3742201,0.5109101756562618
Suriname,60690772.918050244,127064075.84764999,0.47763911643144963
Guatemala,177198229.01793313,450968523.7863195,0.3929281527903136
Nicaragua,83481473.98346402,205606090.19633037,0.40602627044631184
Costa Rica,361145907.5681408,961466442.4348321,0.3756198777500434
El Salvador,143288620.11836547,384311887.0077828,0.37284462167953625
Puerto Rico,172894076.97029653,465109663.98915285,0.37172755235274735
Bahamas,38189245.79055029,81266902.18369271,0.4699237298873375
Uruguay,105813422.3103079,318534505.9741479,0.33218825692590953
Bolivia,145309444.8788938,923354940.0511371,0.15737116744168422
Guyana,22449110.447713874,56042126.23140243,0.4005756376019657
