,vegetated_area_squaremeters,total_area_squaremeters,vegetated_portion_squaremeters
Australia,2561696969.776625,6407733249.457,0.39978208674552845
Iraq,70687057.14527066,1839990919.1916394,0.03841706848005832
Syria,80873507.14935377,615007230.67282,0.13150009156945663
Libya,409675030.5725832,1465031638.6327107,0.27963561998901676
Sudan,125746545.180101,1331780054.5420306,0.0944199042110917
Myanmar,254131050.34402433,628381655.8366433,0.4044214976416964
Thailand,2154008490.913143,6076553238.650208,0.3544786668225778
C�te d'Ivoire,164385805.6344992,954588378.775918,0.17220595734183713
Cameroon,362955277.9389418,945613893.0848678,0.383830314458342
Ethiopia,189843266.19003415,740267766.800601,0.25645215785975245
Ghana,512780111.53447044,2846478314.6670265,0.1801454481111879
Mozambique,385563190.2800118,1059414173.7522638,0.36393999611541245
Tanzania,944756530.802761,1907015673.0503142,0.49541099433734687
Zambia,253321885.03116482,771000418.2908692,0.328562577946094
Bangladesh,764133050.2726264,1923208353.5481493,0.3973220316264062
India,6685157588.787844,22027012610.950138,0.30349815051472284
Spain,546494527.6941626,2620449220.013993,0.20854994003327582
France,3274637047.6870365,7184777457.584774,0.4557743182748258
Italy,3787248919.714864,10233693642.04577,0.370076440841918
"Korea, Dem. Rep.",85492155.1465424,472481165.27887857,0.1809429908091284
"Korea, Rep.",1421319927.7724683,5474472267.464674,0.25962683859401614
China,34911329943.66623,162967562180.51572,0.21422256967307204
Japan,8846749692.243443,30534423399.51312,0.2897303668221391
Saudi Arabia,65145916.85313151,3490890574.907043,0.018661689747999692
Turkey,568215254.3373957,4216499150.59801,0.13475995939826238
Algeria,216445409.56064224,1428585870.0412273,0.1515102550709086
Egypt,247277323.3657035,2955339116.3581448,0.08367138715046095
Morocco,84842283.56373133,884807280.2049247,0.09588786785759892
Indonesia,5094650133.302329,13608485959.015656,0.3743730308166362
Malaysia,1046005833.8394803,3262457538.2772346,0.32061898785411674
Philippines,1171620807.8530629,3030829165.118165,0.3865677489636352
Vietnam,1577283402.641053,5208379211.740529,0.30283574573172417
"Congo, Dem. Rep.",748105766.6501048,1898460569.819935,0.3940591543184176
Nigeria,3792743800.3123856,11343804911.111347,0.33434494246259144
South Africa,2710474391.005771,7271003593.387684,0.37277857948945325
Brazil,3540640154.8395495,14741969685.65392,0.24017415788645308
Albania,44875228.49509685,135622282.2730366,0.33088389122337164
Bulgaria,119386425.57991874,345532923.60127604,0.34551389296171214
Greece,161245315.18354607,728062868.9560187,0.22147169160646576
Croatia,99885214.76884058,237557762.7769636,0.4204670628365028
Macedonia,29288757.26548951,99397549.34289567,0.29466277045172334
Malta,12947389.481230937,65220193.42785179,0.19851810920422466
Montenegro,11661556.09982692,32052190.608634233,0.36383023682273763
Portugal,342369569.18633413,861824953.9505928,0.39726114638119625
Serbia,138599872.17737114,353880334.28476715,0.3916574580429778
Cyprus,31590181.768414143,165985602.47209838,0.19031880655868538
Israel,129392464.24305421,709802808.1125879,0.1822935366896015
Jordan,42707998.27600184,472260836.38717586,0.0904330721190447
Lebanon,77818768.35664506,259913898.94578615,0.29940210459032357
Palestine,109948089.01030192,483305214.3001411,0.22749203972383011
Yemen,30860380.47647536,265813993.40302786,0.11609765190083418
Western Sahara,58637.55526805204,19348217.163850717,0.0030306438454498867
Tunisia,137481833.17714337,826575833.9885755,0.16632694487780486
East Timor,8377370.687463523,26396927.26284104,0.3173615854621212
Cambodia,102474330.48133126,355990037.0821534,0.2878572988200869
Laos,57100200.09422756,158946929.9974813,0.3592406603583497
