,built_area_squaremeters_2015,built_area_squaremeters_2020,built_area_change_cubicmeters,built_area_changerate_relative2015,population_2015,population_2020,population_change,population_changerate_relative2015
Australia,1829340916.0862746,1899741218.898037,70400302.81176233,0.0384839710262306,11022921.138674667,11003768.399275573,-19152.739399094135,-0.0017375375509034033
Iraq,546346358.9921567,586560505.4941185,40214146.50196171,0.0736055907394434,4664029.085894604,5425937.924703932,761908.8388093282,0.16335850930123155
Syria,189849058.54901928,194710630.1098039,4861571.560784608,0.025607562122987003,4891431.686456006,5481783.803304909,590352.1168489028,0.12069106852366801
Libya,338449052.83137375,382919604.0823551,44470551.25098133,0.13139511214155472,1744616.966460386,1932344.0533441938,187727.0868838078,0.1076036118487848
Sudan,399938801.54509926,436862185.384315,36923383.839215755,0.09232258459686382,2625934.3280695383,3031620.7503452296,405686.4222756913,0.15449221937470636
Myanmar,179750144.4235294,183568654.13333333,3818509.709803939,0.021243430552170917,5288462.85398262,5579867.111157263,291404.25717464276,0.05510188219535151
Thailand,1618753746.941182,1653699393.4352977,34945646.49411583,0.021587994196244843,25576946.550818104,30322193.55272169,4745247.001903586,0.1855282839362936
C�te d'Ivoire,321982772.0627451,343975358.9215692,21992586.858824134,0.06830361363103743,7343554.357889817,8259135.78131676,915581.4234269429,0.1246782387391542
Cameroon,272052231.32548964,284091091.21960765,12038859.894118011,0.04425201673760373,4151652.6135244016,5458765.524723161,1307112.9111987595,0.3148415902960463
Ethiopia,197125180.4156867,211802567.9450979,14677387.529411197,0.07445719262480995,4265584.848199761,4723224.061002399,457639.2128026383,0.10728639309467247
Ghana,903541425.3647075,931754766.345099,28213340.980391502,0.031225287727127075,9092822.55974155,11172461.641988354,2079639.0822468046,0.22871215935241074
Mozambique,306873087.90588176,319476198.32549006,12603110.419608295,0.04106945482125066,3140575.7405473916,3639410.310254522,498834.56970713055,0.15883538908702943
Tanzania,471884807.9254906,487822218.3450974,15937410.419606805,0.03377394260618638,7507707.071792291,9456183.383775912,1948476.3119836217,0.259530145935551
Zambia,240103711.5764708,243885644.45098054,3781932.874509752,0.015751247032702538,2463506.3019106872,3107270.243678556,643763.9417678686,0.2613201927953533
Bangladesh,561609028.1372548,566114490.6509806,4505462.513725758,0.008022418244716396,40677771.81070354,47928392.13513127,7250620.324427731,0.17824526766532173
India,6542836732.0196085,6756341677.760779,213504945.74117088,0.03263186206317994,170412415.45414218,182906226.2143251,12493810.760182917,0.07331514389305156
Spain,761667763.7176473,774114836.7058824,12447072.988235116,0.016341866600053833,15922230.727941863,17028277.99573804,1106047.2677961774,0.06946559729568415
France,1995527917.5019646,2050247130.313729,54719212.81176448,0.027420920715688562,21067794.281896394,21619850.776728608,552056.494832214,0.026203810776080978
Italy,2915233346.286268,2967281839.482352,52048493.196083546,0.01785397153966711,36979174.537658915,37720444.65777226,741270.120113343,0.020045610249045637
"Korea, Dem. Rep.",133162171.03921574,143510671.21960777,10348500.180392027,0.07771351352738484,1224566.5933365445,1201135.9468245136,-23430.646512030857,-0.019133827951479544
"Korea, Rep.",1569450748.6744976,1633435946.8117607,63985198.13726306,0.04076916602276477,33484938.12609332,34540590.66036678,1055652.5342734605,0.03152619038142518
China,45854115773.51751,48730733683.20783,2876617909.690323,0.06273412672263716,688449081.4461911,754690385.0943607,66241303.64816964,0.09621815967713951
Japan,10009941501.894093,10271591104.101942,261649602.2078495,0.026138974154678113,92325538.79078451,93585050.64216058,1259511.8513760716,0.013642074206901784
Saudi Arabia,992222602.5098034,1131139849.1960766,138917246.68627322,0.14000613001042847,4039932.9796028426,4753150.762075294,713217.7824724512,0.17654198375898952
Turkey,1165707172.0156863,1233176369.811765,67469197.79607868,0.05787834150442268,27622926.393693395,31559809.703620333,3936883.3099269383,0.14252231113448466
Algeria,435320250.2509795,457607639.25490165,22287389.003922164,0.05119768490225896,7994856.257157084,8960091.171477487,965234.9143204037,0.1207319910794287
Egypt,854551429.580389,972496775.5607815,117945345.98039246,0.13802018450581405,30961445.37341926,34174739.042574495,3213293.6691552363,0.10378371004326188
Morocco,248814065.5647061,262447863.9058827,13633798.3411766,0.054795127077054334,7448007.6009528525,8112718.448594627,664710.8476417745,0.0892468003868223
Indonesia,3881670006.7294016,3914761482.4470563,33091475.717654705,0.008525061548324856,81001707.91846815,90968317.22921525,9966609.310747102,0.12304196500126814
Malaysia,873182866.8392141,904795727.8078426,31612860.968628526,0.03620417001888981,10988010.682832763,12662870.35186888,1674859.6690361183,0.15242610490476255
Philippines,862866581.4980347,874171883.7607806,11305302.262745857,0.013102028175802758,25599565.433689047,28049245.892724663,2449680.4590356164,0.09569226733090692
Vietnam,1486777874.1999946,1534106105.9960737,47328231.79607916,0.03183275230104264,28484389.44345675,33348808.244513903,4864418.801057152,0.1707749014846648
"Congo, Dem. Rep.",578312484.9882349,643508054.5686282,65195569.580393314,0.11273415544836395,11506096.289380629,14270786.714571474,2764690.4251908455,0.24028048746145755
Nigeria,3495221787.098039,3626437969.964703,131216182.86666393,0.03754158987879512,45010951.21889292,52463304.899673924,7452353.680781007,0.16556756698029862
