,built_area_squaremeters_2015,built_area_squaremeters_2020,built_area_change_cubicmeters,built_area_changerate_relative2015,population_2015,population_2020,population_change,population_changerate_relative2015
South Africa,2190868929.270581,2279424205.2313666,88555275.96078587,0.04042016150654394,25010240.00261783,28390479.214280747,3380239.2116629183,0.13515420928823985
Brazil,4893707205.24706,5040913229.121566,147206023.874506,0.030080676611929476,83964046.59907089,89695390.83341515,5731344.234344259,0.06825950471052784
Albania,33933171.79999998,35648953.94509804,1715782.1450980604,0.05056356521019533,638156.0807153356,744875.8238204211,106719.74310508557,0.1672314130196158
Bulgaria,90192092.32549019,92694982.02745101,2502889.701960817,0.027750655710793923,841938.1922370589,831077.466066951,-10860.726170107839,-0.012899671579514067
Greece,220147005.79215643,221804235.10980317,1657229.3176467419,0.007527830377176936,3986794.1183887366,3959179.016758816,-27615.10162992077,-0.006926643516039252
Croatia,57324395.77647063,58644245.58431372,1319849.807843089,0.023024225374998798,553497.1750825454,544571.9368464543,-8925.2382360911,-0.01612517396273981
Macedonia,26211826.439215694,27412841.48235301,1201015.0431373157,0.045819586281880334,156528.39315961878,152258.6017363422,-4269.7914232765615,-0.02727806334102255
Malta,18885802.33333335,19509761.152941212,623958.8196078613,0.033038512666553596,213328.83203936723,216037.120531446,2708.2884920787765,0.012695370176587265
Montenegro,7025378.352941183,7444716.949019601,419338.59607841726,0.059689112103529715,31082.25887762238,33175.342553901595,2093.083676279217,0.06734014038426689
Portugal,208319613.85490185,212236013.4313718,3916399.576469958,0.01879995600989255,2977670.2551035034,2999773.914095056,22103.658991552424,0.00742313859423098
Serbia,91248992.84313722,94678442.11372551,3429449.2705882937,0.037583420525898116,1354889.2100272374,1367458.5496434812,12569.339616243728,0.0092770239243333
Cyprus,45031886.12549028,45787917.02745103,756030.9019607529,0.016788790499556755,367919.15960786224,396445.3006168475,28526.141008985287,0.07753371974264452
Israel,212969931.54901975,220085449.78823552,7115518.239215761,0.03341090541496449,2728215.2831451492,3012279.19670242,284063.91355727054,0.10412078376373404
Jordan,138526622.4078435,147999269.73725513,9472647.329411626,0.068381421309203,2326735.0793518913,2541565.7899499233,214830.710598032,0.09233140141501317
Lebanon,66617291.792156674,69552282.0941173,2934990.3019606248,0.04405748452095109,3444278.418812506,4602214.182305337,1157935.763492831,0.3361911038225696
Palestine,138070523.78431365,143345355.08627445,5274831.301960796,0.03820389144174505,3011159.594801646,3508743.8698635623,497584.2750619161,0.16524672950611022
Yemen,69954127.27450988,72777763.76862742,2823636.494117543,0.040364115801733824,2375143.165133982,2661211.1169862915,286067.9518523095,0.12044240366292716
Western Sahara,5795097.2862745095,5900868.945098036,105771.65882352646,0.018251921166887574,169.99113938091136,181.41067750684763,11.41953812593627,0.06717725504708626
Tunisia,270915086.77647066,279145548.3372552,8230461.560784519,0.0303802259915314,2601701.0139329387,2858246.091341125,256545.07740818616,0.09860667157152396
East Timor,8273858.917647056,8353101.501960781,79242.58431372512,0.009577463805276045,177653.06993585074,234272.91760339175,56619.847667541006,0.3187102124831619
Cambodia,97629517.54901944,102837352.75686221,5207835.207842767,0.05334283461175491,1858468.700043365,2357942.649137911,499473.949094546,0.26875564225692444
Laos,38530568.03137259,40007095.20000004,1476527.1686274484,0.038320929175641054,373447.7924763938,414894.7381505138,41446.94567411998,0.1109845780564894
Singapore,89913244.78039235,92051255.97254924,2138011.192156896,0.023778601221420257,2619548.665964241,2862182.9943905883,242634.3284263471,0.09262447824653594
"Congo, Rep.",257767867.1725485,282535556.43921626,24767689.266667753,0.0960852473131897,871787.2795209438,776519.1421590288,-95268.13736191497,-0.10927910925044215
Angola,331270631.21960926,374781551.6666654,43510920.447056115,0.13134554151953004,5656874.58174361,11844114.92635221,6187240.3446086,1.0937559698736534
Burundi,31344091.007843133,32109054.552941162,764963.5450980291,0.024405351072602957,564837.8214612841,718840.2833239576,154002.46186267352,0.2726489905797312
Benin,272659002.89803976,279295359.9254912,6636357.027451456,0.02433940180560664,2855619.9132209364,3437286.1375041334,581666.224283197,0.20369175238980552
Burkina Faso,170973059.7882349,177790692.52941176,6817632.741176873,0.0398754795031516,1958572.5942095474,2748388.0564146396,789815.4622050922,0.4032607545618449
Botswana,47794922.69411768,48117774.305882394,322851.6117647141,0.006754935327146137,100494.21855527941,106372.06584909162,5877.847293812214,0.05848940743371176
Central African Republic,68719330.97647078,73264761.36470586,4545430.388235077,0.06614485798459555,1343381.2258281554,1518178.2286398201,174797.00281166472,0.13011719938538477
Cabo Verde,4659513.768627446,4669724.478431372,10210.709803925827,0.002191368093528265,5137.172706708726,5011.393376421932,-125.77933028679399,-0.024484154508283614
Djibouti,11568583.376470588,11683033.756862747,114450.3803921584,0.009893206166015082,268744.066146067,291602.96106415545,22858.894918088452,0.08505823122310076
Eritrea,12269528.686274508,12336344.999999994,66816.3137254864,0.005445711521114211,147319.1399542266,147355.56915944407,36.429205217486015,0.00024728087082781573
Gabon,63634834.34117645,66921461.61568632,3286627.2745098695,0.05164824122726094,406627.0470549172,467573.9307098028,60946.883654885576,0.14988398852537316
Guinea,126722405.40784316,129061871.08627445,2339465.6784312874,0.01846134210364738,1425721.1156308744,1703452.3945034966,277731.2788726222,0.19480056501072968
Gambia,913937.2941176476,928849.3686274512,14912.074509803671,0.016316299384850463,25602.287124947947,25355.905435240507,-246.38168970743936,-0.009623424989533638
Guinea-Bissau,18862236.988235295,19300653.168627445,438416.18039214984,0.023243063941228055,249270.17512129294,289195.30386832845,39925.12874703552,0.16016809362615586
Equatorial Guinea,24615886.341176458,26075917.41568627,1460031.0745098107,0.05931255345729842,35404.232566199935,52856.18692701165,17451.954360811716,0.4929341238559404
Kenya,356714170.14509726,379149672.22352874,22435502.078431487,0.0628949000520658,8433942.377482835,9929757.651082778,1495815.2735999431,0.1773565915737711
Liberia,64620837.86274512,66775673.53333328,2154835.670588158,0.033345833044830464,877677.8068847948,1021831.8830719048,144154.07618710992,0.16424486873920896
Lesotho,32330309.556862723,33341162.764705848,1010853.2078431249,0.031266425273943965,178245.07139089415,183050.7547911372,4805.683400243055,0.026961101155521534
Madagascar,88972535.6980389,89482625.48627415,510089.78823524714,0.005733115103816136,1061979.6909957284,1322655.6281035997,260675.9371078713,0.24546226196045007
Mali,178084071.12941217,187200940.81176487,9116869.682352692,0.05119418948889337,3329679.3849220485,4704950.101455961,1375270.7165339128,0.41303397641274986
Mauritania,48828807.654901996,53175578.27058824,4346770.615686245,0.0890206176322609,813459.998990976,1042153.6253586364,228693.62636766036,0.28113690488940357
Mauritius,30578902.866666712,30968679.400000047,389776.5333333351,0.012746583323570468,371452.3075047881,372488.8181582699,1036.5106534818187,0.002790427283773053
Malawi,90299631.50196081,93033341.50196084,2733710.00000003,0.030273766952644415,1430803.7245636652,1793461.3878835926,362657.6633199274,0.25346429918647484
Namibia,26882295.364705894,27977533.098039247,1095237.733333353,0.04074197230833586,297811.7324573205,350551.76097878546,52740.02852146496,0.17709184284411345
Niger,79536547.17254898,89596797.72156844,10060250.549019456,0.12648588487496754,794921.7905360103,963982.3780151185,169060.58747910825,0.21267574935279088
Reunion,14889932.529411748,15240400.462745095,350467.9333333466,0.023537241195759298,60693.881622254594,63179.42226799697,2485.540645742374,0.04095207917680787
Rwanda,74512099.71764715,78748402.28235278,4236302.564705625,0.05685388790221296,805282.6034054998,1027805.1755812065,222522.57217570662,0.27632854756165076
Senegal,223424620.39999992,241083694.56470576,17659074.164705843,0.07903817463397982,4501215.032701353,5096155.245291492,594940.2125901394,0.13217324839357714
Sierra Leone,61011376.13333328,62976828.14117642,1965452.0078431368,0.03221451690497637,1194682.4572435229,1372131.6249597326,177449.16771620978,0.14853249634688384
Somalia,75563819.9568628,80278718.05098046,4714898.094117656,0.06239623799867787,508648.08951102244,562367.6643605124,53719.57484948996,0.1056124577232406
South Sudan,36921407.11372553,41526670.439215705,4605263.325490177,0.12473152259081076,10415.061513150209,11932.18136283078,1517.11984968057,0.1456659519259711
Chad,74469119.3647058,77762648.34117638,3293528.9764705747,0.04422677486409922,559853.6214439059,672088.40694985,112234.78550594416,0.20047166117543716
Togo,112778890.8235292,117230655.86274488,4451765.039215684,0.039473389095319125,1513243.7717821104,2063124.6431977253,549880.8714156148,0.36337890937957307
Uganda,258684636.30588245,264540102.7960785,5855466.490196049,0.02263554022308551,4298408.853942577,5190736.00250536,892327.1485627834,0.20759475863826335
Zimbabwe,278472903.4117647,313909163.31372553,35436259.90196085,0.12725209335560714,3004910.4905255716,3102656.1196733154,97745.6291477438,0.03252863253528982
Ireland,84064892.49803929,86374124.32156865,2309231.8235293627,0.027469633932895622,1135936.4378035902,1243667.7323769887,107731.29457339854,0.09483919257111276
Slovakia,33988107.46274515,34769002.1843137,780894.7215685472,0.02297552820275436,383354.38810730324,375970.01682440506,-7384.371282898181,-0.019262519256284735
Slovenia,21352565.243137214,21714140.87058824,361575.62745102495,0.01693359197519542,216805.5301693383,226403.73604745904,9598.20587812073,0.044271038061731854
Bosnia and Herzegovina,27159800.133333296,28958526.9254902,1798726.792156905,0.06622754156240357,236269.2694020225,223090.8812824019,-13178.388119620591,-0.055776987641998364
Armenia,73490765.67843144,75201770.98823513,1711005.3098036945,0.023281908876693767,970073.7148823324,960693.5351152008,-9380.179767131573,-0.009669553584666878
Qatar,105813205.43921593,118978401.05098064,13165195.611764714,0.12441921173371334,1925109.7281915997,3844165.9729399867,1919056.244748387,0.9968555125172531
Oman,16280294.572549034,16316134.819607858,35840.247058823705,0.002201449543748159,22263.03237822988,23077.20339391654,814.1710156866611,0.036570535489262736
Tajikistan,106063840.54509799,107658738.58823532,1594898.0431373268,0.015037151539493627,1145590.719437919,1283134.1028322037,137543.38339428464,0.12006328356236154
Kyrgyzstan,121160357.6196079,124796872.74509805,3636515.125490159,0.03001406728186849,1103793.7581668163,1150252.2237683553,46458.46560153901,0.042089806413380476
Moldova,45224081.68627454,45994188.956862785,770107.2705882415,0.017028698911579408,284531.1056980961,273998.6657920104,-10532.439906085725,-0.03701683118351654
Azerbaijan,293758122.78823483,317820673.61176443,24062550.8235296,0.0819128015768125,3006261.5918489024,3298143.7018502178,291882.11000131536,0.09709138778631797
Denmark,128410650.49411732,131094951.75686249,2684301.262745172,0.020904039130836296,1431957.27668428,1538999.7638032937,107042.48711901368,0.07475257038874251
Georgia,61233019.07058835,63923045.23137251,2690026.1607841626,0.04393097387021123,1005148.965339583,1004798.7798976568,-350.1854419262381,-0.0003483915857267288
Austria,154433714.97254938,158284565.21176487,3850850.239215493,0.024935294989827723,1969822.2088658228,2058018.2256748325,88196.01680900971,0.044773592465378334
Lithuania,76129583.71764702,79215551.41960786,3085967.701960847,0.04053572279347053,392067.30558359076,369547.86682022666,-22519.4387633641,-0.05743768593467389
Turkmenistan,104790697.19607839,109362967.94509801,4572270.749019623,0.04363241080898861,835971.9508036975,1044095.4587091781,208123.50790548068,0.24895991750128965
United Arab Emirates,291848585.09803987,310074200.7764716,18225615.67843175,0.06244887455016878,1245081.1426027517,1643825.9325376493,398744.78993489756,0.32025606708760407
Sri Lanka,193814710.5450978,204568861.59607792,10754151.05098012,0.05548676372776044,3147197.8116490594,3224874.3776026582,77676.56595359882,0.024681183262801675
Norway,67894784.83529425,71247763.46274513,3352978.6274508834,0.04938492161930941,633129.9839728349,685156.6138321721,52026.629859337234,0.08217369446456273
Czech Republic,129754642.99215707,133402605.58431378,3647962.5921567082,0.02811431258284304,1326534.3639208898,1335542.2000589354,9007.836138045648,0.006790503422331882
Finland,81047098.08627433,84543280.20784317,3496182.1215688437,0.04313765951061161,682354.4238797325,722886.33430572,40531.91042598756,0.05940008448326769
Afghanistan,134454886.76862743,142564288.41960785,8109401.650980413,0.060313178984228576,3243724.8399133007,3615488.431298877,371763.5913855764,0.11461008862746602
Hungary,220446279.7725497,225424690.74117678,4978410.968627095,0.02258332947947083,2321006.6101338933,2362553.3977347426,41546.78760084929,0.017900331442163603
Nepal,171965263.23529446,176264646.51372564,4299383.278431177,0.025001463653438378,6484134.088161835,12434553.634950899,5950419.546789063,0.9176891572388699
Switzerland,170181937.71764693,175386204.94901964,5204267.231372714,0.030580608619037133,2039553.2503076592,2108058.295930512,68505.04562285263,0.03358826037639316
Sweden,155376920.7764706,160475247.80392146,5098327.02745086,0.03281264039712468,2012394.5310003366,2196967.3690396654,184572.8380393288,0.09171801811028572
Belgium,906900327.5254923,931732162.7215697,24831835.196077347,0.027380997053812778,6998402.129480345,7383774.012139554,385371.88265920896,0.0550656957873074
Belarus,226019669.5725487,233934551.50588226,7914881.933333576,0.035018553687395,3051629.8761568572,3126260.8756596977,74630.99950284045,0.024456111170607878
Uzbekistan,910418256.0705897,938970470.9529439,28552214.88235426,0.031361645806167196,3147012.9601346124,3776644.142403842,629631.1822692296,0.20007263721033336
Romania,300096786.70980316,314091565.57254916,13994778.862746,0.04663421763418981,4299201.887430615,4178713.3865090422,-120488.50092157256,-0.02802578340734345
Kazakhstan,597766875.313725,633209422.2666667,35442546.952941656,0.059291587434215726,2527150.7070354037,2942148.2045063563,414997.49747095257,0.16421557144005292
Netherlands,1263376443.4117594,1291614634.125486,28238190.71372652,0.02235136713287849,11056252.694120228,11330605.994939465,274353.3008192368,0.024814311721107755
Poland,689486914.2862746,724846057.3058822,35359143.01960766,0.05128326917735609,7983337.103240604,7884094.405819794,-99242.69742080942,-0.012431229714767365
United Kingdom,3124319512.7098083,3174693599.039219,50374086.32941055,0.016123218551907875,41613190.74894096,43354246.98285729,1741056.2339163274,0.04183904676813653
Germany,4562988636.51374,4650426491.874518,87437855.36077881,0.019162409185306224,43580886.3608495,42827398.86029445,-753487.5005550534,-0.01728940284316801
Iran,1747166914.5960777,1821705273.3333318,74538358.73725414,0.04266241428597933,21175236.480434112,22603991.421927463,1428754.941493351,0.06747291548850085
Iceland,12197081.588235302,12224688.694117667,27607.105882365257,0.0022634189730266047,67613.17391580141,78350.63980387448,10737.465888073071,0.15880730434936277
Latvia,30136393.90980389,30823767.698039252,687373.7882353626,0.022808760407520026,347953.0200812272,375292.0214047799,27339.001323552744,0.0785709556915777
Estonia,20383131.41568621,21246604.101960815,863472.6862746067,0.04236212133775018,287873.8340134131,288834.91855263495,961.0845392218325,0.003338561639391832
Kuwait,134417261.59999928,140478628.30588242,6061366.705883145,0.045093663073725185,1404754.2035273202,1662378.138985048,257623.93545772787,0.1833943153975531
Bahrain,64456588.07058821,70069843.46274516,5613255.392156951,0.08708582877532578,1239564.067743216,1714549.4534982836,474985.3857550677,0.3831874431628524
Pakistan,1166274900.835294,1223780842.0352936,57505941.19999957,0.049307364120426,31838865.9048575,37885361.77375362,6046495.868896119,0.18990927274120134
Russia,3391587294.317647,3539845469.6431384,148258175.32549143,0.0437135071162364,54926930.72832713,55918236.89340504,991306.1650779098,0.018047725440567344
United States,26160927470.93724,26842710329.72936,681782858.7921181,0.02606111192156799,170935862.3924499,180741422.36850965,9805559.976059765,0.05736397171909591
Canada,2220025368.8627377,2261300548.078425,41275179.215687275,0.018592210609210964,16133978.290997129,17317265.617039442,1183287.3260423131,0.07334132380124718
Ukraine,920544767.6235286,946032896.733334,25488129.109805346,0.027688092970866923,10996034.948009647,10857210.732867623,-138824.21514202468,-0.012624933969235225
Cuba,114346483.72941177,117611848.81960803,3265365.090196267,0.02855675997806273,1226130.3248603872,1213468.7187761788,-12661.60608420847,-0.010326476580415852
Ecuador,314032311.9490196,325656982.4549017,11624670.505882084,0.03701743439627081,4359472.5714617865,4857017.692445531,497545.12098374404,0.11412965968424728
Peru,498663623.35294235,517849907.8470585,19186284.494116127,0.038475404251688376,11376963.714269264,13019783.265042637,1642819.5507733729,0.1443987686022861
Chile,429323483.38039285,441286313.2666663,11962829.886273444,0.027864373483791092,6813216.381634106,7661542.211544571,848325.8299104655,0.12451179918448445
Argentina,1478949300.7882357,1527943128.0274506,48993827.2392149,0.033127455561257346,18122893.001011636,19106242.798861522,983349.7978498861,0.05426008958917291
Colombia,528146388.51372594,549186595.7137265,21040207.200000584,0.03983783219499147,16498688.41500487,17501611.117137842,1002922.702132972,0.060788026108842416
Mexico,3849633138.7803884,4019788297.070583,170155158.2901945,0.044200356801817685,59035923.01552752,65288934.28482164,6253011.26929412,0.10591875166666684
Venezuela,671791270.662745,692408757.1921571,20617486.52941215,0.030690316218417512,6770989.061475115,7457115.021339516,686125.9598644013,0.10133319573180985
Guam,1688427.9333333315,1690139.360784312,1711.4274509805255,0.001013621853318778,14432.436121458151,14778.414202373637,345.9780809154854,0.023972257906001403
Mongolia,60728301.96470583,61643994.01176481,915692.0470589772,0.015078505695600718,585558.48152216,732657.95617364,147099.47465147998,0.25121226878841324
New Caledonia,11852120.368627436,11918714.274509799,66593.90588236228,0.0056187335102195176,54113.847766678,59521.498284321184,5407.650517643182,0.09993099254296757
Papua New Guinea,13077798.250980401,13091228.674509816,13430.42352941446,0.0010269636579236588,68592.10292152799,72077.38659623184,3485.2836747038527,0.05081173380397962
Fiji,24587951.898039225,25335082.188235313,747130.2901960872,0.03038603187830652,189382.56401060274,203321.85840382442,13939.294393221673,0.07360389519513143
New Zealand,323824848.9921564,351650327.38823503,27825478.396078646,0.08592755769879978,1764367.105912914,1844027.9401735568,79660.83426064276,0.0451498069725262
Jamaica,46355803.04705882,47761629.788235284,1405826.7411764637,0.03032687708482402,483086.6880738515,484829.1605668763,1742.4724930247758,0.003606956134461723
Guadeloupe,17973200.486274544,18330483.16862747,357282.6823529266,0.01987863444942763,70621.25190662727,70885.19341504063,263.9415084133652,0.0037374232442429463
French Guiana,7519752.686274512,7737474.764705885,217722.07843137346,0.02895335624917192,40071.82428373067,43256.06460835701,3184.240324626342,0.07946332320885019
Haiti,84676529.32941155,94630332.62745133,9953803.298039779,0.11755091259488389,2831742.172489429,3372307.6444601985,540565.4719707696,0.19089501764051844
Dominican Republic,233646775.50980383,259234407.3725498,25587631.86274597,0.10951416644597482,5449853.989894218,6254409.0795335,804555.0896392819,0.1476287421885404
Panama,93128593.21960798,99581121.97647063,6452528.756862655,0.06928622599985858,1152284.3291961066,1270161.159849419,117876.83065331238,0.10229838909251623
Cura�ao,23211635.537254952,28543909.980392206,5332274.443137255,0.22972420166510416,103541.91486411572,112327.57029459669,8785.655430480969,0.08485119714089615
Honduras,81926486.66274498,87450490.54117641,5524003.8784314245,0.06742634895563505,914324.0163909429,959546.316603497,45222.30021255417,0.04945981884087162
Paraguay,177916288.49803954,184737199.54509813,6820911.047058582,0.03833775482076641,1924770.4874839296,2122212.2501250496,197441.76264112,0.10257937968449264
Suriname,34058050.823529474,34756515.000000015,698464.1764705405,0.020508049039259665,169241.26418785987,178828.43762168326,9587.173433823395,0.056647966320917544
Guatemala,129049480.7490197,135287124.35294163,6237643.603921935,0.048335286339145675,1836359.1126317522,1970358.141102731,133999.02847097884,0.07296994773475435
Nicaragua,69322628.05098012,71652185.01960762,2329556.9686274976,0.0336045680050435,727066.7818937263,738819.7036237804,11752.921730054077,0.01616484485708766
Costa Rica,288715797.588235,295299207.13725483,6583409.549019814,0.022802387690641846,3698948.377455037,3828447.5296278726,129499.15217283554,0.035009721401393
El Salvador,126918916.21176443,130423488.31764671,3504572.105882287,0.027612685409595703,1770589.9562167893,1744428.6398179114,-26161.316398877883,-0.014775479950635571
Puerto Rico,144596445.22745085,148320377.2470584,3723932.019607544,0.025753966591293323,1183763.320311401,1155787.7698884388,-27975.55042296229,-0.023632722811180732
Bahamas,18597624.90980394,19096468.368627448,498843.4588235058,0.02682296590251882,128268.61217070742,137047.77482863018,8779.16265792276,0.06844357718815054
Uruguay,114770101.56470627,117157263.51764706,2387161.952940792,0.020799510677394783,1400562.2227761769,1413895.8271709895,13333.604394812603,0.009520179952007345
Bolivia,272886482.13725495,284934746.48627484,12048264.349019885,0.04415119523201561,2772866.924579849,2832139.208736481,59272.284156632144,0.021375812748609713
Guyana,14553893.768627439,15203344.337254876,649450.5686274376,0.04462383599551906,124030.36396997604,127042.74056212298,3012.3765921469458,0.024287412337805847
