geography,pop-averaged_summer_nighttime_uhi_2005,pop-averaged_summer_daytime_uhi_2005,pop-averaged_summer_nighttime_uhi_2010,pop-averaged_summer_daytime_uhi_2010,pop-averaged_summer_nighttime_uhi_2015,pop-averaged_summer_daytime_uhi_2015,pop-averaged_summer_nighttime_uhi_2020,pop-averaged_summer_daytime_uhi_2020
global,0.7802090934233397,1.4089262130886862,0.7476941294306689,1.4765966717205063,0.7601422684308283,1.4399334740501328,0.7241323734760368,1.515757849506969
AFG,0.10055121957083227,-0.0019334036439781568,0.09177786672807058,-0.005428183984241705,0.09997187915016591,-0.008343124292657393,0.11565551218428112,-0.017058682906900872
AGO,0.40405139990896777,1.6024824598225433,0.29475974504316277,1.979823568073885,0.2929838878786115,2.4395837985428743,0.05829662814485242,2.8603193556273734
ALB,1.2255898624479467,1.5471075308512148,1.2764843867774014,1.8451582824573975,1.3083570495558945,1.3576943647204949,1.2399904820505714,1.6743642555371523
ARE,0.4189071494835804,0.01666066537891908,0.41821055944635294,-0.11753421426413578,0.40837459097186696,-0.023817516687420603,0.24952729622511116,-3.396166114794875e-05
ARG,1.7087121109174794,0.8372422430132482,1.353128017059987,1.5668285578776566,1.5843245071465346,1.5869933011642408,2.01769691345691,1.131937850829867
ARM,-0.2564780250254926,-1.9643649866337196,-0.41261905578268027,-1.4629055513961058,-0.1749222426909768,-2.271854757609604,-0.27809198297465326,-2.319186851663439
AUS,0.5531007890175229,0.6022072880809232,0.49581457189784806,0.2728724900646825,0.5068056652333598,0.7479247622701257,0.45065023448246844,0.3644507446010654
AUT,1.5192714071242306,2.172201569046158,1.5289963775538657,2.685511813016975,2.254371814577258,1.6178180412902101,1.6706463040495172,2.344806150169427
AZE,0.4836983275260444,-1.0333547031201027,0.662581058480845,-0.812519929064727,0.5755087708574955,-0.7641578585207552,0.7530933282570196,-0.939533347979652
BDI,0.2801810880315791,1.2590094805702405,-0.01401940530895094,1.5601596836421865,-0.015147381829457131,2.446872239467542,-0.14428126037738784,2.666061283871344
BEL,1.2871769395628885,2.6772117443680985,1.1244003590954983,2.314162199615241,1.0027235505793226,2.3924113113113847,1.2085853830038937,2.220424050833812
BEN,0.6067742015781404,2.6342102666177913,0.281885948916147,2.18647238178928,0.41801719971042595,2.18757127670003,0.3854438120529134,1.7202755571193464
BFA,0.004201961206762705,0.3694621147120382,-0.0010895894836173636,0.45210012690116064,0.0038535428349253742,0.3034432502050491,-0.017775935599522744,0.5546188996424823
BGD,0.07264750619900896,0.8919876116576583,0.17671504718874853,1.100108574035642,0.09794750100214329,2.2794839971277185,0.5448110902092006,1.1616448595929016
BGR,1.309173905024139,1.8682714035216905,1.9194684905465782,1.9213669290226896,2.0697338670182375,0.7582104392304216,2.0015797423517596,0.8159384365163747
BHR,0.26325476782943436,-0.858936446835997,0.15923400865580153,-0.9473657076354572,0.07759530773699785,-1.2678953684685739,-0.13217970683067456,-1.214428183160567
BHS,0.008621409141761006,1.7322608523301417,0.011015839002313937,1.244813365791782,0.07164912551465595,1.1749707088681831,0.09020923077625237,1.2264044339946114
BIH,0.4723069575265473,1.5160214486590486,0.5728589005435872,1.3567277540665208,0.7270047861407386,1.4746299199146802,0.6365570905823312,1.9832569816984207
BLR,1.181222251345075,2.49062697271666,1.1548333481923554,2.5538663043696754,1.4184723771668706,2.384601437671919,1.0463309857652618,2.68377015491867
BOL,0.427794050158229,0.9006285506411388,0.3704373824986754,1.5541548972562773,0.2903318748793389,2.143372241985926,0.2923418142367022,2.292798862560137
BRA,0.5913929754522151,1.9264263990708068,0.7037326690557512,2.830706919429244,0.7209030775330634,2.4954346086615584,0.5893960784666497,2.6776291137622588
BWA,0.3371922524339052,0.3689175942386828,0.584633830552144,0.6973383331873408,0.40533235150889857,0.33037568321357336,0.5787151014197444,1.0709649952815299
CAF,0.113641068959286,2.390409699298706,0.28117658043562826,2.361799974537965,0.11442718648399132,3.3800746755804036,0.17185275676479092,3.073306331216123
CAN,0.7506259781896673,1.640914165360111,0.6400932422946778,1.7277821648946725,0.6263869189167246,1.7169488695469226,0.6857974976723595,1.6731841795243252
CHE,1.341339668412297,2.348501255282511,1.236787643234798,2.068102812847345,1.2595318629525563,1.4710083823461724,1.212297249159238,2.107708026097851
CHL,0.6470486587274149,1.259538162749064,0.6597395303465773,1.3401956392180319,0.4355145254099033,0.7251340674338338,0.5658443155694527,0.5636701492514341
CHN,0.801408454897309,1.8836622776761156,0.7767057816129164,1.6259001738592607,0.8207283820038791,1.5260453585641842,0.7696451686925493,1.6005567521754545
CIV,0.27379806468161894,1.9333409910970252,0.2894940955739826,2.759835714214723,0.18288541170501496,1.4822104538040275,0.16842706677065117,2.04115737132961
CMR,-0.061958252478827816,1.1054240697190383,0.11759643072504125,0.9047755697848388,-0.01783232320443857,0.33111202862372824,-0.05031075268784359,1.0974666648857196
COD,0.38344966090794275,1.394236311992546,0.34811195789723215,1.8383803378286805,0.33043912981245216,2.3068512535991132,0.20235128199271693,2.843992032427665
COG,0.5133121967548019,2.1349416127873337,0.4300823842072917,3.0974418468264338,0.3242046955599799,4.05154531436151,0.08038468495326744,4.765511731665854
COL,0.4088713530349139,1.655101149703548,0.3223570825452092,1.7995066828157151,0.391844303106336,1.1457572575354913,0.07889917557376867,1.623477227349716
CPV,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
CRI,0.013319017356078626,1.2768640313195705,0.16274282973709348,1.078968924381269,0.13128326307467567,0.9091381927416847,0.04429792034414312,1.0961353052827156
CUB,0.09766501802880094,0.4496603113842102,0.09421187032714215,0.45117987740694443,0.09111847779314805,0.3643007099161147,0.11658893992752435,0.41935221355708685
CUW,0.0205986203874263,0.5981050684471791,0.04468908639288356,0.862822503475891,-0.013370687998272198,0.7131359331949355,0.0786984776668086,0.9444183376278804
CYP,0.7457309102636889,-0.3937463811389608,0.720470690803408,-0.24060002958253265,0.6820713867886766,-0.2325213215559871,0.805291969427116,-0.14813607414998523
CZE,1.660303018697898,2.790395757408459,1.6448702187127577,2.67475989270613,2.120656302117505,1.707421523399156,1.7881510869361696,2.054625938085775
DEU,1.1837654633574817,2.2532483727869552,1.2280510576451626,2.1227097924197316,1.2328018312036297,1.8631501664385628,1.2417050355889439,1.7166667673852543
DJI,0.12538208773690115,0.05748436950646421,0.16818847131645745,0.0032417359666038724,0.19389525950599104,-0.06795766648479076,0.054139560711136306,-0.22620777893956623
DNK,1.0880361185606708,2.5313206800571937,1.1572527790752754,2.603780266435897,1.059668313256149,2.7913005088767715,1.1568037149820836,2.1985155789756674
DOM,0.6115572940072671,1.9706218409640648,0.5405351143093667,1.9076611866667943,0.6964155754167485,1.1940860910361462,0.42968410710055677,1.2549078663521929
DZA,0.9392194943407184,-0.9101216316926155,0.8570308982175955,-0.9741061191460186,0.818420928734654,-1.0184955197216292,0.8966297827121371,-1.0470410200790097
ECU,0.3193399266685899,0.5429912259182639,0.049349867012319845,1.2436941457708204,0.04967009056134595,1.3932532555623018,0.11604188997372339,1.853139689231148
EGY,1.3904062756107312,1.2347263642366244,1.2668931142953794,0.9666451873603503,1.369567025864099,0.8661596276101097,1.2148998664326216,0.9278338883189078
ERI,0.022510319307773526,0.07642473653011152,0.02069575723649731,0.13662497206764435,0.3744208323567213,0.3484521730524252,0.21634799601735274,0.42477745197996747
ESH,-0.10440148896790805,-0.4550622020117409,0.010500510854628959,-0.4390798258923625,0.30524251506641753,-0.26204139185288594,0.2394802197093743,-0.34230237219243764
ESP,1.4853101160656696,-0.1710285585197261,1.4147909569562387,0.6555597983703937,1.5125507203537105,0.25854513397685597,1.4962214640123832,0.513042755484587
EST,1.5094292420176356,2.4632060089657726,1.2699291043170016,2.1532130897645874,1.137957823332362,2.2134809337130066,1.1131134501348057,1.866736619773404
ETH,-0.0026960564099519973,0.27491463183492315,0.0007319557222931277,0.12217571651742991,-0.16562476639153845,-0.050818905260023,-0.20638672294412966,0.19551459670896473
FIN,0.5242245808273646,0.742301277341963,0.5434092121902757,0.45538428620615834,0.4146678783339321,0.4683215865254339,0.42225694425196103,0.5736181263048308
FJI,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
FRA,1.805900135533239,2.177353383252684,1.6405785236637842,2.3654512389460405,1.8006852629139771,2.1368839320726334,1.7277989670510978,1.816411218800554
GAB,0.17511860971166882,1.8160956253265539,-0.148756377129044,1.9410693696419956,0.3513352159980076,1.8566762176793559,0.18912934216646413,2.0836345625694115
GBR,0.8634430528207672,1.8864795548352893,0.672530796097049,1.8981123890284493,0.7551502655846453,1.9452675575490648,0.4813176894797052,2.013590767726747
GEO,0.44968420224975647,1.0760654639550242,0.48026855932234386,1.0140914802944934,0.29657808880871245,0.7043489712171838,0.5461585607767281,0.4079109371064873
GHA,0.6241389073175955,1.8371636604384218,0.6346448946365053,2.7512605488406994,0.5981985405175181,3.1487682363812923,0.5027176349240237,2.492012844248188
GIN,-0.1256699106154328,1.136090217007613,0.4553824605299201,1.484472263798884,-0.3025024364480619,0.5469003994973738,-0.11145749656498327,1.8839009038884416
GLP,0.3426865517343592,1.151233266966333,0.1996397079658228,0.7047336102273571,0.2369013513232926,0.8122721985478737,0.23903007226308262,1.0348530888673417
GMB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
GNB,-0.010742612290520941,1.0432342456816428,0.05367307642046153,1.459529764160886,-0.15040520892578219,0.7581682002851468,-0.3266270238562897,1.1541936619829363
GNQ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
GRC,1.0662684353566516,-0.34899765812441247,1.0428568321909308,-0.2794022420649513,1.0729355859593923,-0.04088002501383818,1.1030056072376313,0.39230127740411025
GTM,0.3353280193678709,1.6074614175073958,0.39599919399684386,1.610320023038152,0.2931683498093809,1.3257260595948825,0.29358761440213094,1.3290344660914288
GUF,0.12236988645692896,0.9729720847399326,0.30978609537934687,0.9244980943629796,0.16580811421310937,0.9188659914902227,0.2367764392269275,1.1893223142260325
GUM,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
GUY,-0.022313820357230268,0.94123785919261,-0.006670033998689208,1.0124033435130775,0.2873651990236841,0.7785817431079693,0.10540403806948188,0.8833152820058966
HKG,0.5405546567340813,2.058021382063461,0.4370233520184955,2.2900716844321196,0.6430454791725602,2.1572977669664906,0.6582928889728172,2.0055543715520656
HND,0.3431447174684692,1.9610682918219857,0.17007101832260826,1.860991881456073,0.13762289388389629,0.9862654582187168,0.0997987376206431,1.0207127997071677
HRV,1.6804276077808258,2.117436895749952,1.461560854826061,1.9920861824441303,1.473030356417724,1.905271914035854,1.4869037260563913,1.932829659167744
HTI,0.03802918012871575,0.46155159141331353,-0.042288726315384294,0.510657934671622,0.03204661580461572,0.28891969303724796,0.04024240859909473,0.3311306627523734
HUN,1.8552886239018487,2.3409526135492356,1.3630019224466485,2.2912418191269253,2.0247332866107253,1.0601436596024554,1.5264248008559425,1.6856116101336736
IDN,0.005341885558492334,1.380424804613631,-0.07375008780259887,1.5031694110879945,-0.13653113620084287,1.5906979610990122,-0.11873771207925153,1.3000146992438932
