geography,country,pop-averaged_summer_nighttime_uhi,pop-averaged_summer_daytime_uhi
0,global,0.7241323734760368,1.515757849506969
1,AFG,0.11565551218428112,-0.017058682906900872
2,AGO,0.05829662814485242,2.8603193556273734
3,ALB,1.2399904820505714,1.6743642555371523
4,ARE,0.24952729622511116,-3.396166114794875e-05
5,ARG,2.01769691345691,1.131937850829867
6,ARM,-0.27809198297465326,-2.319186851663439
7,AUS,0.45065023448246844,0.3644507446010654
8,AUT,1.6706463040495172,2.344806150169427
9,AZE,0.7530933282570196,-0.939533347979652
10,BDI,-0.14428126037738784,2.666061283871344
11,BEL,1.2085853830038937,2.220424050833812
12,BEN,0.3854438120529134,1.7202755571193464
13,BFA,-0.017775935599522744,0.5546188996424823
14,BGD,0.5448110902092006,1.1616448595929016
15,BGR,2.0015797423517596,0.8159384365163747
16,BHR,-0.13217970683067456,-1.214428183160567
17,BHS,0.09020923077625237,1.2264044339946114
18,BIH,0.6365570905823312,1.9832569816984207
19,BLR,1.0463309857652618,2.68377015491867
20,BOL,0.2923418142367022,2.292798862560137
21,BRA,0.5893960784666497,2.6776291137622588
22,BWA,0.5787151014197444,1.0709649952815299
23,CAF,0.17185275676479092,3.073306331216123
24,CAN,0.6857974976723595,1.6731841795243252
25,CHE,1.212297249159238,2.107708026097851
26,CHL,0.5658443155694527,0.5636701492514341
27,CHN,0.7696451686925493,1.6005567521754545
28,CIV,0.16842706677065117,2.04115737132961
29,CMR,-0.05031075268784359,1.0974666648857196
30,COD,0.20235128199271693,2.843992032427665
31,COG,0.08038468495326744,4.765511731665854
32,COL,0.07889917557376867,1.623477227349716
33,CPV,-9999.0,-9999.0
34,CRI,0.04429792034414312,1.0961353052827156
35,CUB,0.11658893992752435,0.41935221355708685
36,CUW,0.0786984776668086,0.9444183376278804
37,CYP,0.805291969427116,-0.14813607414998523
38,CZE,1.7881510869361696,2.054625938085775
39,DEU,1.2417050355889439,1.7166667673852543
40,DJI,0.054139560711136306,-0.22620777893956623
41,DNK,1.1568037149820836,2.1985155789756674
42,DOM,0.42968410710055677,1.2549078663521929
43,DZA,0.8966297827121371,-1.0470410200790097
44,ECU,0.11604188997372339,1.853139689231148
45,EGY,1.2148998664326216,0.9278338883189078
46,ERI,0.21634799601735274,0.42477745197996747
47,ESH,0.2394802197093743,-0.34230237219243764
48,ESP,1.4962214640123832,0.513042755484587
49,EST,1.1131134501348057,1.866736619773404
50,ETH,-0.20638672294412966,0.19551459670896473
51,FIN,0.42225694425196103,0.5736181263048308
52,FJI,-9999.0,-9999.0
53,FRA,1.7277989670510978,1.816411218800554
54,GAB,0.18912934216646413,2.0836345625694115
55,GBR,0.4813176894797052,2.013590767726747
56,GEO,0.5461585607767281,0.4079109371064873
57,GHA,0.5027176349240237,2.492012844248188
58,GIN,-0.11145749656498327,1.8839009038884416
59,GLP,0.23903007226308262,1.0348530888673417
60,GMB,-9999.0,-9999.0
61,GNB,-0.3266270238562897,1.1541936619829363
62,GNQ,-9999.0,-9999.0
63,GRC,1.1030056072376313,0.39230127740411025
64,GTM,0.29358761440213094,1.3290344660914288
65,GUF,0.2367764392269275,1.1893223142260325
66,GUM,-9999.0,-9999.0
67,GUY,0.10540403806948188,0.8833152820058966
68,HKG,0.6582928889728172,2.0055543715520656
69,HND,0.0997987376206431,1.0207127997071677
70,HRV,1.4869037260563913,1.932829659167744
71,HTI,0.04024240859909473,0.3311306627523734
72,HUN,1.5264248008559425,1.6856116101336736
73,IDN,-0.11873771207925153,1.3000146992438932
74,IND,0.5501973993595402,0.8496712044126454
75,IRL,0.44911567070440117,1.020127100543584
76,IRN,1.8965525582462122,-1.3078672325702148
77,IRQ,2.33198900997035,0.00539845709583319
78,ISL,-0.04528482544648865,0.04862603765354837
79,ISR,0.9480645292240877,0.29845279306850747
80,ITA,1.5574813543682873,1.669460409676635
81,JAM,0.04998867013458974,1.4421513697853394
82,JOR,1.4693834865198938,-0.06371047385574262
83,JPN,0.9883018101488403,4.903461126020015
84,KAZ,1.407580957719262,0.8347776477828778
85,KEN,0.3543573355158385,2.0162682033544677
86,KGZ,2.300538912513501,2.013867408974559
87,KHM,-0.24464389320979438,2.3103251194621164
88,KOR,1.3882058773987895,2.589615561189536
89,KWT,0.7812442157561291,-4.012023690240319
90,LAO,-0.0041679999645991275,0.5168130957290848
91,LBN,1.3160012258304807,1.663626408251445
92,LBR,0.3317192610231343,1.597137298460943
93,LBY,0.9101766042127112,-1.7686896659875078
94,LKA,-0.07756326990822053,-0.04756306651868605
95,LSO,0.03999968900451792,0.2510001977738568
96,LTU,0.8161219568601583,2.2789700965818716
97,LVA,1.0054168622991948,2.9105897641993193
98,MAC,0.08969529129150584,-0.40916765021381196
99,MAR,1.2878090638014326,-1.0455333389902632
100,MDA,1.3478509242149417,0.767699942964488
101,MDG,0.3424243850960767,0.6032610866911308
102,MEX,0.8386851153806527,0.8622534721097991
103,MKD,1.0457351195687052,0.06656519178464575
104,MLI,0.12650101154438834,0.7312110694615721
105,MLT,-9999.0,-9999.0
106,MMR,0.2369979259515146,2.102441722756446
107,MNE,1.8167170553675305,2.270949545106156
108,MNG,0.6168744877758211,0.6572336772155755
109,MOZ,0.07484221506034891,0.6829648589223506
110,MRT,-0.030186444392106188,-1.05193867257625
111,MUS,0.15437884490464301,1.2078773300212364
112,MWI,0.08295303366137072,1.0822329233798624
113,MYS,0.31139427197207487,1.2067251092489812
114,NAM,-0.7611024500775956,-0.8906148905451438
115,NCL,0.002496924146823969,0.6197562006219016
116,NER,0.15498751215923906,0.13320153366990795
