geography,country,pop-averaged_summer_nighttime_uhi,pop-averaged_summer_daytime_uhi
117,NGA,0.294862564669335,2.0850979743808273
118,NIC,0.2588428229579956,0.6810893076174943
119,NLD,1.1983631606359502,1.9779880893576762
120,NOR,0.12022707601544368,0.2935789849430723
121,NPL,0.5536458467607294,1.0527013488691441
122,NZL,0.3764796119288242,0.640382948553926
123,OMN,0.057232685000765865,-2.6416053303766507
124,PAK,0.8331768285768624,1.4214765437730532
125,PAN,0.051302010296510596,2.996768897408046
126,PER,0.41505532253027,-0.7641607829093015
127,PHL,0.25400803742839306,1.422444614295332
128,PNG,0.20536985601671592,0.14663060276958703
129,POL,1.0907716724583136,2.4161511975302363
130,PRI,0.5237128115770902,2.4550688176295337
131,PRK,0.2060661343735311,0.8749140855172993
132,PRT,0.7976768430587381,1.1860030887475776
133,PRY,0.5087065343192996,1.324176638184902
134,PSE,0.4099671396630786,0.4066765115303002
135,QAT,0.9282593242036681,1.403484531702187
136,REU,-0.015328421794571067,0.2262212117664228
137,ROU,1.885949229555873,2.0837164951828973
138,RUS,1.3035111287211592,2.1800905173667693
139,RWA,0.13165958625959287,0.6482660989746464
140,SAU,0.5713475312829716,-1.11253727863392
141,SDN,0.7620270492109014,0.5595785559876731
142,SEN,0.18921712926412332,-1.3984907479549091
143,SGP,0.4933163635547639,1.658082878546631
144,SLE,0.11092370996976043,1.3560758724493522
145,SLV,0.020954437308702552,1.410712754419438
146,SOM,0.14593694424673329,-3.624441828781566e-05
147,SRB,1.7354224189213887,2.599387043093586
148,SSD,0.2002144601525925,0.7310177963053213
149,SUR,0.11013060092574121,1.4311497701642804
150,SVK,1.1218024377172446,1.4579254802868984
151,SVN,1.3681751975312713,2.28495085825961
152,SWE,0.6684966973662836,1.5264581151818133
153,SYR,1.468747482881137,-1.7143721457776788
154,TCD,-0.08804404557183355,-0.12568749486984887
155,TGO,0.19617139818219226,2.7605924408205857
156,THA,0.5207256121542156,2.219767278776817
157,TJK,1.0712929014119275,1.4225442977160534
158,TKM,2.034548489495745,0.43606929444961773
159,TLS,-9999.0,-9999.0
160,TUN,0.8703479689753036,-0.9723777090736261
161,TUR,1.2392592253902457,1.686687965086615
162,TWN,0.6092806287880622,3.028064137980371
163,TZA,0.15236695638621156,1.390973573937694
164,UGA,0.5550549258743273,1.5954264631598691
165,UKR,1.6138517388758815,1.629549683240067
166,URY,1.730557584423302,-0.5629111161059747
167,USA,0.7280059320215233,2.0160369730991254
168,UZB,1.3477700658453156,1.6892744116468608
169,VAT,2.3405848984027866,0.9394422508940317
170,VEN,0.07142291098134976,1.0282931811620666
171,VNM,0.14123519715579771,1.2214366029366817
172,YEM,0.3854579874418967,-0.5575619346671112
173,ZAF,0.7133653693744191,1.6519197270521535
174,ZMB,0.37340909755594803,1.9338743055840304
175,ZWE,0.5253409907918932,0.6607543827896242
