,pop-averaged_summer_nighttime_uhi_2010,pop-averaged_summer_daytime_uhi_2010,pop-averaged_summer_nighttime_uhi_2015,pop-averaged_summer_daytime_uhi_2015,pop-averaged_summer_nighttime_uhi_2020,pop-averaged_summer_daytime_uhi_2020
global,0.49369073108385325,1.0480739579232554,0.47756750692812455,0.9655857293039678,0.4330811435249613,0.9503855784525541
AFG,0.03780692511813532,0.006380163994704571,0.03630108480560396,0.007247262464966909,0.03651449310651862,0.006309162929463513
AGO,0.027789603948874787,0.050643221442545495,0.04096535267411438,0.08596809791243018,0.007926290515843376,0.09558350823649156
ALB,0.8335688413653568,1.2571000309284377,0.7762089168429029,0.8250680880018326,0.6725118227640228,0.9221795477817669
ARE,0.03768335249857421,0.0006367174620534482,0.03723212533019204,0.008913402765923008,0.029954619304342067,0.015246627926419877
ARG,0.9730880598961162,1.143107091304384,1.1313935426327564,1.1280648817952905,1.4306447909038245,0.8270118832650428
ARM,-0.3176894408519383,-1.070070969492699,-0.15203268999950953,-1.6577083633531906,-0.23336242983084995,-1.828511351246433
AUS,0.4131120439773839,0.23190504187306565,0.39242197634967124,0.5636709308440521,0.32004208547162216,0.23565242568681077
AUT,0.9476868011220839,1.5955139269619745,1.3475323433757616,0.878343593098371,0.9545568192721421,1.2135657050945796
AZE,0.46776382227860364,-0.5095691888394676,0.4063988193096656,-0.47098502254735025,0.5164890501707939,-0.6252539783243696
BDI,0.004418713205575343,1.352780638715195,0.0034038915189383485,1.5327036311566293,-0.03641791518233582,1.2904907105026073
BEL,0.6719162762260054,1.3620345413156205,0.5786066207324905,1.4342202136112108,0.6886532597436981,1.2848733996910415
BEN,0.20051440938365098,1.6016019172755924,0.2777186096994197,1.4677289196470877,0.22244462284971087,0.9900065383865958
BFA,-0.006847526860293815,0.2120402010431808,0.0016535862033148045,0.11697218911401691,-0.006176457050659091,0.1807751519497961
BGD,0.12618364436836887,0.7983746032553373,0.05241192784893964,1.4337489574618356,0.30072678832429767,0.5980883591398147
