,country,urban_built_area_2015,urban_population_2015,urban_built_area_2020,urban_population_2020,,,arearate,poprate,rate_ratio
0,AFG,130070818.3,3181263.509,142564288.4,3615488.431,,,0.096051292,0.136494484,0.703700901
1,AGO,535555229.2,5358001.634,618483923.2,11835423.13,,,0.154846204,1.208924882,0.128085877
2,ALB,32827264.49,627724.3604,35603813.55,744328.9154,,,0.08458058,0.185757575,0.455327755
3,ARE,255559417.9,1103653.251,307795117.5,1633668.39,,,0.204397474,0.480237012,0.425617913
4,ARG,1464033140,17912615,1524018330,19021243.73,,,0.040972563,0.061890948,0.662012205
5,ARM,73229151.99,965679.8666,75201770.99,960693.5351,,,0.026937619,-0.005163545,-5.216884644
6,AUS,1728889631,10512754.88,1883257691,10921764.94,,,0.0892874,0.038906079,2.294947302
7,AUT,152991838.5,1952760.614,158284565.2,2058018.226,,,0.034594831,0.053901954,0.641810333
8,AZE,199332296.8,1932840.909,218118643.8,2128035.676,,,0.094246378,0.100988533,0.933238412
9,BDI,30828974.4,558805.2737,32109054.55,718840.2833,,,0.041521983,0.286387794,0.14498517
10,BEL,597152498.9,3753011.392,649664768.2,4135619.949,,,0.087937787,0.101947081,0.862582686
11,BEN,165739159.7,1658852.21,172082838.8,2025998.164,,,0.038275077,0.221325294,0.172935845
12,BFA,167692130.5,1909715,177790692.5,2748388.056,,,0.060220846,0.439161371,0.13712692
13,BGD,339228589.9,19080480.14,344002603.3,22046142.16,,,0.014073146,0.155429109,0.090543823
14,BGR,88361409.84,817816.1675,92273550.92,830515.1994,,,0.044274317,0.015527979,2.851260834
15,BHR,52338833.93,1006540.137,69825355.22,1712859.943,,,0.334102233,0.701730392,0.476111961
16,BHS,17846504.71,122477.7977,18495553.39,133112.245,,,0.036368392,0.086827552,0.418857737
17,BIH,26277821.89,226478.0372,28958526.93,223090.8813,,,0.102013974,-0.014955781,-6.821039597
18,BLR,222741135,3018891.565,233934551.5,3126260.876,,,0.050253028,0.035565806,1.412959089
19,BOL,268987353.8,2708829.358,284934746.5,2832139.209,,,0.059286775,0.045521454,1.30239195
20,BRA,4548801497,78296428.08,4741295836,84253727.2,,,0.042317595,0.076086474,0.556177636
21,BWA,44676883.65,97207.72604,48117774.31,106372.0658,,,0.077017249,0.094275838,0.81693518
22,CAF,35324284.48,663067.6476,38639418.13,760328.247,,,0.093848572,0.14668277,0.639806377
23,CAN,2304348976,15927802.09,2388051988,17383269.54,,,0.036323931,0.091379051,0.397508294
24,CHE,595463855.6,2040496.901,615243489,2134026.948,,,0.033217186,0.045836898,0.72468224
25,CHL,426933942.6,6765154.603,440244348.9,7649470.816,,,0.031176735,0.130716335,0.238506801
26,CHN,21863558700,345856834.1,25366326265,390744178.7,,,0.160210312,0.129785912,1.234419898
27,CIV,226289479,4758144.79,250579727.4,5465329.942,,,0.107341484,0.148626236,0.722224328
28,CMR,328380193.9,3975795.641,353579771.2,5474416.308,,,0.076739029,0.376936041,0.203586341
29,COD,550335329.4,10983712.64,643497174.2,14270687.62,,,0.169281963,0.299259011,0.565670395
30,COG,249347387.8,829271.6211,282469517.3,776025.6065,,,0.132835278,-0.064208172,-2.068821994
31,COL,519624825.3,16233271.57,546472634.5,17447495.19,,,0.05166768,0.074798454,0.69075866
32,CPV,4515066.416,4934.439503,4528617.427,4831.098204,,,0.003001287,-0.020942865,-0.143308349
33,CRI,99537331.86,1277783.269,103100814.7,1340094.799,,,0.035800466,0.048765336,0.734137582
34,CUB,110263188.8,1165307.356,117532757.6,1212781.846,,,0.065929245,0.040739887,1.618297197
35,CUW,20930260.69,92892.0252,26876774.44,106278.9677,,,0.284110831,0.144112936,1.971445716
36,CYP,44419545.4,364662.6106,45761498.04,396347.3681,,,0.030210859,0.08688787,0.34769939
37,CZE,125048991.1,1264843.555,133402605.6,1335542.2,,,0.066802734,0.05589517,1.195143228
38,DEU,2069621897,18539725.77,2147760481,18640328.74,,,0.037755005,0.005426346,6.957721109
39,DJI,11454522.56,265320.5006,11647276.61,290145.9121,,,0.016827768,0.093567634,0.179846038
40,DNK,125191619.6,1415538.961,128903775.8,1527701.708,,,0.029651795,0.079236778,0.37421758
41,DOM,153282160,3400445.995,193564839.1,4433811.393,,,0.262800831,0.303891137,0.864786102
42,DZA,424300918.1,7814691.223,457295480.7,8952734.528,,,0.077762176,0.145628698,0.533975631
43,ECU,304493625.5,4242689.676,321846706.4,4789985.486,,,0.056989964,0.12899737,0.441791676
44,EGY,669523469.9,24258702.4,853275932.8,28072102.95,,,0.274452609,0.157197219,1.745912625
45,ERI,12212511.42,145491.0795,12336345,147355.5692,,,0.010139894,0.012815147,0.791242903
46,ESH,5776497.125,168.5026005,5900868.945,181.4106775,,,0.021530664,0.076604616,0.281062229
47,ESP,717684114,15081328.85,736922207,16225377.73,,,0.026805795,0.075858626,0.35336515
48,EST,18780495.55,277629.0696,21188369.82,288410.3431,,,0.128211434,0.038833374,3.30157856
49,ETH,185467990.4,4090114.763,211802567.9,4723224.061,,,0.141989879,0.154790106,0.917305911
50,FIN,73621165.21,622751.9037,82671729.78,713972.9725,,,0.122934275,0.146480594,0.839252979
51,FJI,20112884.54,170850.2396,23348298.39,197595.8166,,,0.160862746,0.156543984,1.027588176
52,FRA,2016357503,20839380.16,2098054721,21517015.1,,,0.040517228,0.032517039,1.246030682
53,GAB,61739091.03,394980.5294,66853547.08,466582.1072,,,0.082839834,0.181278753,0.456974867
