,country,urban_built_area_2015,urban_population_2015,urban_built_area_2020,urban_population_2020,,,arearate,poprate,rate_ratio
54,GBR,2214221322,29937127.47,2262559551,31336772.36,,,0.021830803,0.046752812,0.466940958
55,GEO,59524358.73,964056.0818,62727633.29,973577.3067,,,0.053814516,0.009876215,5.448900976
56,GHA,708177064.6,6779902.564,752415969.3,8583256.776,,,0.062468706,0.26598527,0.234857764
57,GIN,124464981.6,1387383.024,128951534.9,1700639.021,,,0.036046712,0.225789123,0.159647689
58,GLP,15799212.2,56094.63787,16311865.23,58474.72206,,,0.032448012,0.042429799,0.764745845
59,GMB,905275.098,25122.09083,921953.4235,24998.19321,,,0.018423489,-0.00493182,-3.735637243
60,GNB,18736099.26,244753.2052,19292637.25,289195.3039,,,0.029704048,0.18157923,0.163587256
61,GNQ,23702915.98,32032.12166,25826990.69,52504.25583,,,0.08961238,0.63911265,0.140213748
62,GRC,216769254.8,3963547.968,219348791.5,3941582.307,,,0.01189992,-0.005541919,-2.14725623
63,GTM,116271929.1,1700424.933,135287124.4,1970358.141,,,0.163540722,0.15874456,1.03021308
64,GUF,7264922.537,39074.76656,7565627.929,42569.12313,,,0.041391411,0.089427446,0.462849076
65,GUM,1661589.788,14358.6652,1663270.627,14707.14273,,,0.001011585,0.024269493,0.041681338
66,GUY,14463704.79,122932.7508,15203344.34,127042.7406,,,0.051137628,0.03343283,1.529563252
67,HKG,1547331350,3583582.573,1664958881,3810318.227,,,0.076019614,0.063270665,1.201498565
68,HND,71331592.46,773628.5976,87449090.42,959534.427,,,0.225951747,0.240303719,0.940275698
69,HRV,54282536.65,525333.8809,58115880.04,540222.772,,,0.070618354,0.028341768,2.491670718
70,HTI,77302105.39,2572096.643,92983779.33,3261694.151,,,0.202862184,0.268107153,0.756645922
71,HUN,218623471.6,2307902.496,225424690.7,2362553.398,,,0.031109282,0.023679901,1.313742071
72,IDN,2897179140,56067657.77,2946098886,63347965.63,,,0.016885303,0.129848618,0.130038371
73,IND,6239164443,163273223.9,6652524734,180233682.1,,,0.066252508,0.103877769,0.637792942
74,IRL,82027899.04,1124757.73,84804705.14,1235482.833,,,0.033851972,0.098443514,0.343872035
75,IRN,1278754228,12782420.69,1345057354,13862985.09,,,0.051849781,0.084535192,0.613351427
76,IRQ,528721425.3,4451802.062,578006809.7,5348368.245,,,0.093216166,0.201393991,0.462854755
77,ISL,11778868.34,66281.22677,11809345.08,77012.51868,,,0.002587408,0.161905451,0.015980983
78,ISR,175499317.1,2268150.73,182703835.7,2531085.586,,,0.041051548,0.115924772,0.354122307
79,ITA,1397854338,18792723.28,1472835732,19512150.68,,,0.053640349,0.038282233,1.401181307
80,JAM,44079888.68,458862.2303,46981997.27,478408.2263,,,0.065837476,0.042596655,1.545602013
81,JOR,137106180.4,2284375.287,147999269.7,2541565.79,,,0.079450024,0.1125868,0.705677971
82,JPN,6845355324,71865468.7,7181856605,73854746.28,,,0.049157606,0.027680576,1.775888107
83,KAZ,925326138.5,2459570.449,993723475.6,3001450.119,,,0.073917005,0.220314759,0.335506372
84,KEN,233944995.5,5465106.866,276835430,6681204.77,,,0.183335551,0.222520425,0.82390437
85,KGZ,119378504,1100438.444,124796872.7,1150252.224,,,0.045388144,0.045267212,1.00267152
86,KHM,93376115.87,1804501.714,102837352.8,2357942.649,,,0.10132395,0.306700143,0.33036812
87,KOR,1141390439,25754187.12,1222969109,26881544.45,,,0.071473063,0.04377375,1.632783648
88,KWT,118036233.3,1334783.523,139901297.4,1657108.149,,,0.185240273,0.241480825,0.767101374
89,LAO,37423899.08,361973.1413,40007095.2,414894.7382,,,0.069025307,0.146203104,0.472119299
90,LBN,64867417.36,3421702,68592188.93,4590749.363,,,0.057421302,0.341656685,0.168067258
91,LBR,63523873.85,866962.5155,66683595.99,1018453.763,,,0.049740703,0.174737944,0.284658854
92,LBY,311023181.8,1604884.472,380887600.9,1926117.842,,,0.224627691,0.200159809,1.122241731
93,LKA,176481795,2799571.997,198657589.6,3145988.95,,,0.125654856,0.123739255,1.015480949
94,LSO,32162641.26,176603.4848,33341162.76,183050.7548,,,0.03664256,0.036507037,1.00371223
95,LTU,73575416.28,375508.1531,79022854.95,368757.3937,,,0.074038843,-0.017977664,-4.118379494
96,LVA,29399753.85,340150.4669,30775434.65,374853.3836,,,0.046792256,0.102022252,0.458647549
97,MAC,40457678.15,373719.5909,46073919.06,414895.7963,,,0.138817677,0.110179413,1.25992391
98,MAR,212983580.4,7074910.29,262243491.5,8107640.545,,,0.231285017,0.145970792,1.584460937
99,MDA,44993057.91,282198.84,45994188.96,273998.6658,,,0.022250789,-0.029058143,-0.765733353
100,MDG,88301105.88,1051487.853,89366459.44,1321337.3,,,0.012065008,0.25663582,0.047012175
101,MEX,3732340071,56606567.01,4029128539,63910627.44,,,0.079518067,0.129032033,0.616266092
102,MKD,25702887.42,151683.9689,27412841.48,152258.6017,,,0.066527703,0.003788355,17.56110381
103,MLI,171537275.6,3281865.224,187200940.8,4704950.101,,,0.091313478,0.433620756,0.210583734
104,MLT,18337978.79,205230.7725,19240667.99,211830.1621,,,0.04922512,0.032155946,1.53082482
105,MMR,188970308.2,5238832.587,195114581.1,5596362.55,,,0.032514488,0.068246113,0.476429891
106,MNE,6857763.922,29764.23871,7444716.949,33175.34255,,,0.085589564,0.114604102,0.746828107
107,MNG,60092037.89,579290.9903,61643994.01,732657.9562,,,0.025826319,0.264749441,0.097550041
108,MOZ,295171813.1,3023031.799,319400424.5,3637422.384,,,0.08208308,0.20323656,0.403879497
109,MRT,47926280.82,799015.8793,53175135.57,1042131.865,,,0.109519342,0.304269279,0.359942163
110,MUS,30215881.73,366455.562,30896243.78,372017.6672,,,0.022516704,0.015178117,1.483497862
111,MWI,84313403.78,1330175.148,93033341.5,1793461.388,,,0.103422912,0.348289653,0.296945117
112,MYS,776579542.3,9971571.257,833255763.7,11880750.54,,,0.072981863,0.191462231,0.381181511
113,NAM,26319519.43,294280.439,27977533.1,350551.761,,,0.062995591,0.191216658,0.329446144
114,NCL,10288914.65,44534.03754,10366918.11,49640.01267,,,0.007581311,0.114653317,0.06612378
115,NER,76770500.19,706046.7147,89596797.72,963982.378,,,0.167073257,0.365323792,0.457329254
116,NGA,2714364848,32205936.47,2894223281,38559877.82,,,0.066261701,0.197290998,0.335857702
117,NIC,68133173.8,708394.6117,71652185.02,738819.7036,,,0.051649014,0.042949355,1.202556201
118,NLD,648820658.2,5161460.05,677471466.4,5389908.443,,,0.044158286,0.044260421,0.997692412
119,NOR,63730561.52,594854.3884,69119488.25,676270.8559,,,0.084557967,0.136867894,0.617807176
120,NPL,107831549.3,3504258.667,113100086.9,6631707.737,,,0.048858963,0.892470953,0.054745717
121,NZL,315167971.2,1703290.492,347976578.2,1833223.267,,,0.104098798,0.076283391,1.364632542
122,OMN,55313966.89,33009.83653,60937587.87,35913.16529,,,0.101667288,0.087953442,1.155921642
123,PAK,1111354841,30056585.58,1210262505,37606712.34,,,0.088997375,0.251197087,0.354293022
124,PAN,83392142.5,1014102.839,99016767.54,1247884.716,,,0.187363276,0.230530739,0.812747477
125,PER,492168655.9,11297708.6,517684769.2,13017714.64,,,0.051844247,0.152243796,0.340534382
126,PHL,658011030.4,22050834.47,672105674.3,24314513.95,,,0.021420072,0.102657316,0.208656074
127,PNG,12966421.93,68055.42893,13009200.87,71813.43235,,,0.003299209,0.055219745,0.05974691
128,POL,609097008.9,7157740.763,680628934.1,7382230.269,,,0.117439298,0.031363179,3.744495969
129,PRI,141178946.3,1156156.303,146605203.3,1140765.557,,,0.038435313,-0.013311994,-2.887269508
130,PRK,127341972.1,1147208.193,145447690.1,1195568.423,,,0.142181857,0.042154712,3.372858002
131,PRT,186769418.8,2766750.186,202358469.1,2865940.909,,,0.083466824,0.035850987,2.32815975
132,PRY,176310899.8,1908067.449,184737199.5,2122212.25,,,0.047792279,0.112231253,0.425837527
133,PSE,114242376.5,2463626.173,119788250.6,2883084.749,,,0.048544807,0.170260643,0.285120543
134,QAT,100873974.7,1869987.96,118934747.8,3844046.279,,,0.179042941,1.055652957,0.169603978
135,REU,12910564.02,49887.53696,15234890.18,63148.50783,,,0.180032891,0.26581731,0.677280539
136,ROU,290978263.4,4247189.715,312445693.9,4178377.079,,,0.07377675,-0.016201922,-4.553580158
137,RUS,2852648704,41048564.66,3081856325,42266695.45,,,0.080349053,0.029675356,2.707601949
138,RWA,84174340.76,776520.2317,93343032.04,1049697.898,,,0.108925014,0.35179723,0.309624423
139,SAU,936226050.2,3444432.166,1130787489,4749891.922,,,0.207814596,0.379005796,0.548315087
140,SDN,383182355.6,2408456.529,436827702.4,3031093.885,,,0.139999522,0.258521318,0.541539567
141,SEN,160951094.7,2633995.585,179310728.1,3110170.9,,,0.11406964,0.180780605,0.630983837
142,SGP,163643410.5,2942555.346,171347727.8,3294825.436,,,0.047079911,0.119715706,0.393264282
143,SLE,60099162.56,1173338.063,62848994.28,1362096.475,,,0.045754909,0.160872999,0.284416337
144,SLV,68652302.06,930630.683,73638977.49,957445.567,,,0.072636682,0.028813669,2.520910584
145,SOM,73782054.69,490958.6199,80258341.54,561821.2455,,,0.087775908,0.14433523,0.608139175
146,SRB,79515166.03,1339488.485,83517351.93,1367458.55,,,0.050332359,0.020881154,2.410420416
147,SSD,35633386.17,9599.743836,41526670.44,11932.18136,,,0.165386591,0.242968726,0.680690861
148,SUR,30623033.84,161389.7904,31666982.82,173250.5198,,,0.034090318,0.0734912,0.463869391
149,SVK,33704108.75,379757.3224,34769002.18,375970.0168,,,0.03159536,-0.009972963,-3.16810171
150,SVN,31168720.77,214866.9854,31903906.86,227085.7239,,,0.023587304,0.056866524,0.414783644
151,SWE,149514376.4,1946175.675,157790107.7,2186205.113,,,0.05535074,0.123333901,0.448787714
152,SYR,185722347.7,4841967.294,194186110.8,5473805.628,,,0.045572131,0.13049207,0.349232953
153,TCD,72760951.58,525166.9459,77762648.34,672088.4069,,,0.068741497,0.27976144,0.245714697
154,TGO,111725807.9,1499367.04,117204061,2062064.239,,,0.049033014,0.375289828,0.130653725
155,THA,1101004608,14946898.36,1147778583,17919799.65,,,0.042482997,0.198897539,0.21359237
156,TJK,104464858.1,1135886.496,107658738.6,1283134.103,,,0.030573731,0.129632324,0.235849597
157,TKM,99026513.41,807618.8172,109362967.9,1044095.459,,,0.104380677,0.292807246,0.356482562
158,TLS,8245438.278,176706.2239,8345596.851,233984.7091,,,0.01214715,0.324145262,0.037474401
159,TUN,268270380,2573263.979,278765380.1,2852766.084,,,0.03912098,0.108617735,0.360171197
160,TUR,1042805798,24960864.88,1142975205,29095983.31,,,0.096057586,0.165664069,0.579833555
161,TWN,647262444.4,12862851.79,685770751.3,13527673.96,,,0.059494116,0.051685441,1.151080749
162,TZA,450223281.8,7350463.095,487714402.4,9453795.681,,,0.083272283,0.28614967,0.291009538
163,UGA,171373711.5,2744266.008,179368794.5,3420666.943,,,0.046652914,0.246477905,0.18927828
164,UKR,904010676.3,10850210.98,943598139.9,10846989.05,,,0.043790925,-0.000296947,-147.470537
165,URY,111515712.9,1375171.694,116839207.2,1412524.605,,,0.047737616,0.027162362,1.757491348
166,USA,22426142296,146018794.5,23525622363,156831190.5,,,0.049026714,0.074047975,0.662093922
167,UZB,912113584.2,2983359.897,968447302.3,3768453.758,,,0.061761736,0.26315761,0.23469485
168,VAT,111093077.9,620.1342857,113934861.1,635.1771293,,,0.0255802,0.024257397,1.054531931
169,VEN,692379308.9,6631636.275,719862884.2,7412169.525,,,0.039694391,0.117698441,0.337255032
170,VNM,1049466231,18736594.88,1118485914,22020088.06,,,0.065766464,0.175244926,0.37528313
171,YEM,68144094.83,2281585.586,72492135.43,2647688.023,,,0.063806565,0.160459655,0.397648647
172,ZAF,1592930126,18709339.44,1735654850,22080240.71,,,0.08959886,0.180172116,0.497295932
173,ZMB,237247922.8,2384951.59,247777882.5,3107593.807,,,0.04438378,0.30300079,0.146480741
174,ZWE,147882134.7,1568249.173,184677858.5,1753486.358,,,0.248817911,0.118117189,2.106534303
,GLOBAL,1.25754E+11,1675339967,1.3585E+11,1877121169,,,0.080286896,0.120441944,0.666602461
