,country,urban_area_sqmeters_2020,urban_population_2020,urban_popdensity_persons-per-sqmeter_2020
133,PSE,400847559.6,2883084.749,0.007192472
134,QAT,362095606.5,3844046.279,0.010616109
135,REU,43624926.7,63148.50783,0.001447533
136,ROU,1095878490,4178377.079,0.003812811
137,RUS,11471278007,42266695.45,0.003684567
138,RWA,325536176.6,1049697.898,0.00322452
139,SAU,3488184286,4749891.922,0.001361709
140,SDN,1331470592,3031093.885,0.002276501
141,SEN,527337764.6,3110170.9,0.005897872
142,SGP,578089911.1,3294825.436,0.005699503
143,SLE,205318780.1,1362096.475,0.006634057
144,SLV,219625893.4,957445.567,0.004359438
145,SOM,234059770.1,561821.2455,0.002400332
146,SRB,310344268.3,1367458.55,0.004406263
147,SSD,154962941.9,11932.18136,7.70E-05
148,SUR,118015910.5,173250.5198,0.001468027
149,SVK,126483001.1,375970.0168,0.002972494
150,SVN,110754868.9,227085.7239,0.002050345
151,SWE,675258016.1,2186205.113,0.003237585
152,SYR,613332985,5473805.628,0.008924688
153,TCD,231539812.4,672088.4069,0.00290269
154,TGO,326800958.2,2062064.239,0.006309848
155,THA,4325344038,17919799.65,0.004142977
156,TJK,349383633.4,1283134.103,0.003672565
157,TKM,373715245,1044095.459,0.002793826
158,TLS,26328151.88,233984.7091,0.008887244
159,TUN,823926795.2,2852766.084,0.003462402
160,TUR,3925163202,29095983.31,0.007412681
161,TWN,2370103485,13527673.96,0.00570763
162,TZA,1906055654,9453795.681,0.004959874
163,UGA,691764379.9,3420666.943,0.004944844
164,UKR,3472636372,10846989.05,0.00312356
165,URY,317491733.8,1412524.605,0.004449012
166,USA,96984788304,156831190.5,0.00161707
167,UZB,3012900503,3768453.758,0.001250773
168,VAT,415065512,635.1771293,1.53E-06
169,VEN,2228739853,7412169.525,0.003325722
170,VNM,3889727873,22020088.06,0.005661087
171,YEM,264505161.5,2647688.023,0.010009967
172,ZAF,5577649929,22080240.71,0.0039587
173,ZMB,782256593.1,3107593.807,0.003972602
174,ZWE,708953352.3,1753486.358,0.002473345
