,urban_built_area_2000,urban_population_2000,landconsumption_perperson_2000,urban_built_area_2005,urban_population_2005,landconsumption_perperson_2005,changerate_landconsumptionperperson_2000-2005,urban_built_area_2010,urban_population_2010,landconsumption_perperson_2010,changerate_landconsumptionperperson_2005-2010,urban_built_area_2015,urban_population_2015,landconsumption_perperson_2015,changerate_landconsumptionperperson_2010-2015,urban_built_area_2020,urban_population_2020,landconsumption_perperson_2020,changerate_landconsumptionperperson_2015-2020
BGD,257278091.56078494,23566354.4820046,10.917178206635393,284961177.2901969,26918186.115280196,10.586195372519464,-0.006157340385529153,314635598.2274517,29964828.27212811,10.500163570772441,-0.0016319987599641371,341104077.1411767,33222287.090533245,10.267326756031043,-0.00448482830954271,345922395.30196095,35882921.99181949,9.640307313345986,-0.012602741314220012
BGR,71164958.11764702,2029121.446446186,35.071808167167966,76856229.10588236,2065778.2430340438,37.204491510667815,0.011806374380058316,82224387.8470588,2102261.315805924,39.112353554171364,0.01000177424852584,88361409.84313726,2137087.4984185738,41.346650480396306,0.011110609863929888,92273550.92156863,2158878.6811263775,42.741424855529935,0.0066354346001005204
BHR,46218232.69803917,541426.7108154309,85.36378382298669,47739477.14117647,685521.5852869323,69.63964106424834,-0.040717594621646216,49457682.909803994,925659.6978796348,53.429659974496445,-0.05299358774402245,52338833.925490275,1036924.825425026,50.475051461938975,-0.011377367650895743,69825355.21568623,1404826.3304868897,49.703905529365976,-0.0030791343312871256
BHS,13146640.341176491,186454.69773233368,70.50849617127503,14258763.792156884,199619.85928144897,71.42958543044108,0.002595785933490724,15793686.760784304,216332.22263879253,73.00663104245383,0.0043676255857480585,17846504.713725507,240752.0148935962,74.12816346153126,0.0030490521152341187,18495553.38823529,256117.98959217468,72.21497177018445,-0.005229628831521715
BIH,15957345.78039218,523072.112867158,30.506971004292073,18959690.564705867,530255.5268942881,35.75576227512981,0.031751244731355044,22680091.301960792,520082.18688129983,43.608667772228756,0.039708898807836325,26277821.890196018,498707.60380902945,52.69184125024612,0.03784093917291846,28958526.9254902,439482.91837834043,65.89226956156801,0.04471210009209026
BLR,163578528.37254894,4518885.538839704,36.19886517739733,179452095.74901962,4636881.784143434,38.70102886010272,0.013367683113010731,201640287.28235286,4833696.313006576,41.71554732136904,0.015001542309266558,222741134.95686242,5062229.969744398,44.000595841778605,0.010665855784825151,233934551.50588226,5287996.645128858,44.23878591552732,0.0010797476026517927
BOL,206901227.49803945,3987591.450140643,51.88626520170265,226879615.03529376,4512936.620593453,50.27316670036882,-0.006316529185717723,249068904.02745077,5023300.519479178,49.58272017802243,-0.00276581600749104,268987353.8,5554503.649548023,48.42689298113754,-0.004717418001141826,284934746.48627484,6263917.153302238,45.488268684406485,-0.01252016758342478
BRA,3483539339.6470623,74601678.76744041,46.69518698776841,3878104858.2548985,83314304.69032367,46.54788721660317,-0.0006318963417067281,4237714337.156863,90627030.20234385,46.75993826229633,0.000909040199642952,4548156775.792162,96762178.1222292,47.00345593757684,0.0010388626601470995,4749407548.77255,101117542.04856302,46.96917520494698,-0.00014591794965710392
BWA,35048030.88627453,173777.85242148588,201.68295555447432,38399620.25882353,221527.39398945213,173.34027890316761,-0.030288068949129256,41850470.55294111,254682.60167342008,164.32402636834234,-0.01068326872087635,44676883.65490199,287862.3880965815,155.2022268359433,-0.011422258655890439,48117774.305882394,336698.9573033455,142.91037516499102,-0.016502253828409152
CAF,31061842.827451028,781353.4579448019,39.7538943631902,32153080.376470633,875813.2969926794,36.712254183484255,-0.015919441383458466,33614407.7137255,986648.6612804887,34.06927818672573,-0.014942911104060297,35324284.48235299,1070628.4650815187,32.993970956734614,-0.0064142397541053775,38639418.12941175,1184859.2391299605,32.610977619404466,-0.0023351756026491976
CAN,1891567202.1960752,18675478.150673494,101.28614576477977,2012215683.3097975,20474301.477854628,98.28006515808347,-0.006025685369960243,2174701654.8666663,22289145.89827531,97.56774282835757,-0.0014548551308212864,2304348975.8548975,23586799.99465516,97.69654961152297,0.00026386145718504395,2388051988.415681,25052670.756552972,95.32125383442575,-0.004922687235127299
CHE,407715809.2980406,6684808.951893602,60.991392907728084,453955781.6980382,7200209.445364253,63.04758009370281,0.006631385315947647,558304095.1686279,8331469.513152424,67.01147910188766,0.012194850734076645,595463855.6196071,8833357.187701164,67.41082048042637,0.001188322338182246,615243489.0196073,9123514.067033112,67.43492523815215,7.150320643525276e-05
CHL,270705819.43921536,8400498.137325864,32.22497225925096,325537061.7490208,9365797.58385111,34.75807146529892,0.015134025888631353,384138661.07843137,10202773.896951558,37.65041399116043,0.015986426508830486,426933942.611765,10764757.732787909,39.66033915574202,0.01040154493409604,440244348.9490194,11523449.469453892,38.20421568350775,-0.007481161381312695
CHN,10022537799.796074,343518043.7454881,29.176161142853253,12920059314.952944,406094863.78023136,31.815372385366995,0.01731952094105633,17307382578.658806,467699622.1561009,37.005337953602705,0.030222517985581555,21877151808.98822,524058450.13772076,41.74563315072771,0.024106535875903036,25380582220.180428,576954296.3502084,43.99062868711968,0.010476355243193503
CIV,178167103.5529411,4751405.179693791,37.49777104137081,191780469.98431394,5436108.464366078,35.27899990249331,-0.012198721802245594,208005961.9607842,6127347.2697614115,33.94714756699005,-0.007696610294443129,226289478.9921571,6876591.973390349,32.907213321338034,-0.006222589640261145,250579727.40000036,8017119.034862714,31.255582748658956,-0.010298775088884948
CMR,242386052.75686288,5849531.807758435,41.43682959982848,266393403.529412,7194975.301248263,37.02492258495942,-0.02251576399256443,297723848.9450981,8861263.313019086,33.59835256307961,-0.019422846871932454,328380193.9176472,10801108.373106405,30.402453394068193,-0.019990745199666815,353579771.2039213,13003119.937080014,27.19191801004962,-0.02232070234840382
COD,454704970.501961,14917134.678768106,30.48205840422912,479945326.9803922,17042385.008416448,28.161863890727112,-0.015833908616906634,512081453.54901993,19847279.60112377,25.801090317688953,-0.017510393398129497,550335329.4078429,23728111.019793723,23.19338985512835,-0.021309886674580003,643497174.1960794,29214384.374239136,22.026723751998922,-0.010322177169914593
COG,228543668.2941178,7365725.81746082,31.027990174755576,234445316.09803924,7796109.503627265,30.072091212797844,-0.006258433313380163,241065180.22745088,8647336.59522412,27.877390636163042,-0.015156310113828475,249347387.8117643,10567967.22198098,23.594640537219966,-0.03335927969485928,282469517.31764764,13625815.055878844,20.730467583719072,-0.025883021654362803
COL,420761134.7647062,19254694.793378,21.85239180781057,452823777.41176504,21531210.92122083,21.031040895404022,-0.007662179241953115,491133724.7411766,23691633.50436715,20.730260100074755,-0.0028810021646958894,519624825.286275,25693933.42999314,20.223638653928504,-0.004948464558414934,546472634.470589,27889401.353427425,19.59427624657247,-0.006322931052393432
CPV,4444829.31372549,13809.860732321897,321.85909763176636,4460288.635294115,14684.758979447768,303.7359102411259,-0.011591051448038847,4486901.552941175,15278.58852163457,293.6725173655732,-0.006738669509413953,4515066.41568627,15507.474998999047,291.1541960233824,-0.0017224499839146646,4528617.427450977,15617.266901824956,289.97502930053565,-0.0008116393323657434
CRI,89919564.10588208,1630518.3747089487,55.1478385651023,93091258.63529362,1742462.2771337344,53.42512136815048,-0.006347296010272086,96329020.65098043,1839945.0493441469,52.35429214873409,-0.004049429905136304,99537331.86274514,1954457.6275735407,50.928365219317,-0.0055227763247862605,103100814.67843133,2113997.4729564423,48.77054774064797,-0.008658688208881937
CUB,101104651.98431376,3657380.3808428063,27.644007857070424,103286735.10196096,3718165.370335039,27.778951395229072,0.0009739198818590645,106185152.08235312,3769242.3045281065,28.171484745034732,0.0028063394483162085,110263188.78823546,3829791.8645644234,28.790908928617743,0.004349877601197871,117532757.56470609,3912471.087670035,30.040543413881046,0.008497648259891211
CUW,9092898.325490199,80874.51963060621,112.43217724225067,13076582.501960818,107539.48952817862,121.5979595898524,0.015674003762885923,16923972.87450981,125155.58266967288,135.22347556143615,0.021241718928555642,20930260.690196086,136856.65082182013,152.93564883044039,0.02461769053847096,26876774.443137288,165008.45671074864,162.88119396359724,0.012600765324837938
CYP,35840499.066666625,410233.85433572123,87.36601986372386,38370312.37254903,443256.70739283925,86.5645386354934,-0.0018432342381771605,42034127.054901965,484633.248513967,86.73389038781674,0.00039089057456891395,44419545.400000095,515782.3110788496,86.12072272716912,-0.0014189270891179716,45761498.039215736,552336.068963454,82.85082327702123,-0.007741676754705296
CZE,103297350.06666648,1955993.797881607,52.8106736220433,110896148.4627451,2021542.5798129174,54.857191518077215,0.00760399367307949,117805803.66274509,2094743.9844670761,56.238759741666506,0.004974580744274171,125048991.12941194,2154196.605984663,58.049015016553334,0.006336309170501231,133402605.58431378,2258795.9444960104,59.059166415352756,0.003450404372414262
DEU,1740024545.176471,29012530.068631962,59.97493293622699,1839831202.262744,29582949.867135458,62.192283410744814,0.0072608481197544705,1969137755.3372588,30570202.85675806,64.41363063778124,0.0070188670904187235,2069621900.0784354,31480947.507331297,65.74204602947421,0.004082684844754247,2147760484.6078486,33163097.894595098,64.76356616122673,-0.0029990992333138065
DJI,8984793.325490197,423300.870210361,21.22554891282215,9723352.035294129,458998.58885768964,21.183838624629864,-0.00039340630990523093,10546256.752941187,496012.4580046288,21.262080382752746,0.0007373321023169232,11454522.56078432,537554.8887754434,21.308563646175482,0.000436763717876687,11647276.611764705,657880.5923289545,17.704241085046046,-0.03706096416576408
DNK,111102897.3607843,1558984.9107741765,71.26617877629855,116609451.46666645,1643089.7021141788,70.96961980628566,-0.0008339936997513675,120738289.49019608,1728264.8711595712,69.86098688055107,-0.003148905918468614,125191619.56470564,1836256.5844988807,68.17762867212306,-0.004878176024737613,128903775.84705864,1953371.2632942912,65.9904127132837,-0.0065214032293903655
DOM,124832054.46274525,3994289.4462033487,31.252631073444263,132088765.4588234,4494857.747460026,29.38663977374249,-0.012312685078549457,142595438.0941175,4978489.210129236,28.642311367069503,-0.005131019720447938,153282160.04705882,5373874.407437123,28.523584368649445,-0.0008307552438406418,193564839.14117736,6144487.0008591,31.502196865924496,0.019865203680166487
DZA,279230697.41960806,8607749.09248292,32.43945593900477,328451954.8000001,9751661.10726557,33.681641639011,0.0075154945262649875,375165800.12156886,10896956.493332902,34.42849389653955,0.004386320405578736,424300918.12941074,12198201.243773721,34.78389228460917,0.002053976355062126,457295480.69411725,13502856.830724334,33.86657256511743,-0.005345189271405282
ECU,224120462.37647042,5465706.2364262035,41.00484963549988,250694869.50196058,6210753.198425752,40.36464845608493,-0.0031471959640098747,280749291.4705883,6888823.385036282,40.75431692448734,0.001921481438247774,304493625.5411765,7509234.35954918,40.549223923736605,-0.001009025848743228,321846706.396078,8275986.922759979,38.88922365391372,-0.00835989125515999
EGY,429174539.6509799,26525742.367611226,16.17954867023875,512213777.3058812,30739940.114053838,16.662809862524902,0.005886252958086047,588010942.9843127,34800272.01727435,16.896734102895305,0.00278821463445178,669523469.9411757,39353900.555993326,17.012887172100452,0.0013701541818796237,853275932.7960758,46254190.37683387,18.447537960224114,0.01619195837552976
ERI,9999417.729411758,574220.5204963068,17.413898271641568,10546638.752941178,625700.0740585086,16.85574157684209,-0.006515458694923914,11481631.572548997,641619.3754637691,17.89477065627882,0.011963436579987618,12212511.42352941,636661.0678140162,19.182123803268233,0.013894053073002066,12336344.999999994,493169.45853819913,25.014413983716846,0.05309468492956393
ESH,5116625.30980392,755.4732715936593,6772.741673587574,5357649.462745102,891.6117538859415,6008.948894397901,-0.023931227682772872,5580853.164705878,1097.1451277315923,5086.704596906517,-0.03332392930306298,5776497.125490196,1304.39968925179,4428.471712381059,-0.027715131068001497,5900868.945098036,1241.7896550674943,4751.906992474752,0.014098294192184113
ESP,519434362.61176527,16356796.982721645,31.75648405739003,579843452.7058817,17624333.510741293,32.90016342192409,0.007076139644510882,657262810.6196083,19265744.013140514,34.11562045936619,0.0072555464800664994,717684113.9960784,20472049.414538126,35.056779097378424,0.005442729916241529,736922207.0039219,21769579.709689006,33.851007544988995,-0.007000048612932019
EST,16125112.721568633,365000.18488114164,44.178368640606585,16874808.537254877,364443.0501032834,46.30300545578395,0.009394319923799443,17688883.937254906,366526.20527973684,48.26089835446978,0.008282960654747207,18780495.5490196,394868.43741442973,47.56139961956175,-0.002920035003880006,21188369.82352944,446046.2175832824,47.50263310903048,-0.0002472713026379303
ETH,119787437.53725496,4856830.168143602,24.663707272070543,139807284.12549028,5772758.45180769,24.218453845355477,-0.0036435847447563673,162831662.929412,6957821.410261009,23.40267927677432,-0.006852876668290708,185467990.3647058,8308138.562996844,22.32365155664969,-0.009440758095243851,211802567.9450979,10101743.7711934,20.966931328141968,-0.012540045283582569
FIN,52180835.184313715,1112730.4274276006,46.89440847316889,58722673.37254898,1185902.0845631466,49.51730344093356,0.010884745386066274,66557519.56078452,1284556.4015329028,51.813621792985714,0.00906618214343764,73621165.21176459,1390188.6469043444,52.957679790943,0.004368003280669885,82671729.78431378,1488342.9775120723,55.54615504183626,0.009544239489292127
FJI,17556357.349019606,167962.0499552395,104.52573872311174,18107371.67450981,183041.46989168058,98.92496867089902,-0.011014334814323411,19668904.09019609,205220.00018232543,95.84301760413932,-0.006330010170321643,20112884.541176476,212526.12734530348,94.63723257187061,-0.002532128422913793,23348298.38823531,241278.61192682496,96.7690347759311,0.004455215363812393
FRA,1525854417.6431355,23543089.49536003,64.81113780516603,1660826284.1411748,24711273.40255186,67.20925535021867,0.007266699634666374,1885623169.4941206,27047496.458158907,69.71525710008255,0.007321644808426164,2016357504.4666712,27967607.602239374,72.0961740147277,0.00671635747730317,2098054723.9176505,28163579.12946986,74.49531589265527,0.006547054316968115
GAB,47823768.66666665,533314.4911158285,89.67273431218277,51359791.94509806,597142.9243649561,86.0092112783848,-0.00834247182946619,56817627.65490205,684520.8943772621,83.00349649164687,-0.007114333018274621,61739091.02745098,775712.8882471296,79.59013181663407,-0.008398524060474699,66853547.08235298,973766.8502401103,68.65457277157084,-0.02956047461769611
GBR,1960445980.3451,30898546.846080765,63.44783753459159,2059456653.1843147,32685030.470040217,63.009170362317874,-0.0013875670130699901,2143691862.7411757,34630145.60206442,61.902479053203365,-0.0035440097783554945,2214221321.7372556,36449363.42510479,60.7478735887111,-0.0037656298520559518,2262559550.654904,37992186.874597915,59.55328547216853,-0.003972122603355643
GEO,50783647.47450988,1372212.3274917956,37.00859295393082,54136582.156862654,1362238.549406933,39.740897202205645,0.014246137198966302,56877769.38039218,1394383.9096973347,40.79060937581966,0.005214215777629238,59524358.73333347,1420530.7915257115,41.90289931653064,0.005380625614280277,62727633.290196046,1358573.8494418326,46.17167724519913,0.0194023085648638
GHA,475789801.63137305,6644904.005765481,71.60220843198816,546111321.4156866,8427116.860125393,64.80405226130455,-0.019951556242686942,629347571.97647,10344891.064861005,60.83655864818195,-0.012635446895293967,708177064.6078424,12326363.079812502,57.45223145078853,-0.011447411333528557,752415969.2627449,14863553.172825523,50.62154119637819,-0.025315328821954263
GIN,99292430.56470586,1940298.6634577138,51.173787022953235,106668364.1882353,2235797.131022481,47.70932152482611,-0.014020126024998003,115035731.20000017,2590310.565653258,44.41001504813342,-0.014332358092089326,124464981.6274511,3041928.114581458,40.91647696434023,-0.016386433292638447,128951534.9333334,3391736.136607015,38.01932984749586,-0.014687626219327399
GLP,4872655.894117647,70067.21573624373,69.54259339289207,5740952.301960776,68180.38986654105,84.20239768646584,0.038256795500615226,14090766.317647062,116809.23645649124,120.63058320645345,0.07190188946164397,15799212.20000006,119944.8674568037,131.72061910602307,0.017590062685391317,16311865.231372615,121671.57792580737,134.0647134643,0.003527892402227906
GMB,851587.2000000002,39553.11593681122,21.53021778007246,867903.3294117649,38103.73244287489,22.77738357293279,0.011262133716333977,887783.6627450984,35746.06786768395,24.83584113450684,0.017303944360526024,905275.0980392164,34038.14886151436,26.59589690738959,0.013693827077373566,921953.423529412,35730.03877742104,25.803314384086928,-0.006050800822309732
GNB,12155740.768627444,268612.3697292378,45.25383838756373,13778307.992156858,331159.0646720417,41.60631388967714,-0.016807112169671345,16464374.517647043,405060.77823515126,40.646676751529185,-0.004666970404512938,18736099.262745116,488170.7241319213,38.380218920465104,-0.011474977066812553,19292637.254901953,564602.4484477261,34.17030391551369,-0.02323704685595738
GNQ,7761418.231372547,228994.4387465887,33.89347913362008,10002350.035294127,309896.16233285813,32.27645660403708,-0.009776914639505474,16706385.847058842,469132.0702497585,35.61126366433364,0.01966478322709664,23702915.976470597,635912.5723502571,37.27385965788889,0.009126056924525283,25826990.686274506,1285991.7749947694,20.083324939134666,-0.12368048035392612
GRC,177916375.91372558,4898820.32869017,36.31820805342666,198444297.58823517,4994605.367311479,39.73172713243905,0.01796616516939977,208834145.83529377,4994260.917729111,41.8148249111203,0.010220179794248274,216769254.77647027,4954019.074558616,43.75624145043963,0.009076664950921031,219348791.51372495,4801359.930155732,45.6847215590043,0.008625931455601154
GTM,107122288.08235323,2357817.040115405,45.43282462540438,110380432.48235318,2698094.9759278814,40.91050666012715,-0.020969587311470406,113081020.87843138,2937210.9310604753,38.499455276643566,-0.012148564815938734,116271929.07450986,3074735.440522029,37.81526291405715,-0.003586258122371966,135287124.35294163,3357421.096741123,40.294952719591215,0.012702683299179096
GUF,4460124.082352943,58833.34223076803,75.80946302283053,6057415.878431372,75570.65687500194,80.15565999976253,0.011149473461049553,6717216.749019615,83069.32061706831,80.86278663556837,0.0017566463881035332,7264922.537254902,90069.3420432582,80.65921624880671,-0.0005041306841464532,7565627.929411768,93894.37563787343,80.57594374545349,-0.00020658648091433917
GUM,772218.1843137258,9919.438858670683,77.8489786888219,778909.9607843132,10098.48770329319,77.13134715510967,-0.0018522006811904745,1545750.1960784304,20297.144911509182,76.15604080364706,-0.0025450743881153316,1661589.7882352925,22403.47461354621,74.16661106802675,-0.005294068118455541,1663270.6274509784,21694.701808972106,76.66713477311372,0.006631812535878012
GUY,11125953.97254904,203489.6509638652,54.67577304226021,11652832.117647065,204206.70444051817,57.06390566153684,0.008550217289064754,13726496.69803923,219888.9845611193,62.42466727215196,0.01795774286803411,14463704.788235273,217461.6678250165,66.51151411141429,0.012682914219311137,15203344.337254876,218693.15454573111,69.51906825266308,0.008845200216221372
HKG,817685602.5882313,26705012.949058373,30.619180157224495,1062187881.1411699,35403383.22020475,30.002440007908007,-0.004069580634333203,1323790483.1176507,41317262.630387664,32.03964635701787,0.013139074528258821,1547331349.9098165,46898128.38164989,32.99345631275234,0.005867032731553934,1664958881.4156935,50177626.43266663,33.181300108922095,0.0011354438511413712
HND,59437969.90588236,1568878.1288367843,37.88565141764806,63162205.87843138,1785467.5232649504,35.375723756056566,-0.013709326910445708,67058912.345098086,2002940.0858322864,33.48023878469282,-0.01101408750683035,71331592.46274506,2219609.474957827,32.13700124617659,-0.008189464931144563,87449090.42352936,3075081.5158161563,28.437974724816204,-0.024456532581531843
HRV,44138330.19215683,1081740.425165851,40.80306990966858,47778679.38823521,1096607.170245843,43.56954859006069,0.013120231608865574,51546940.858823486,1114084.9041809489,46.268413354653326,0.012020206361259689,54282536.650980465,1111671.130238816,48.82967199059956,0.010775729872452278,58115880.043137245,1101452.6514251158,52.7629398939155,0.015494177528585062
HTI,57260294.91372546,2393646.5366472374,23.921783787647076,62091872.388235204,2757628.569809414,22.51640161696124,-0.012109098992560251,68963417.45490187,2630855.766080766,26.21330228134777,0.030404599636257766,77302105.3921569,2696580.370278243,28.666716647566705,0.017893949704198508,92983779.32549042,2823705.3996799495,32.92970270058257,0.027727663403967463
HUN,170094093.98431355,2899795.4778167577,58.657272654406846,180066812.2078434,2886577.6804530695,62.38072629300611,0.012308957162991874,195995977.27058816,2935475.4759539235,66.76805133481707,0.01359366770957653,218623471.56078464,3060091.3274460817,71.4434466710003,0.013536297675330999,225424690.74117678,3073082.6295648166,73.35458167393939,0.0052797569469635874
IDN,2248122897.0313644,70454543.89861701,31.908841823834358,2459413444.5215673,80018449.90386693,30.73557970038501,-0.007492442623923257,2689811023.1254873,89601125.90740912,30.019835084494925,-0.004712519751535815,2897179139.584309,98165529.26468782,29.51320245798832,-0.003404125698224192,2946098886.3647046,103890588.64746319,28.357707129390135,-0.007987770906914183
IND,4175001874.5882325,240557410.50878176,17.355532160734747,4806221658.156865,272432492.52914983,17.641881163065037,0.0032728749388970966,5536852066.239215,300816907.5839184,18.406053405407768,0.00848078262884151,6245537886.921571,325753197.18864006,19.172606564794048,0.008160583783595677,6655514680.321562,343745025.62799907,19.36177743419671,0.0019636736799371057
IRL,67103818.29803915,1044883.9965942918,64.22130927141978,71218907.69019623,1133317.9597385349,62.84106510288338,-0.0043452626106477155,78214833.50980401,1256707.0633139012,62.23791987255462,-0.001928860888819095,82027899.0352942,1304678.477138421,62.87211789927564,0.0020276661096630733,84804705.1372549,1378434.7671145138,61.52246530662972,-0.0043400782279976015
IRN,924302300.7098037,25472785.728583585,36.285874287892405,1051639668.7019598,28614559.6777639,36.75190813854036,0.002552323797148759,1166426125.7058833,31278252.234587938,37.29192145896287,0.0029173147749188113,1278754227.694117,34058087.043118045,37.546272815475376,0.0013594787438532484,1345057354.219607,36676972.238700256,36.67307501463684,-0.004706255812445814
IRQ,340742600.43137217,10519356.241429184,32.391963216285,399521166.423529,12672863.970902981,31.5257204165399,-0.005421321865889705,462511476.6078421,14283503.667939778,32.38081407476921,0.0053524710795428195,528721425.3450985,17693848.66778527,29.881651825570763,-0.01606428970006819,578006809.6745106,20153511.16709339,28.680203905028666,-0.008207503070291989
ISL,8756573.756862765,133665.57558982144,65.51106160447772,9482773.172549028,144867.515813136,65.4582438259024,-0.0001613134658237314,11139207.29803921,172297.56620304988,64.65098459319985,-0.0024818211632286593,11778868.3372549,177607.31921163714,66.31972370023323,0.005096801992547029,11809345.078431387,198165.73570142413,59.59327447114521,-0.021388924279561294
ISR,126349910.05490196,3374836.8078627796,37.438820674388985,150964068.8588235,4015759.775211063,37.5929032883669,0.0008214276438623713,162837289.8784313,4357714.443686577,37.36759073654969,-0.0012023038710364808,175499317.09019616,4838333.661689647,36.272677612090966,-0.005947799179118363,182703835.65098053,5342833.075977987,34.19605910438017,-0.011790873687487125
ITA,1116597329.2745118,20061994.832113024,55.6573430817152,1216313945.3568623,20886373.923078272,58.23480656989022,0.009053841366901415,1321139867.8666677,21863805.212177735,60.42588904564597,0.0073868825369986625,1397854338.3176465,22584216.011178195,61.895189880656915,0.004804965815115025,1472835732.3176477,23294737.195205126,63.2261149793443,0.004254991747420079
JAM,39872486.509803906,858053.5028754144,46.46853182952767,41479038.04705875,886532.2461966834,46.78796312825415,0.0013701246144422364,42564507.423529394,897894.6228722034,47.404791541543254,0.0026194678476221256,44079888.67843138,904544.3165744565,48.73159652958031,0.005520861623641871,46981997.27058824,915454.1926890713,51.32097012148964,0.010354364772945868
