,urban_built_area_2000,urban_population_2000,landconsumption_perperson_2000,urban_built_area_2005,urban_population_2005,landconsumption_perperson_2005,changerate_landconsumptionperperson_2000-2005,urban_built_area_2010,urban_population_2010,landconsumption_perperson_2010,changerate_landconsumptionperperson_2005-2010,urban_built_area_2015,urban_population_2015,landconsumption_perperson_2015,changerate_landconsumptionperperson_2010-2015,urban_built_area_2020,urban_population_2020,landconsumption_perperson_2020,changerate_landconsumptionperperson_2015-2020
global,86855347117.94112,1989172744.4031413,43.66405449819412,98065577949.44695,2248691895.72877,43.610055310696644,-0.00024749238694736774,111950644234.07445,2510204229.4211173,44.59822150004567,0.004481246278679319,125819051510.9843,2755511533.033669,45.660869135417606,0.0047095388622816255,135924404401.87054,2985964379.0229373,45.52110713602937,-0.0006131128740856084
AFG,84221597.76862752,3869256.9216011725,21.766866216207482,94322976.50196084,4777468.961423881,19.743294464826565,-0.019515000462024545,111958510.34509805,5723072.191004288,19.562659111845225,-0.0018382622296960528,130070818.31764704,6832927.365021722,19.03588482200023,-0.00545934581508103,142564288.41960782,8425116.408258624,16.92134345821748,-0.02355002421497172
AGO,475484937.0705881,9563508.067214934,49.71867370516663,497471805.7921572,11039050.047755513,45.06472963163206,-0.01965613970761968,512675746.5490192,14271898.553434392,35.92204251099086,-0.045349757574976036,535555229.16862816,19722622.47589246,27.15436194265002,-0.05596268204981172,618483923.243137,26027327.164743315,23.76286736353539,-0.026682705369963068
ALB,17058818.12549021,497038.3328163867,34.320930598710966,22178302.294117637,622546.9673108001,35.62510695364989,0.007459050238564214,28122861.231372587,753263.7495387549,37.33468024791187,0.009374403850646118,32827264.49019604,893409.2560476807,36.74381507464936,-0.003190549167687884,35603813.54901961,1035787.748932048,34.3736577167755,-0.013335881444348097
ARE,200272978.9960783,2228978.412546383,89.84967188053051,216052235.5333339,2954874.9672672614,73.11721745476903,-0.04121481788907886,234222747.46666706,5148886.456216905,45.4899810781145,-0.09491435325888001,255559417.9450985,5678233.454956538,45.00685291866968,-0.0021354680734847697,307795117.537256,6287206.594641633,48.9557823341735,0.01682054482013049
ARG,1200318314.7960823,21562746.592706162,55.66629972835201,1290414357.2862735,23074562.51894975,55.92367596250346,0.0009225799681269464,1378148391.090196,24541627.336388726,56.155542262952025,0.0008275098092303424,1464033139.5490193,25830860.08216691,56.67767681339257,0.001851009061692821,1524018329.8823516,26747623.199352637,56.97771045014709,0.0010559440812878407
ARM,62193960.32156876,1478921.317586455,42.05359648413683,66542803.278431244,1448220.1481534208,45.94798889055497,0.017713033796762367,70348019.90588248,1410959.1323494578,49.85829730499884,0.016334969498698903,73229151.99215698,1400391.4979958492,52.29191415183387,0.009531365199436958,75201770.98823513,1312607.5140167463,57.29189432879912,0.01826347989861139
AUS,1471647483.027446,10577363.396194588,139.13178813133146,1560207255.368623,11488566.607687704,135.80521475364844,-0.004839997074039815,1639642864.7686245,12751847.481013324,128.58080895414932,-0.010932808899035784,1728889630.9882345,14131709.974104844,122.34114867601144,-0.009948825431818875,1883257690.8862727,15971386.37220303,117.91447824241094,-0.007370768387735182
AUT,133171669.5803924,2421217.973007192,55.00193335133352,139911574.44705868,2553651.6524251904,54.78882537255438,-0.0007764159712303709,146753895.91764706,2680022.6554282443,54.75845348560946,-0.00011089965187522921,152991838.45098078,2844497.732660575,53.785185586307804,-0.0035867379883754323,158284565.21176487,3078153.989116775,51.4219125395939,-0.008986734556935171
AZE,117427471.47450969,2328908.5762571,50.421675059152804,155967138.1058821,2572861.6415503044,60.62010315171962,0.03684108598300195,178128049.29803917,2802662.091703969,63.556734086962464,0.009461276791554596,199332296.80784297,2970223.5313674635,67.11020052961207,0.010880619008238135,218118643.75294095,3125718.370653901,69.78192462915669,0.007807792905137845
BDI,23407784.156862736,343397.30735488026,68.16531072176467,25936796.26274507,488587.95586292783,53.085214139051715,-0.05000747173144626,28429537.529411722,676332.5592775468,42.03484977831015,-0.046679881099067976,30828974.39999995,886855.7096747438,34.76210849598808,-0.037994214721349714,32109054.552941162,1081814.8342097146,29.68073050726598,-0.03160598529410761
BEL,420844027.7647049,5431631.449658409,77.4802251708686,468806732.5215693,5795936.115989282,80.88542094663009,0.00860217046274787,515635260.0000007,6134206.152246489,84.05900408338299,0.007697076958072202,597152498.8549012,6762405.426708722,88.3047467837989,0.009854976361346423,649664768.1764708,7198454.966095028,90.25058449853674,0.004359242000829688
BEN,95680421.58823529,1663048.9830685365,57.533134960157795,113150341.45098042,1963434.8032990098,57.628774462417866,0.00033219151966807915,139862836.52549005,2345718.726293752,59.62472608404933,0.006809671123115457,165739159.6862744,2780999.735145713,59.596970683490675,-9.312197968185388e-05,172082838.76078475,3313405.169237463,51.93534444819719,-0.02752103527387879
BFA,107643212.76862799,1366170.9437614512,78.79190613749702,127600733.95294085,1926059.9576878618,66.24961670773693,-0.03467611965824684,148850975.611765,2502458.8358445275,59.4818877656107,-0.021551564079276987,167692130.51764682,3130914.5825509126,53.56011034354685,-0.02097345558061061,177790692.52941176,4010718.291360347,44.328890640960246,-0.03783359151610961
